,P_Downtrend,P_Sideways,P_Uptrend
2013-05-26,0.02248146892455889,0.5534007415304232,0.4241177895450179
2013-05-27,0.04460778681680411,0.677699171686801,0.27769304149639473
2013-05-28,0.0929864357293197,0.7605704201280975,0.14644314414258283
2013-05-29,0.0944509050497741,0.7343107299533908,0.17123836499683523
2013-05-30,0.10233871552569263,0.7789794267471517,0.11868185772715567
2013-05-31,0.05656976962533685,0.7563687950103483,0.18706143536431485
2013-06-01,0.048397114142260896,0.7461586640149469,0.20544422184279215
2013-06-02,0.07235506803744772,0.825847304397793,0.10179762756475925
2013-06-03,0.06426817186988011,0.8119958470682467,0.12373598106187324
2013-06-04,0.05872379596147142,0.8175745964546767,0.12370160758385185
2013-06-05,0.04740372487687103,0.8138390993276158,0.13875717579551325
2013-06-06,0.16077082058988898,0.8030063935508908,0.036222785859220175
2013-06-07,0.4140430193592073,0.5791880773969215,0.006768903243871301
2013-06-08,0.5563049086361881,0.4407075656247226,0.002987525739089369
2013-06-09,0.71983959154906,0.27893871564858685,0.0012216928023531164
2013-06-10,0.5286405440985128,0.4636509980621969,0.0077084578392903145
2013-06-11,0.5124885510616021,0.475380178465425,0.012131270472972891
2013-06-12,0.6316906176775211,0.361502688112856,0.006806694209622837
2013-06-13,0.9240020894321811,0.07380341519527596,0.002194495372542838
2013-06-14,0.9409024482626227,0.0578172965374164,0.001280255199960969
2013-06-15,0.9405652083351195,0.05788226791833357,0.0015525237465470161
2013-06-16,0.9341829786030783,0.06334137032076234,0.002475651076159246
2013-06-17,0.9255800092797627,0.06997913827424194,0.004440852445995351
2013-06-18,0.8936575778464315,0.09591270069499645,0.01042972145857189
2013-06-19,0.8798114151028893,0.1059447994552332,0.014243785441877533
2013-06-20,0.7046157701058589,0.22355295663739191,0.07183127325674933
2013-06-21,0.6484041937212467,0.26589867980437565,0.08569712647437781
2013-06-22,0.5626676573085637,0.30912704304195054,0.12820529964948574
2013-06-23,0.6501143498162758,0.26407060429366935,0.08581504589005483
2013-06-24,0.8223713676010391,0.15897583414615019,0.018652798252810788
2013-06-25,0.5897881969357724,0.3961769584859728,0.014034844578254742
2013-06-26,0.5512134164108149,0.42981664171015316,0.01896994187903199
2013-06-27,0.6168735627456207,0.37010124460975924,0.013025192644620036
2013-06-28,0.8969843633896165,0.09763316415386343,0.0053824724565200155
2013-06-29,0.9125072986194648,0.0829823973080552,0.004510304072480075
2013-06-30,0.8901589197795391,0.10195209074964563,0.00788898947081519
2013-07-01,0.9450664787144464,0.05346175662062472,0.0014717646649289049
2013-07-02,0.9449374874523477,0.05300811358363253,0.0020543989640197592
2013-07-03,0.9753331661452276,0.024307516007146368,0.00035931784762626595
2013-07-04,0.9744129089028573,0.024971420087246628,0.0006156710098960412
2013-07-05,0.9887345650536101,0.011157597417687532,0.00010783752870230686
2013-07-06,0.9912296534371441,0.008689844206300288,8.050235655560825e-05
2013-07-07,0.9830182844423151,0.016520413397388765,0.0004613021602963117
2013-07-08,0.9867979827125116,0.012936015114523395,0.00026600217296500836
2013-07-09,0.9858388330288539,0.013820430008590302,0.0003407369625559551
2013-07-10,0.9655073996383374,0.03240116086479715,0.002091439496865322
2013-07-11,0.9628396270562829,0.034593958016050336,0.002566414927666644
2013-07-12,0.92970577725115,0.06120960249906916,0.009084620249780892
2013-07-13,0.9335543514790414,0.05690356316930018,0.009542085351658468
2013-07-14,0.9276874133248312,0.06340659435437745,0.00890599232079146
2013-07-15,0.9033672486643668,0.0764227289976447,0.02021002233798867
2013-07-16,0.9078226907020959,0.07577762419807241,0.016399685099831664
2013-07-17,0.8638058013300761,0.1056817168462266,0.030512481823697257
2013-07-18,0.931339733474866,0.062091285718234496,0.006568980806899501
2013-07-19,0.9033266072262682,0.08591473769703423,0.010758655076697562
2013-07-20,0.8764104782454415,0.11170710408583621,0.011882417668722249
2013-07-21,0.6482957321411534,0.33873831266987126,0.01296595518897523
2013-07-22,0.6106594894142533,0.3760098222625666,0.013330688323180054
2013-07-23,0.41972260990693433,0.5365000045836191,0.04377738550944646
2013-07-24,0.4534000236468111,0.5137140716749418,0.03288590467824711
2013-07-25,0.24957063799992119,0.6304565057669353,0.11997285623314348
2013-07-26,0.2881076333643248,0.6168164529552332,0.09507591368044198
2013-07-27,0.34584201254119556,0.6011265744474831,0.05303141301132131
2013-07-28,0.22406912038160823,0.6421973191222533,0.13373356049613833
2013-07-29,0.11767157320409981,0.6173996436125828,0.2649287831833175
2013-07-30,0.08002763460149052,0.5312715495322711,0.38870081586623845
2013-07-31,0.11690419252286546,0.5975447384118462,0.2855510690652883
2013-08-01,0.25381646984121037,0.6210583696646087,0.12512516049418082
2013-08-02,0.2544045735666256,0.6254964113623338,0.12009901507104057
2013-08-03,0.20386152790424267,0.6225469436954554,0.1735915284003019
2013-08-04,0.18306274013698798,0.6281896480839347,0.18874761177907723
2013-08-05,0.1309993788945363,0.5915948845597383,0.27740573654572537
2013-08-06,0.18929169487717273,0.6012246494660989,0.20948365565672836
2013-08-07,0.15971200945189604,0.5485746260527308,0.2917133644953733
2013-08-08,0.26880520887737797,0.5985427065611988,0.13265208456142324
2013-08-09,0.2509008886143426,0.6119346036340179,0.13716450775163955
2013-08-10,0.28149473958053867,0.6090190815472504,0.10948617887221085
2013-08-11,0.18474550117696814,0.6226757452733445,0.1925787535496874
2013-08-12,0.15241215820427817,0.6075313741329033,0.24005646766281868
2013-08-13,0.07327042956964218,0.4934816979385584,0.4332478724917994
2013-08-14,0.045252074640482004,0.3889368820834853,0.5658110432760326
2013-08-15,0.08497164367445842,0.4803350203818527,0.43469333594368875
2013-08-16,0.09673916262784601,0.47876653061256746,0.42449430675958655
2013-08-17,0.03463199614150513,0.10102561177204801,0.8643423920864469
2013-08-18,0.029455162946120134,0.08628227212574889,0.884262564928131
2013-08-19,0.014061465819513319,0.053693689355246974,0.9322448448252397
2013-08-20,0.006952435123631946,0.03092437370807414,0.9621231911682939
2013-08-21,0.0033115129988725163,0.01776403762501333,0.9789244493761142
2013-08-22,0.003566452644548617,0.018066236068137703,0.9783673112873136
2013-08-23,0.017177637311243353,0.04426260687467363,0.938559755814083
2013-08-24,0.007514276303766772,0.028175717046779333,0.964310006649454
2013-08-25,0.004257997169864816,0.018851773158834483,0.9768902296713007
2013-08-26,0.01420763024631145,0.03385946733478745,0.9519329024189009
2013-08-27,0.002284873327095921,0.010870142348623116,0.9868449843242809
2013-08-28,0.004016983793625672,0.013796026469148032,0.9821869897372263
2013-08-29,0.006197459442068834,0.015151383605652474,0.9786511569522787
2013-08-30,0.0019577272187010566,0.006987857413536712,0.9910544153677623
2013-08-31,0.0020707914828471804,0.00643715901313859,0.9914920495040142
2013-09-01,0.0013008596739769542,0.004048233953699688,0.9946509063723235
2013-09-02,0.000511193913611582,0.0020742532545797807,0.9974145528318087
2013-09-03,0.0007772105449702132,0.0023660174046187315,0.996856772050411
2013-09-04,0.010071673233775934,0.012779271560217619,0.9771490552060065
2013-09-05,0.018405231791357675,0.02012241277627653,0.9614723554323659
2013-09-06,0.08452548390224224,0.06627238020997839,0.8492021358877794
2013-09-07,0.0354895022769302,0.045688633791549915,0.9188218639315199
2013-09-08,0.07695585555935766,0.0854443913526559,0.8375997530879864
2013-09-09,0.027658621446292893,0.055220547849461864,0.9171208307042453
2013-09-10,0.030521991537889835,0.06515701383049398,0.9043209946316162
2013-09-11,0.007674430589316452,0.028580774649033604,0.9637447947616499
2013-09-12,0.00823548558026727,0.02975150057021608,0.9620130138495167
2013-09-13,0.007717005787891152,0.028274889126867986,0.9640081050852409
2013-09-14,0.02028736225089264,0.048562273601457435,0.9311503641476498
2013-09-15,0.013745238272495509,0.03957142389537449,0.9466833378321301
2013-09-16,0.018798894057866132,0.04539145995164739,0.9358096459904864
2013-09-17,0.021471892533257184,0.05009365051984546,0.9284344569468974
2013-09-18,0.02174268898778376,0.04844208100531318,0.9298152300069031
2013-09-19,0.12446071660061477,0.14718481304528083,0.7283544703541045
2013-09-20,0.1692160101673599,0.19164712385846402,0.6391368659741761
2013-09-21,0.15993621457411977,0.21874381051231528,0.6213199749135648
2013-09-22,0.16400930612901057,0.24112777611543787,0.5948629177555516
2013-09-23,0.1883524193594752,0.2747744316443994,0.5368731489961254
2013-09-24,0.11361000161413504,0.2237939699401908,0.6625960284456741
2013-09-25,0.07163448905610857,0.5177331477914433,0.41063236315244805
2013-09-26,0.02594879765208231,0.3407391797618849,0.6333120225860328
2013-09-27,0.01842891430379947,0.2937930189090696,0.6877780667871309
2013-09-28,0.004303668304966306,0.13347375817140913,0.8622225735236246
2013-09-29,0.00309761869130252,0.10972083400646612,0.8871815473022313
2013-09-30,0.008490626131070548,0.1877069815284363,0.8038023923404932
2013-10-01,0.033845866860829105,0.38106586784971047,0.5850882652894605
2013-10-02,0.6057722243960977,0.28240767540457995,0.1118201001993223
2013-10-03,0.33222948449281947,0.28737381647879534,0.38039669902838513
2013-10-04,0.07720630653486862,0.1694793843679749,0.7533143090971566
2013-10-05,0.07141515219759034,0.16692027676237742,0.7616645710400323
2013-10-06,0.07470119744743872,0.16635921982418495,0.7589395827283764
2013-10-07,0.14125875938656926,0.23311285402401707,0.6256283865894137
2013-10-08,0.1448359631513819,0.2294255029485003,0.6257385339001179
2013-10-09,0.04541416817963025,0.139360215351824,0.8152256164685456
2013-10-10,0.048548779374615623,0.40739578781796176,0.5440554328074225
2013-10-11,0.039171003698211165,0.39962633663274355,0.5612026596690453
2013-10-12,0.024542956916293688,0.3200155049430917,0.6554415381406146
2013-10-13,0.0069529038781581155,0.19461850343106432,0.7984285926907777
2013-10-14,0.004025056832158804,0.15340176867320135,0.8425731744946399
2013-10-16,0.0034090182279806393,0.14100492549167326,0.8555860562803461
2013-10-17,0.0036089087645351054,0.13014748705966261,0.8662436041758024
2013-10-18,0.0010804448412832053,0.06172229599095563,0.9371972591677612
2013-10-19,0.0003364972265246256,0.00877975805978351,0.9908837447136919
2013-10-20,0.000588698931422939,0.009926805180900722,0.9894844958876763
