,strategy,total_return,sharpe,max_dd,n_trades,win_rate
0,v3 LDA,0.098,0.5961,-0.0194,1,1.0
1,v3 MLP,0.4471,0.9458,-0.1548,21,0.7143
5,Buy & Hold,0.6157,0.8339,-0.3215,1,
