model,WF_f1,test_acc,test_f1,test_balanced_acc,test_mcc
XGBOOST_zigzag,0.2759,0.3799,0.2538,0.3599,0.0862
MLP_zigzag,0.255,0.4045,0.3387,0.3996,0.1377
