,Model,Test Acc,Test F1,MCC,Return,Sharpe,MaxDD,Trades,Win%
0,LDA,0.3546,0.2015,0.0449,+0.0%,0.0,0.0%,0,-
1,MLP,0.4296,0.3474,0.1424,+13.8%,0.4046,-20.2%,34,55.9%
2,XGB,0.394,0.2703,0.0927,+26.8%,0.6915,-18.6%,25,60.0%
3,LGBM,0.394,0.2854,0.0875,+12.6%,0.3952,-18.7%,25,64.0%
4,RF,0.3827,0.2614,0.0583,-2.3%,0.0214,-19.5%,19,47.4%
5,ZZ-XGB,0.3884,0.2589,0.088,+13.6%,0.4237,-18.8%,17,58.8%
6,ZZ-MLP,0.364,0.2778,0.0294,-25.1%,-0.7679,-33.2%,23,34.8%
7,Buy & Hold,-,-,-,+31.8%,0.5276,-32.1%,1,-
