,model,WF_f1,WF_acc,test_acc,test_f1,test_balanced_acc,test_mcc
0,Stage3-LDA,0.2651,0.4149,0.3505,0.1733,0.3315,-0.0209
1,Stage3-MLP,0.3153,0.5479,0.3842,0.2545,0.3536,0.0624
