Date,trend_prob_Downtrend,trend_prob_Sideways,trend_prob_Uptrend
2015-10-04,0.009294911216157305,0.9433648165342126,0.047340272249630146
2015-10-05,0.004856871327091246,0.8200768651289767,0.17506626354393198
2015-10-06,0.002946058347374585,0.9549926400495313,0.04206130160309408
2015-10-07,0.0020989861084120646,0.7720325567242972,0.22586845716729068
2015-10-08,0.002061497869032502,0.6674870051243356,0.3304514970066319
2015-10-09,0.0010179696657727677,0.4877259161553043,0.5112561141789229
2015-10-10,0.0007115232609438491,0.35580152995216524,0.6434869467868908
2015-10-11,0.0004700488485641735,0.2398696431102238,0.7596603080412121
2015-10-12,0.0001812229770136788,0.09130185973915914,0.9085169172838273
2015-10-13,6.832610321560067e-05,0.043111968483867245,0.9568197054129172
2015-10-14,9.060760874028174e-05,0.03562733290068036,0.9642820594905794
2015-10-15,3.899411136410394e-05,0.016037479357269086,0.9839235265313669
2015-10-16,8.932917794186854e-05,0.022822155772096602,0.9770885150499615
2015-10-17,2.5211252074673865e-05,0.009062892524499317,0.9909118962234261
2015-10-18,3.914201133966157e-06,0.0011021565947244426,0.9988939292041416
2015-10-19,8.30363033376111e-07,0.0003119443699718288,0.9996872252669947
2015-10-20,8.331805693367724e-07,0.0002620811416457849,0.9997370856777849
2015-10-21,9.186787794779905e-08,3.773679717570775e-05,0.9999621713349464
2015-10-22,4.035796123025581e-08,2.2609272137776872e-05,0.999977350369901
2015-10-23,1.4646061582679088e-08,9.3623072400145e-06,0.9999906230466984
2015-10-24,5.5634030753388245e-09,4.480725900390143e-06,0.9999955137106965
2015-10-25,2.2848982806945124e-08,6.285338013502482e-06,0.9999936918130037
2015-10-26,8.350815818526469e-09,2.8291729175639006e-06,0.9999971624762667
2015-10-27,9.765552920556281e-09,2.8186595751295954e-06,0.9999971715748719
2015-10-28,1.9901896840979735e-09,1.1874133747969854e-06,0.9999988105964355
2015-10-29,2.3315671967541223e-10,2.980051144205377e-07,0.9999997017617289
2015-10-30,1.4371044403127938e-11,5.4622270335301365e-08,0.9999999453633587
2015-10-31,4.852763015280578e-12,1.7697472188994863e-08,0.9999999822976752
2015-11-01,2.98473457905582e-14,9.454200554927372e-10,0.9999999990545501
2015-11-02,5.607492071435415e-16,1.317768459234487e-10,0.9999999998682225
2015-11-03,1.8924729693903683e-19,1.348406508949474e-12,0.9999999999986515
2015-11-04,2.2453095040001016e-10,6.846013685432771e-06,0.9999931537617835
2015-11-05,2.103154357976894e-12,3.1093167779483437e-07,0.9999996890662192
2015-11-06,2.6541360120946953e-07,0.00014124796888331445,0.9998584866175154
2015-11-07,2.261114775101461e-07,0.0001379380749465331,0.999861835813576
2015-11-08,2.0037017450534947e-08,5.675921285236179e-05,0.9999432207501301
2015-11-09,1.3388590669183714e-08,6.145385719316086e-05,0.9999385327542162
2015-11-10,7.432785847656992e-06,0.035314211156556606,0.9646783560575958
2015-11-11,0.00026690824347259213,0.8654193090621812,0.13431378269434602
2015-11-12,0.0001405030569717055,0.5581488313631136,0.44171066557991473
2015-11-13,3.5179736342752997e-05,0.4972000202262264,0.5027648000374307
2015-11-14,1.4049582362544729e-05,0.5640860364429457,0.4358999139746917
2015-11-15,1.9179350841023887e-05,0.9658147335860984,0.03416608706306045
2015-11-16,1.7649929669466718e-05,0.9598752130303122,0.04010713704001831
2015-11-17,1.4283153225037485e-05,0.9663123584357389,0.033673358411036
2015-11-18,7.021647288134905e-06,0.9706276486751435,0.02936532967756821
2015-11-19,3.8066335622980553e-06,0.9926042632646545,0.007391930101783383
2015-11-20,7.642330072984868e-06,0.99973867785266,0.0002536798172669807
2015-11-21,6.087388101992335e-06,0.9996577255049234,0.0003361871069747332
2015-11-22,2.4997543846154845e-06,0.999459332966522,0.0005381672790934963
2015-11-23,1.1847146573839757e-06,0.9987410824774696,0.0012577328078729663
2015-11-24,8.75825411129193e-07,0.9988074541603659,0.0011916700142229294
2015-11-25,1.0845920675479779e-06,0.9974466785990463,0.002552236808885954
2015-11-26,1.4585572820244648e-05,0.996561291567883,0.003424122859296833
2015-11-27,6.574849720623786e-06,0.9898871870976413,0.010106238052638175
2015-11-28,2.299634956797136e-06,0.9804298998658624,0.019567800499180974
2015-11-29,4.55227253802603e-07,0.5361686920159225,0.4638308527568238
2015-11-30,4.2723602119218995e-07,0.8473799503146989,0.15261962244927982
2015-12-01,1.7120281393727315e-07,0.9846309455718775,0.015368883225308709
2015-12-02,1.411587973696559e-07,0.9966577722387121,0.003342086602490576
2015-12-03,1.154860187381176e-07,0.9956353452082404,0.004364539305740938
2015-12-04,2.0852958541158822e-07,0.012600948461662145,0.9873988430087526
2015-12-05,4.4901665071981424e-05,0.038952544592710844,0.9610025537422171
2015-12-06,9.74889352859508e-06,0.016584648814205193,0.9834056022922661
2015-12-07,1.2652935173295561e-05,0.02113696396948674,0.97885038309534
2015-12-08,0.00018641175252957128,0.03108871876102684,0.9687248694864437
2015-12-09,3.149818628852792e-05,0.013552683447805853,0.9864158183659056
2015-12-10,3.358156557496204e-06,0.006283534027000871,0.9937131078164415
2015-12-11,0.004135677014693584,0.021755838774168968,0.9741084842111375
2015-12-12,3.51033909795694e-07,0.0006217805107641212,0.999377868455326
2015-12-13,4.2696140915609746e-08,0.0002803759605483818,0.9997195813433106
2015-12-14,1.1971581784656238e-07,0.0002718009969456919,0.9997280792872365
2015-12-15,5.6986182550340725e-06,0.00047037411480602256,0.999523927266939
2015-12-16,2.202939838387476e-08,8.216381437632617e-05,0.9999178141562253
2015-12-17,3.083168360404612e-09,3.477091599152688e-05,0.9999652260008401
2015-12-18,2.9874667792020155e-09,2.1501059573676097e-05,0.9999784959529595
2015-12-19,1.6579462054267025e-10,6.843049337351056e-06,0.9999931567848679
2015-12-20,9.950866555742298e-10,0.00015069933253642007,0.9998492996723769
2015-12-21,1.9179109629290334e-08,0.0030705583290017496,0.9969294224918887
2015-12-22,8.634140315985562e-10,0.000840509144625525,0.9991594899919604
2015-12-23,1.7996408738824702e-10,0.0002781011289113607,0.9997218986911247
2015-12-24,2.246862365043946e-10,0.00010730439124477281,0.999892695384069
2015-12-25,1.7322194797701567e-11,3.863361885069696e-05,0.999961366363827
2015-12-26,1.3888830158115656e-07,0.4360279446537835,0.5639719164579149
2015-12-27,1.0900634799009735e-08,0.11662184658417131,0.8833781425151939
2015-12-28,6.849053311432458e-10,0.033816280417951976,0.9661837188971426
2015-12-29,2.448336197654596e-10,0.012616839716512963,0.9873831600386535
2015-12-30,5.547526840498665e-12,0.004119183838892976,0.9958808161555595
2015-12-31,3.018037828396038e-12,0.004617898728415839,0.9953821012685662
2016-01-01,9.48158809388033e-13,0.002980741012517682,0.9970192589865342
2016-01-02,1.8803198328171163e-13,0.002331280022767759,0.9976687199770442
2016-01-03,8.550707073454372e-13,0.015382314212403585,0.9846176857867415
2016-01-04,4.359825244617744e-10,0.00037657582055906555,0.9996234237434585
2016-01-05,1.169350684312711e-10,0.0002630896878669854,0.999736910195198
2016-01-06,2.210763587819583e-10,0.000532188892692803,0.9994678108862308
2016-01-07,5.006552009546819e-11,3.004135290610221e-05,0.9999699585970283
2016-01-08,2.181419063064447e-12,1.6088751181637156e-05,0.999983911246637
2016-01-09,9.008306013883767e-13,1.54211560804178e-05,0.9999845788430188
2016-01-10,3.877368803367377e-11,0.00018264007669415363,0.9998173598845321
2016-01-11,2.862911424992351e-11,0.00017765282331822164,0.9998223471480526
2016-01-12,2.1381789003310793e-10,0.001141006182412559,0.9988589936037696
2016-01-13,7.201757697670664e-08,0.04260864825071367,0.9573912797317095
2016-01-14,2.5412196421273642e-08,0.029128033809944137,0.9708719407778595
2016-01-15,0.0004861458692765768,0.9973061775840238,0.0022076765466995433
2016-01-16,0.016998259983300033,0.982826035293755,0.0001757047229447593
2016-01-17,0.015243077214621112,0.9839956376261163,0.0007612851592626746
2016-01-18,0.06580205490640018,0.9336846433634183,0.0005133017301815487
2016-01-20,0.32330464392718755,0.674003447488467,0.0026919085843456576
2016-01-21,0.029579178921332692,0.9531642499977871,0.017256571080880165
2016-01-22,0.06905445153984695,0.9303553492860178,0.0005901991741353398
2016-01-23,0.09329670825983756,0.9060073082701348,0.000695983470027719
2016-01-24,0.30486274350683285,0.6948139973020803,0.00032325919108693073
2016-01-25,0.036700623909803526,0.9604623043106301,0.0028370717795663395
2016-01-26,0.029554052118440505,0.9674406712397687,0.0030052766417907593
2016-01-27,0.0346826665259747,0.963230780612348,0.0020865528616772337
2016-01-28,0.0285940161874456,0.9702947756448076,0.0011112081677469696
2016-01-29,0.1796528065296009,0.8202487875284932,9.8405941905958e-05
2016-01-30,0.17379256702463244,0.8260355182716798,0.0001719147036878383
2016-01-31,0.207329193351742,0.7925130821403954,0.00015772450786256213
2016-02-01,0.2293181728655701,0.7703412083330322,0.0003406188013976308
2016-02-02,0.3249179273547048,0.6747753621525635,0.0003067104927316472
2016-02-03,0.46496914422564356,0.5348731183866925,0.00015773738766409806
2016-02-04,0.9999260500741469,7.394806759051251e-05,1.8582624559132722e-09
2016-02-05,0.9998412261893822,0.00015876757596139116,6.234656331747493e-09
2016-02-06,0.9998989291997328,0.00010107043540491116,3.6486225407584527e-10
2016-02-07,0.9998651379432859,0.0001348611133065032,9.4340756185674e-10
2016-02-08,0.9998076074758755,0.0001923900241035587,2.500020933237335e-09
2016-02-09,0.9998017274280925,0.00019826938506180996,3.186845948562924e-09
2016-02-10,0.99980267534857,0.00019731869165650435,5.959773558736926e-09
2016-02-11,0.9995291238739361,0.00047083703661832566,3.90894454671354e-08
2016-02-12,0.9993969740712213,0.0006029755741148161,5.035466388208295e-08
2016-02-13,0.9973305536479511,0.0026649637013891146,4.482650659844999e-06
2016-02-14,0.9932199936321715,0.006771672316098398,8.33405172990604e-06
2016-02-15,0.947325886991031,0.05191017234976507,0.0007639406592038608
2016-02-16,0.8932102127140088,0.10522397322799142,0.0015658140579997257
2016-02-17,0.882371578149188,0.11506311170689694,0.0025653101439150863
2016-02-18,0.7844310315195002,0.20802155507766554,0.0075474134028342315
2016-02-19,0.5122675286272026,0.44348092564885877,0.04425154572393864
2016-02-20,0.6373551162940164,0.32573171983605215,0.03691316386993144
2016-02-21,0.2280163000901347,0.46083357094620425,0.3111501289636609
2016-02-22,0.05451792802949333,0.3073492252644159,0.6381328467060907
2016-02-23,0.15354237968244966,0.766610793360532,0.07984682695701838
2016-02-24,0.13455224347236922,0.8195240573934259,0.04592369913420489
2016-02-25,0.05312377437741524,0.7746647304621939,0.17221149516039094
2016-02-26,0.023810480129386153,0.6328603399882912,0.3433291798823227
2016-02-27,0.005124502297019881,0.3409228414215195,0.6539526562814606
2016-02-28,0.003823098330957198,0.4436544144273581,0.5525224872416847
2016-02-29,0.0008452467596334515,0.1938875403797415,0.8052672128606251
2016-03-01,3.782051946337202e-05,0.035641635439194116,0.9643205440413425
2016-03-02,4.554720515674903e-05,0.04958012153864118,0.950374331256202
2016-03-03,0.0027302859093570886,0.650934913009372,0.3463348010812708
2016-03-04,0.00028091333630060557,0.634067664594934,0.3656514220687654
2016-03-05,0.005371414637954749,0.9811615712107641,0.013467014151281246
2016-03-06,0.004154362082985739,0.9257116334928033,0.07013400442421105
2016-03-07,0.00418679484666573,0.8644161461035473,0.1313970590497869
2016-03-08,0.00240714572799503,0.7506350270878361,0.24695782718416895
