model,WF_f1,test_acc,test_f1,test_balanced_acc,test_mcc
LDA,0.2398,0.3442,0.1737,0.333,-0.0035
MLP,0.2687,0.4026,0.2913,0.3739,0.0968
XGBOOST,0.282,0.3918,0.2626,0.3697,0.1149
LIGHTGBM,0.2923,0.3745,0.2468,0.3559,0.0758
RANDOM_FOREST,0.2754,0.381,0.2467,0.3611,0.0996
