,cfg,n_features,test_acc,test_f1,test_mcc,test_balanced_acc,return,sharpe,max_dd,n_trades,win_rate
0,A1_flat,24,0.3874,0.2592,0.1076,0.3658,0.3822,1.1687,-0.1141,13,0.7692
1,A2_trend,27,0.3831,0.2522,0.1,0.3626,0.1914,0.8495,-0.1204,10,0.7
2,A3_macro,27,0.3939,0.2655,0.121,0.3715,0.3779,1.1809,-0.1141,15,0.6667
3,A4_full,30,0.3918,0.2626,0.1149,0.3697,0.5669,1.5775,-0.1141,16,0.875
4,Buy&Hold,-,-,-,-,-,0.4756,0.7514,-0.3215,1,-
