,cfg,n_features,test_acc,test_f1,test_mcc,test_balanced_acc,return,sharpe,max_dd,n_trades,win_rate
0,A1_flat,29,0.3884,0.2592,0.0887,0.3612,0.3348,0.8384,-0.1737,19,0.6842
1,A2_trend,32,0.3921,0.2718,0.0816,0.3624,0.2926,0.718,-0.1798,26,0.5385
2,A3_macro,32,0.3827,0.2531,0.0718,0.3564,0.2664,0.6976,-0.1846,20,0.55
3,A4_full,35,0.394,0.2703,0.0927,0.365,0.2675,0.6915,-0.1862,25,0.6
4,Buy&Hold,-,-,-,-,-,0.3177,0.5276,-0.3215,1,-
