,cfg,n_features,test_acc,test_f1,test_mcc,test_balanced_acc,return,sharpe,max_dd,n_trades,win_rate
0,A1_flat,15,0.3701,0.2311,0.0733,0.3525,0.0873,0.4973,-0.1244,10,0.6
1,A2_trend,18,0.3745,0.2344,0.0892,0.3564,0.2413,1.1043,-0.1141,9,0.8889
2,A3_macro,18,0.3874,0.2557,0.1141,0.3665,0.3766,1.2507,-0.1141,14,0.7143
3,A4_full,21,0.3766,0.2411,0.0884,0.3576,0.2169,0.9697,-0.1141,10,0.8
4,Buy&Hold,-,-,-,-,-,0.4756,0.7514,-0.3215,1,-
