,cfg,n_features,test_acc,test_f1,test_mcc,test_balanced_acc,return,sharpe,max_dd,n_trades,win_rate
0,A1_flat,15,0.3701,0.2386,0.069,0.3527,0.304,1.2617,-0.0874,11,0.8182
1,A2_trend,18,0.381,0.255,0.0816,0.3596,0.5688,1.4955,-0.1141,15,0.8
2,A3_macro,18,0.368,0.2344,0.061,0.3495,0.2071,0.9895,-0.0874,10,0.8
3,A4_full,21,0.3745,0.2452,0.0728,0.3545,0.3147,1.0395,-0.1141,13,0.6154
4,Buy&Hold,-,-,-,-,-,0.4756,0.7514,-0.3215,1,-
