,strategy,total_return,sharpe,max_dd,n_trades,win_rate
0,v2 XGBOOST,0.2531,0.8766,-0.1141,13,0.8462
1,v2 LIGHTGBM,0.181,0.5594,-0.1298,20,0.65
2,v2 RANDOM_FOREST,0.1904,0.7368,-0.1141,6,0.6667
3,v1 MLP,0.1582,0.5531,-0.1585,26,0.5385
4,v2 MLP,0.0853,0.3026,-0.1259,24,0.5833
5,Buy & Hold,0.4376,0.6653,-0.3215,1,
