model,WF_f1,test_acc,test_f1,test_balanced_acc,test_mcc
LDA,0.2551,0.3426,0.1701,0.3333,0.0
MLP,0.2689,0.4079,0.3041,0.3818,0.1126
XGBOOST,0.2715,0.3663,0.2267,0.3504,0.075
LIGHTGBM,0.2791,0.3782,0.263,0.3611,0.0801
RANDOM_FOREST,0.271,0.3525,0.2016,0.3397,0.036
