model,WF_f1,test_acc,test_f1,test_balanced_acc,test_mcc
XGBOOST_zigzag,0.2859,0.3884,0.2589,0.3612,0.088
MLP_zigzag,0.2688,0.364,0.2778,0.3461,0.0294
