model,WF_f1,test_acc,test_f1,test_balanced_acc,test_mcc
XGBOOST_zigzag,0.2782,0.3831,0.2532,0.3623,0.0957
MLP_zigzag,0.2592,0.4113,0.3307,0.3895,0.1215
