,P_Downtrend,P_Sideways,P_Uptrend
2013-05-26,0.005995162231920388,0.0013363403069846275,0.9926684974610949
2013-05-27,0.01627854409308811,0.0012160334422073342,0.9825054224647046
2013-05-28,0.03573969119921259,0.001281747431564319,0.962978561369223
2013-05-29,0.01961806956697412,0.001405821747256831,0.9789761086857691
2013-05-30,0.0914345722561444,0.0012455960969519001,0.9073198316469037
2013-05-31,0.1269580363189214,0.0009690961524475862,0.872072867528631
2013-06-01,0.12148561036226455,0.0009015243411199065,0.8776128652966155
2013-06-02,0.6200224960070998,0.0004375894144907144,0.37953991457840963
2013-06-03,0.7890309189336996,0.00019445911612362167,0.21077462195017682
2013-06-04,0.8415163894026262,0.0001613013096370948,0.1583223092877366
2013-06-05,0.8672232022179537,0.0001413725940452464,0.13263542518800095
2013-06-06,0.9633819656379714,4.4393662386547034e-05,0.036573640699642085
2013-06-07,0.9896195290955705,1.0556299147521679e-05,0.010369914605281983
2013-06-08,0.9956603568194158,4.151149259658586e-06,0.004335492031324663
2013-06-09,0.9944507219635305,7.597286326361187e-06,0.0055416807501429514
2013-06-10,0.9620186151625062,3.55739612187965e-05,0.03794581087627506
2013-06-11,0.8944209400787919,7.692284395350867e-05,0.10550213707725467
2013-06-12,0.8547557511889562,9.788421719386255e-05,0.14514636459384977
2013-06-13,0.9334918250490404,7.688041931524511e-06,0.06650048690902799
2013-06-14,0.9668337209199753,3.2337237767105564e-06,0.03316304535624792
2013-06-15,0.9741889756105635,2.7925980080248224e-06,0.02580823179142848
2013-06-16,0.9676772622797581,3.3103628932476933e-06,0.03231942735734848
2013-06-17,0.9318653294718309,6.171752937071971e-06,0.06812849877523215
2013-06-18,0.6960342956142355,2.0941252861578032e-05,0.3039447631329029
2013-06-19,0.5326874179816193,2.999592754809455e-05,0.46728258609083256
2013-06-20,0.23434104255595173,5.715697061647938e-05,0.7656018004734317
2013-06-21,0.2275284854450887,0.00011377808604714058,0.7723577364688643
2013-06-22,0.23033208147752954,0.00012656748938367528,0.7695413510330869
2013-06-23,0.3171617264948388,0.00011049062811630199,0.6827277828770449
2013-06-24,0.8482399448416397,2.158102618000553e-05,0.15173847413218036
2013-06-25,0.8528104750865348,0.0001956066466354245,0.14699391826682973
2013-06-26,0.804666239861444,0.00028342417715349847,0.19505033596140242
2013-06-27,0.8841370312599932,0.000153778005956308,0.1157091907340505
2013-06-28,0.9841275176722856,2.785233124158462e-06,0.01586969709459033
2013-06-29,0.983995237415794,2.0312235197564195e-06,0.016002731360686286
2013-06-30,0.9641388820029831,5.138860235730502e-06,0.03585597913678106
2013-07-01,0.9955095296121547,8.567726328279548e-07,0.004489613615212529
2013-07-02,0.9877517344443345,1.7202692375158521e-06,0.012246545286428153
2013-07-03,0.9971901543607743,3.637065088594465e-07,0.0028094819327170043
2013-07-04,0.9917310068624592,8.419514403255371e-07,0.008268151186100456
2013-07-05,0.9984391552716866,2.850668496488531e-07,0.0015605596614638403
2013-07-06,0.9968396052047376,2.8084039777404293e-07,0.0031601139548645615
2013-07-07,0.9820764807365622,8.721745443448588e-07,0.017922647088893566
2013-07-08,0.9726228790365237,1.2800318425246845e-06,0.02737584093163367
2013-07-09,0.961588256398576,1.8030058256833421e-06,0.038409940595598255
2013-07-10,0.4637760393266954,1.1693918720780178e-05,0.5362122667545838
2013-07-11,0.27224345110078524,2.276015720466682e-05,0.7277337887420102
2013-07-12,0.09756252110023177,4.2143931522870755e-05,0.9023953349682454
2013-07-13,0.03191773359200288,3.228212800800828e-05,0.9680499842799891
2013-07-14,0.05964751941686531,5.851261579085778e-05,0.9402939679673438
2013-07-15,0.02193536599265497,6.949125320004218e-05,0.9779951427541449
2013-07-16,0.031050368177555104,0.00011105627622805875,0.9688385755462169
2013-07-17,0.024200807540096823,0.00017063894235465782,0.9756285535175486
2013-07-18,0.18275475471519115,0.00027154788787870596,0.8169736973969303
2013-07-19,0.12832400126805377,0.00016406210445835722,0.8715119366274878
2013-07-20,0.2666040019013972,0.00016143356702287705,0.7332345645315799
2013-07-21,0.22001944192454537,0.0009375892546856411,0.7790429688207691
2013-07-22,0.2736856152466721,0.0006877771579273333,0.7256266075954005
2013-07-23,0.08440114116119812,0.0006241498774721868,0.9149747089613297
2013-07-24,0.15668781850286523,0.0004372907921290256,0.8428748907050058
2013-07-25,0.07159960746718906,0.0003875359683326557,0.9280128565644783
2013-07-26,0.08538585825761137,0.0008663427058942892,0.9137477990364944
2013-07-27,0.18957080061068793,0.0014187083184342912,0.8090104910708777
2013-07-28,0.035673760570670655,0.002551844291823777,0.9617743951375055
2013-07-29,0.00973834537872993,0.0044285002624741485,0.9858331543587959
