asset,model,n_oof,accuracy,f1_macro,f1_sell,f1_hold,f1_buy
btc,xgboost,2400,0.3779166666666667,0.36263991028164,0.4333516182117389,0.2534722222222222,0.4010958904109589
btc,lightgbm,2400,0.37875,0.3668036901844445,0.43387978142076505,0.27197346600331673,0.3945578231292517
btc,random_forest,2400,0.39458333333333334,0.3515755542050991,0.43628509719222464,0.16901408450704225,0.4494274809160305
btc,mlp,2400,0.3804166666666667,0.33524710624119997,0.3857302118171683,0.15547703180212014,0.46453407510431155
eth,xgboost,1200,0.37083333333333335,0.355754009000303,0.39281705948372614,0.25760286225402507,0.4168421052631579
eth,lightgbm,1200,0.3883333333333333,0.36820541599572304,0.38488783943329397,0.2646502835538752,0.455078125
eth,random_forest,1200,0.39666666666666667,0.37685422245414557,0.3954285714285714,0.2757281553398058,0.4594059405940594
eth,mlp,1200,0.37416666666666665,0.31976500268115887,0.3275862068965517,0.1477832512315271,0.48392554991539766
