feature,adf_stat,p_value,stationary
macro_US10Y_zscore_100,-6.658650332918872,4.910536740713778e-09,True
macro_US10Y_sma_20,-0.544870439528067,0.8829589538551901,False
macro_US10Y_sma_50,-1.474966993436855,0.5458564750010318,False
macro_US10Y_sma_100,-1.6347430402220993,0.46500900623324026,False
macro_US5Y_roc_5,-11.825528602070818,8.220756309657653e-22,True
macro_US5Y_roc_20,-8.05245559105523,1.7274144835678459e-12,True
macro_US5Y_roc_50,-5.724312669357822,6.826989128039885e-07,True
macro_US5Y_zscore_20,-16.216325459197606,3.9390793813330324e-29,True
macro_US5Y_zscore_50,-10.584510110450074,6.7711239777095e-19,True
macro_US5Y_zscore_100,-6.834979669715713,1.8523989113014523e-09,True
macro_US5Y_sma_20,-0.7125809097125694,0.8434638301452532,False
macro_US5Y_sma_50,-1.539246947205127,0.5140148811470228,False
macro_US5Y_sma_100,-1.5403645860721484,0.5134575272455273,False
macro_US3M_roc_5,-11.546632467169902,3.52822496227853e-21,True
macro_US3M_roc_20,-11.153208177963913,2.908798722860893e-20,True
macro_US3M_roc_50,-10.89461985165586,1.20096219640239e-19,True
macro_US3M_zscore_20,-7.867323484455778,5.093499308724922e-12,True
macro_US3M_zscore_50,-5.973987498039092,1.9066763204672852e-07,True
macro_US3M_zscore_100,-4.71242288691891,7.974526402882428e-05,True
macro_US3M_sma_20,-0.8146637887951621,0.814776696940809,False
macro_US3M_sma_50,-1.2967601812768943,0.6306532281091081,False
macro_US3M_sma_100,-2.175817854744966,0.2151389398681432,False
macro_US30Y_roc_5,-12.974021080070758,3.0391807584160842e-24,True
macro_US30Y_roc_20,-8.292052883737862,4.2357683215169173e-13,True
macro_US30Y_roc_50,-6.529545968091505,9.94910209439518e-09,True
macro_US30Y_zscore_20,-16.79568832129293,1.2317926391656444e-29,True
macro_US30Y_zscore_50,-10.617899103796887,5.612756501601621e-19,True
macro_US30Y_zscore_100,-7.197145021905786,2.4180380222402475e-10,True
macro_US30Y_sma_20,-0.2252368606853267,0.9354458304134965,False
macro_US30Y_sma_50,-1.3419397070538428,0.6097732493423522,False
macro_US30Y_sma_100,-1.3232851931687903,0.6184531332193606,False
macro_US2Y_roc_5,-11.024510919382335,5.873958298756822e-20,True
macro_US2Y_roc_20,-7.627142409463099,2.054353191312083e-11,True
macro_US2Y_roc_50,-6.172394976015096,6.755875622011279e-08,True
macro_US2Y_zscore_20,-14.428019851182498,7.713686018731102e-27,True
macro_US2Y_zscore_50,-9.48108549647691,3.871226741531694e-16,True
macro_US2Y_zscore_100,-6.564151700709437,8.239048139802377e-09,True
macro_US2Y_sma_20,-0.9719958714081682,0.763340666164865,False
macro_US2Y_sma_50,-1.510429232526369,0.5283459827966807,False
macro_US2Y_sma_100,-1.7597349363080426,0.4006273419674767,False
macro_HY_Bond_roc_5,-13.862790012339266,6.68150058963587e-26,True
macro_HY_Bond_roc_20,-9.611847450986948,1.8029492091731884e-16,True
macro_HY_Bond_roc_50,-7.754886209746076,9.797399739213498e-12,True
macro_HY_Bond_zscore_20,-16.89567402052467,1.036951477341666e-29,True
macro_HY_Bond_zscore_50,-10.91326596698991,1.0834022273551347e-19,True
macro_HY_Bond_zscore_100,-7.35616005007673,9.76805019800464e-11,True
macro_HY_Bond_sma_20,0.8299433017869949,0.9921044521651808,False
macro_HY_Bond_sma_50,-0.0061130598495944995,0.958023611106448,False
macro_HY_Bond_sma_100,-0.2521388484789064,0.9320146891123293,False
macro_IG_Bond_roc_5,-12.631234000355164,1.5032726596939545e-23,True
macro_IG_Bond_roc_20,-9.096214829476022,3.708986264822008e-15,True
macro_IG_Bond_roc_50,-7.439223994414212,6.067885792317237e-11,True
macro_IG_Bond_zscore_20,-16.880165139400557,1.0644297100288689e-29,True
macro_IG_Bond_zscore_50,-10.429061335374747,1.628659092168603e-18,True
macro_IG_Bond_zscore_100,-7.142890803471304,3.2890514864855103e-10,True
macro_IG_Bond_sma_20,-0.9878750812940494,0.7576608583128754,False
macro_IG_Bond_sma_50,-1.538908687475049,0.5141835464916774,False
macro_IG_Bond_sma_100,-1.5596697088635232,0.5038145830462015,False
macro_Treasury20Y_roc_5,-11.526640460181802,3.9215900343299486e-21,True
macro_Treasury20Y_roc_20,-8.029109674911359,1.980296929045605e-12,True
macro_Treasury20Y_roc_50,-6.799607300561756,2.254615236195802e-09,True
macro_Treasury20Y_zscore_20,-16.72954962373375,1.3868053856788602e-29,True
macro_Treasury20Y_zscore_50,-10.609586268267082,5.880986322309628e-19,True
macro_Treasury20Y_zscore_100,-7.3991746281333155,7.635274900353807e-11,True
macro_Treasury20Y_sma_20,-1.1827269858531801,0.680981643841031,False
macro_Treasury20Y_sma_50,-1.9083065897261724,0.3281635756836083,False
macro_Treasury20Y_sma_100,-2.0927098607997756,0.24745608953568887,False
macro_TIPS_roc_5,-13.056989222731422,2.084964845039099e-24,True
macro_TIPS_roc_20,-8.559339937825726,8.781589784099276e-14,True
macro_TIPS_roc_50,-7.392163596919743,7.948328861576853e-11,True
macro_TIPS_zscore_20,-17.434430696388734,4.747212628973378e-30,True
macro_TIPS_zscore_50,-11.452830755860264,5.80184566319914e-21,True
macro_TIPS_zscore_100,-6.598681865045964,6.822365533910587e-09,True
macro_TIPS_sma_20,-0.25797075935673913,0.9312495989704921,False
macro_TIPS_sma_50,-0.7670662615566677,0.82860524069459,False
macro_TIPS_sma_100,-0.9702139735377919,0.7639724873927349,False
macro_Yield_Curve_10Y_2Y,-0.8299180752426998,0.8101755287627217,False
macro_Credit_Spread_log,-0.7669315988496446,0.8286432353073485,False
macro_Gold_Silver_Ratio,-3.2172217406994963,0.019009210015223533,True
macro_SP500_VIX_ratio,-3.0887546240982497,0.0273966672652298,True
macro_Yield_Curve_10Y_2Y_zscore_20,-16.748188428502395,1.3407458702115815e-29,True
