date,P_downtrend,P_range,P_uptrend,pred_label,true_label,fold
2016-12-24,0.052268152974311234,0.015396902300470442,0.9323349447252185,uptrend,uptrend,1
2016-12-25,0.05394977133889155,0.01283092364159522,0.9332193050195134,uptrend,uptrend,1
2016-12-26,0.07509931049742381,0.016077813690618427,0.9088228758119579,uptrend,uptrend,1
2016-12-27,0.09812838154735468,0.01840891794605353,0.883462700506592,uptrend,uptrend,1
2016-12-28,0.10339689580497857,0.025138066730389316,0.8714650374646326,uptrend,uptrend,1
2016-12-29,0.11898312087331671,0.03267952294971235,0.8483373561769717,uptrend,uptrend,1
2016-12-30,0.1718836395261534,0.028222056942854595,0.7998943035309923,uptrend,uptrend,1
2016-12-31,0.1887266280905957,0.023649851354415073,0.7876235205549892,uptrend,uptrend,1
2017-01-01,0.15975021811493062,0.0449662915467699,0.7952834903382998,uptrend,uptrend,1
2017-01-02,0.13961602001895548,0.08105705640087303,0.779326923580172,uptrend,uptrend,1
2017-01-03,0.13138075555638806,0.08111848375764666,0.7875007606859659,uptrend,uptrend,1
2017-01-04,0.15022766314500685,0.18830758269863956,0.661464754156354,uptrend,range,1
2017-01-05,0.2623607176457282,0.5001446787823971,0.23749460357187446,range,range,1
2017-01-06,0.313029729240038,0.5419092116861018,0.14506105907385966,range,range,1
2017-01-07,0.21719760671866198,0.650146084031545,0.1326563092497928,range,range,1
2017-01-08,0.21561522830552288,0.6421895624080469,0.14219520928642984,range,range,1
2017-01-09,0.23730661323230817,0.6027364557741279,0.15995693099356356,range,range,1
2017-01-10,0.3056542473654487,0.5378645715076431,0.15648118112690765,range,range,1
2017-01-11,0.2007016132207166,0.6900472751363688,0.10925111164291429,range,uptrend,1
2017-01-12,0.25963770503682987,0.618613711466671,0.12174858349649904,range,uptrend,1
2017-01-13,0.30044764112551364,0.5672454816130191,0.13230687726146675,range,uptrend,1
2017-01-14,0.31157969353267423,0.5365044568137997,0.15191584965352584,range,uptrend,1
