Date,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2017-11-09,1,Neutral,0.4536980228681496,0.5462895597334783,1.2417398147267783e-05
2017-11-10,0,Bull,0.5382307962910121,0.46175930820921945,9.895499336312171e-06
2017-11-11,0,Bull,0.5382307962910121,0.46175930820921945,9.895499336312171e-06
2017-11-12,0,Bull,0.5382307962910121,0.46175930820921945,9.895499336312171e-06
2017-11-13,1,Neutral,0.451212020903489,0.5487781469292977,9.832167976667337e-06
2017-11-14,0,Bull,0.5407819564863244,0.4592079449516461,1.0098561465620821e-05
2017-11-15,1,Neutral,0.4486136341824631,0.5513747386545981,1.1627163535899467e-05
2017-11-16,0,Bull,0.5433875743636578,0.4566047632742967,7.662361542018e-06
2017-11-17,1,Neutral,0.4459476143548006,0.5540428145348589,9.571111230048525e-06
2017-11-18,1,Neutral,0.4459476143548006,0.5540428145348589,9.571111230048525e-06
2017-11-19,1,Neutral,0.4459476143548006,0.5540428145348589,9.571111230048525e-06
2017-11-20,0,Bull,0.5461506382650833,0.453837090960412,1.2270774981030519e-05
2017-11-21,1,Neutral,0.44311338017176244,0.5568709823585056,1.5637469606920986e-05
2017-11-22,0,Bull,0.5488914628794789,0.451094223474823,1.4313645063800718e-05
2017-11-23,1,Neutral,0.44021581079939365,0.5597683539379498,1.5835261977432345e-05
2017-11-24,0,Bull,0.5520044774362427,0.4479802961557945,1.5226408666802202e-05
2017-11-25,0,Bull,0.5520044774362427,0.4479802961557945,1.5226408666802202e-05
2017-11-26,0,Bull,0.5520044774362427,0.4479802961557945,1.5226408666802202e-05
2017-11-27,1,Neutral,0.43690590477953817,0.5630791013090077,1.4993911574292974e-05
2017-11-28,0,Bull,0.5554480086692054,0.44453948858521886,1.250274541541362e-05
2017-11-29,1,Neutral,0.43332781378777147,0.5666615655194772,1.0620693300126191e-05
2017-11-30,0,Bull,0.5591687200608622,0.4408202253956979,1.1054543862829524e-05
2017-12-01,1,Neutral,0.429540571030566,0.5704498583983556,9.570571203494448e-06
2017-12-02,1,Neutral,0.429540571030566,0.5704498583983556,9.570571203494448e-06
2017-12-03,1,Neutral,0.429540571030566,0.5704498583983556,9.570571203494448e-06
2017-12-04,0,Bull,0.5630752756366084,0.4369167305224241,7.99384058850189e-06
2017-12-05,1,Neutral,0.42555572379553863,0.5744351537663667,9.122438340131704e-06
2017-12-06,0,Bull,0.5672180823119124,0.4327721627236314,9.754964739247538e-06
2017-12-07,1,Neutral,0.4212891226316372,0.5786904346994669,2.0442669269137054e-05
2017-12-08,0,Bull,0.5716916908333497,0.4282899999827344,1.8309183322772463e-05
2017-12-09,0,Bull,0.5716916908333497,0.4282899999827344,1.8309183322772463e-05
2017-12-10,0,Bull,0.5716916908333497,0.4282899999827344,1.8309183322772463e-05
2017-12-11,1,Neutral,0.4164994374811219,0.5834801402354138,2.0422283734629608e-05
2017-12-12,0,Bull,0.5765130531601933,0.42347301780036484,1.3929039910611948e-05
2017-12-13,1,Neutral,0.4115077082207576,0.5884787877668431,1.3504013077295917e-05
2017-12-14,0,Bull,0.5816665298089877,0.41832269153690455,1.0778653426034735e-05
2017-12-15,1,Neutral,0.40634241148249267,0.5936388757858093,1.871273161355838e-05
2017-12-16,1,Neutral,0.40634241148249267,0.5936388757858093,1.871273161355838e-05
2017-12-17,1,Neutral,0.40634241148249267,0.5936388757858093,1.871273161355838e-05
2017-12-18,0,Bull,0.5868591176280273,0.41312472632994796,1.6156041301038912e-05
2017-12-19,1,Neutral,0.4009723005320164,0.5990128905284925,1.4808938834025468e-05
2017-12-20,0,Bull,0.5924823034546872,0.40750269085229635,1.5005692263978456e-05
2017-12-21,1,Neutral,0.39518615199928203,0.6047961425992407,1.7705400926492642e-05
2017-12-22,0,Bull,0.5983210703911457,0.401663259083885,1.5670524195483472e-05
2017-12-23,0,Bull,0.5983210703911457,0.401663259083885,1.5670524195483472e-05
2017-12-24,0,Bull,0.5983210703911457,0.401663259083885,1.5670524195483472e-05
2017-12-25,1,Neutral,0.3894025762379575,0.6105753847451653,2.2039016187756356e-05
2017-12-26,0,Bull,0.6043748219530513,0.39561071783101726,1.4460216839808749e-05
2017-12-27,1,Neutral,0.38312616680067973,0.6168601024726958,1.3730725954875077e-05
2017-12-28,0,Bull,0.6108007559211995,0.38918595075454737,1.329332481233692e-05
2017-12-29,1,Neutral,0.3765242740889474,0.6234622193566884,1.350655426575959e-05
2017-12-30,1,Neutral,0.3765242740889474,0.6234622193566884,1.350655426575959e-05
2017-12-31,1,Neutral,0.3765242740889474,0.6234622193566884,1.350655426575959e-05
2018-01-01,0,Bull,0.617648304782347,0.382339980304816,1.171491270264642e-05
2018-01-02,1,Neutral,0.3694850138275612,0.630497782540893,1.7203632125104103e-05
2018-01-03,0,Bull,0.6247285065412755,0.37525119381080757,2.0299648491610644e-05
2018-01-04,1,Neutral,0.3620056526149475,0.6379682347681132,2.611261677976935e-05
2018-01-05,0,Bull,0.6323664565474174,0.36759336660804076,4.017684364215936e-05
2018-01-06,0,Bull,0.6323664565474174,0.36759336660804076,4.017684364215936e-05
2018-01-07,0,Bull,0.6323664565474174,0.36759336660804076,4.017684364215936e-05
2018-01-08,1,Neutral,0.35391631877128504,0.6460369037582412,4.677746996050163e-05
2018-01-09,0,Bull,0.6407359162521816,0.35924465127000477,1.9432477641230695e-05
2018-01-10,1,Neutral,0.34553377883568953,0.654448940267606,1.728089743629764e-05
2018-01-11,0,Bull,0.6494019227396262,0.35058368225955655,1.439500113131186e-05
2018-01-12,1,Neutral,0.3365903055062334,0.6633942165389108,1.547795453004023e-05
2018-01-13,1,Neutral,0.3365903055062334,0.6633942165389108,1.547795453004023e-05
2018-01-14,1,Neutral,0.3365903055062334,0.6633942165389108,1.547795453004023e-05
2018-01-15,0,Bull,0.6586258841355765,0.341362708185286,1.140767955668773e-05
2018-01-16,1,Neutral,0.32714022687731786,0.6728513364249046,8.436697891818742e-06
2018-01-17,0,Bull,0.6684559313974906,0.3315348399800493,9.228621969036004e-06
2018-01-18,1,Neutral,0.3170923589334558,0.682899879883196,7.761183391002795e-06
2018-01-19,0,Bull,0.6787739317386138,0.3212190315750207,7.036685792753994e-06
2018-01-20,0,Bull,0.6787739317386138,0.3212190315750207,7.036685792753994e-06
2018-01-21,0,Bull,0.6787739317386138,0.3212190315750207,7.036685792753994e-06
2018-01-22,1,Neutral,0.3064297446432752,0.6935581470635223,1.2108293022616586e-05
2018-01-23,0,Bull,0.6896826308797545,0.31030449593849846,1.2873182527290418e-05
2018-01-24,1,Neutral,0.295229060808952,0.7047613549407604,9.58424990321229e-06
2018-01-25,0,Bull,0.701231189240873,0.2987610508401122,7.759918490621753e-06
2018-01-26,1,Neutral,0.2833656539006985,0.7166178588215042,1.648727808884962e-05
2018-01-27,1,Neutral,0.2833656539006985,0.7166178588215042,1.648727808884962e-05
2018-01-28,1,Neutral,0.2833656539006985,0.7166178588215042,1.648727808884962e-05
2018-01-29,0,Bull,0.7133832587572763,0.2866074801575354,9.261084733170738e-06
2018-01-30,1,Neutral,0.2709463871852616,0.7289530859041241,0.00010052691005697157
2018-01-31,0,Bull,0.7241769401945677,0.2739599902311622,0.001863069573456294
2018-02-01,1,Neutral,0.2213880888454081,0.7396314680530424,0.03898044310162277
2018-02-02,2,Bear,0.0024376975134531983,0.21773564636303852,0.779826656124027
2018-02-03,2,Bear,0.0024376975134531983,0.21773564636303852,0.779826656124027
2018-02-04,2,Bear,0.0024376975134531983,0.21773564636303852,0.779826656124027
2018-02-05,2,Bear,1.8685328950180506e-19,4.7115265959889294e-17,1.0
2018-02-06,2,Bear,3.854832196302678e-13,2.6996097715523395e-11,0.9999999999727152
2018-02-07,2,Bear,7.739774952267304e-12,5.094819468589766e-10,0.999999999483407
2018-02-08,2,Bear,2.328732072645518e-20,2.6584013678944155e-18,1.0
2018-02-09,2,Bear,7.888371525123595e-13,5.0133251794586674e-11,0.9999999999490683
2018-02-10,2,Bear,7.888371525123595e-13,5.0133251794586674e-11,0.9999999999490683
2018-02-11,2,Bear,7.888371525123595e-13,5.0133251794586674e-11,0.9999999999490683
2018-02-12,2,Bear,4.20783412122432e-09,1.1188297810638244e-07,0.9999998839084651
2018-02-13,2,Bear,2.6364039051424023e-06,7.081296383906169e-07,0.9999966554661565
2018-02-14,2,Bear,5.0332680693789065e-06,0.00020370851126806354,0.999791258220208
2018-02-15,2,Bear,2.4532255610457147e-08,1.4356349950795167e-07,0.9999998319035653
2018-02-16,2,Bear,0.00010645695418444658,2.3053475818893578e-05,0.9998704895695699
2018-02-17,2,Bear,0.00010645695418444658,2.3053475818893578e-05,0.9998704895695699
2018-02-18,2,Bear,0.00010645695418444658,2.3053475818893578e-05,0.9998704895695699
2018-02-19,2,Bear,0.005825418667023102,0.0060154971922040746,0.9881590841401819
2018-02-20,2,Bear,0.0896001112890371,0.023977023843204697,0.8864228648670418
2018-02-21,2,Bear,0.2366583573660188,0.3278463474774613,0.43549529515651847
2018-02-22,0,Bull,0.6231489272441265,0.30440205172744805,0.07244902102867128
2018-02-23,1,Neutral,0.3181521059657552,0.6730414010714068,0.008806492962837654
2018-02-24,1,Neutral,0.3181521059657552,0.6730414010714068,0.008806492962837654
2018-02-25,1,Neutral,0.3181521059657552,0.6730414010714068,0.008806492962837654
2018-02-26,0,Bull,0.675499689509565,0.3219978695926359,0.002502440898265072
2018-02-27,1,Neutral,0.30521656767687566,0.6923844756202117,0.002398956703443637
2018-02-28,0,Bull,0.68889448453228,0.3079556229019394,0.0031498925650211237
2018-03-01,1,Neutral,0.2889051361435965,0.7064026469956338,0.004692216860589286
2018-03-02,0,Bull,0.7050940439847045,0.29258011526355343,0.0023258407510906424
2018-03-03,0,Bull,0.7050940439847045,0.29258011526355343,0.0023258407510906424
2018-03-04,0,Bull,0.7050940439847045,0.29258011526355343,0.0023258407510906424
2018-03-05,1,Neutral,0.27550128974671484,0.723448823324702,0.001049886927860203
2018-03-06,0,Bull,0.7214256902605329,0.2784089517366558,0.00016535800236623256
2018-03-07,1,Neutral,0.2613005404127987,0.7386316910015907,6.776858497512848e-05
2018-03-08,0,Bull,0.7365333863707252,0.26338210892295044,8.450470706428972e-05
2018-03-09,1,Neutral,0.24678134276130978,0.7530498478689789,0.0001688093693977232
2018-03-10,1,Neutral,0.24678134276130978,0.7530498478689789,0.0001688093693977232
2018-03-11,1,Neutral,0.24678134276130978,0.7530498478689789,0.0001688093693977232
2018-03-12,0,Bull,0.7515945792263622,0.24835904059190955,4.6380181936188317e-05
2018-03-13,1,Neutral,0.23107408344635097,0.768897536595972,2.837995740778519e-05
2018-03-14,0,Bull,0.7675350205300748,0.23242732008879724,3.765938062102144e-05
2018-03-15,1,Neutral,0.21428037473520883,0.7855190437660964,0.0002005814988795417
2018-03-16,0,Bull,0.7823565424382455,0.21527439324788916,0.002369064313835739
2018-03-17,0,Bull,0.7823565424382455,0.21527439324788916,0.002369064313835739
2018-03-18,0,Bull,0.7823565424382455,0.21527439324788916,0.002369064313835739
2018-03-19,1,Neutral,0.16888640376606837,0.8009081904789443,0.030205405755273473
2018-03-20,0,Bull,0.7659054049399465,0.16913766330659677,0.06495693175353312
2018-03-21,1,Neutral,0.0170592320274044,0.7828632552048344,0.20007751276752384
2018-03-22,2,Bear,7.75226988136861e-05,0.008128074179277595,0.9917944031226926
2018-03-23,2,Bear,8.705578259498021e-08,1.941638613781104e-07,0.9999997187806398
2018-03-24,2,Bear,8.705578259498021e-08,1.941638613781104e-07,0.9999997187806398
2018-03-25,2,Bear,8.705578259498021e-08,1.941638613781104e-07,0.9999997187806398
2018-03-26,2,Bear,2.7684476401538056e-06,4.637854486025804e-05,0.999950853007193
2018-03-27,2,Bear,1.3103844817163981e-07,3.6229661945063472e-06,0.9999962459949051
2018-03-28,2,Bear,3.892459066642643e-06,2.1088788911168173e-06,0.9999939986626487
2018-03-29,2,Bear,0.00013999805810090856,0.0001906050327566063,0.9996693969084661
2018-03-30,2,Bear,6.362950183811079e-05,0.00017601943979432308,0.9997603510586573
2018-03-31,2,Bear,6.362950183811079e-05,0.00017601943979432308,0.9997603510586573
2018-04-01,2,Bear,6.362950183811079e-05,0.00017601943979432308,0.9997603510586573
2018-04-02,2,Bear,0.0001292705710489105,0.0001130405119172722,0.999757688916308
2018-04-03,2,Bear,0.004373143584921515,0.00223959132489654,0.9933872650897045
2018-04-04,2,Bear,0.009053676557892064,0.008091143386861116,0.9828551800548504
2018-04-05,2,Bear,0.021630434237987915,0.015401129704858574,0.9629684360563616
2018-04-06,2,Bear,0.01906589344340248,0.02446657563546877,0.9564675309203231
2018-04-07,2,Bear,0.01906589344340248,0.02446657563546877,0.9564675309203231
2018-04-08,2,Bear,0.01906589344340248,0.02446657563546877,0.9564675309203231
2018-04-09,2,Bear,0.034190421040052925,0.024743432064195187,0.9410661468959259
2018-04-10,2,Bear,0.1145819762076216,0.07922343551277045,0.8061945882804131
2018-04-11,0,Bull,0.3650925017535436,0.2540904849469465,0.3808170132995359
2018-04-12,1,Neutral,0.4419651156792025,0.472735914522999,0.08529896979786286
2018-04-13,0,Bull,0.5035489449451649,0.4685553551666628,0.02789569988902927
2018-04-14,0,Bull,0.5035489449451649,0.4685553551666628,0.02789569988902927
2018-04-15,0,Bull,0.5035489449451649,0.4685553551666628,0.02789569988902927
2018-04-16,1,Neutral,0.47301142201573176,0.5187442058711605,0.008244372113201772
2018-04-17,0,Bull,0.5148469727145423,0.48421592385857926,0.0009371034271631542
2018-04-18,1,Neutral,0.47537002143099427,0.5244052432428706,0.0002247353270339809
2018-04-19,0,Bull,0.5158372155920116,0.48413500234202855,2.7782065905126638e-05
2018-04-20,1,Neutral,0.4743214170320993,0.5256630249873709,1.5557980546217796e-05
2018-04-21,1,Neutral,0.4743214170320993,0.5256630249873709,1.5557980546217796e-05
2018-04-22,1,Neutral,0.4743214170320993,0.5256630249873709,1.5557980546217796e-05
2018-04-23,0,Bull,0.5167900427831827,0.48319226617210875,1.769104462197442e-05
2018-04-24,1,Neutral,0.47302768090976405,0.5268453652129265,0.00012695387736685215
2018-04-25,0,Bull,0.5171339319183283,0.48275166947120324,0.00011439860965732277
2018-04-26,1,Neutral,0.47279634158362793,0.5271840473545025,1.961106194367394e-05
2018-04-27,0,Bull,0.5181887396976528,0.48180349781901527,7.762483419710625e-06
2018-04-28,0,Bull,0.5181887396976528,0.48180349781901527,7.762483419710625e-06
2018-04-29,0,Bull,0.5181887396976528,0.48180349781901527,7.762483419710625e-06
2018-04-30,1,Neutral,0.4720288534203553,0.5279612968133727,9.849765492613375e-06
2018-05-01,0,Bull,0.5187941615129741,0.4811974533903676,8.385097547290534e-06
2018-05-02,1,Neutral,0.471764839668619,0.5282266180083195,8.54232353003028e-06
2018-05-03,0,Bull,0.5188521043813171,0.48113422157645763,1.3674041698975312e-05
2018-05-04,1,Neutral,0.4714530112640925,0.5285401683725205,6.820362617004526e-06
2018-05-05,1,Neutral,0.4714530112640925,0.5285401683725205,6.820362617004526e-06
2018-05-06,1,Neutral,0.4714530112640925,0.5285401683725205,6.820362617004526e-06
2018-05-07,0,Bull,0.519499787182273,0.48049311105930304,7.101758577283537e-06
2018-05-08,1,Neutral,0.47096722123997214,0.5290257307023926,7.048057544449207e-06
2018-05-09,0,Bull,0.5199552858839336,0.4800235812686057,2.1132847584860933e-05
2018-05-10,1,Neutral,0.4706575330991885,0.5292719281082563,7.053879179493345e-05
2018-05-11,0,Bull,0.5205271458178128,0.47945183027711746,2.1023904231801914e-05
2018-05-12,0,Bull,0.5205271458178128,0.47945183027711746,2.1023904231801914e-05
2018-05-13,0,Bull,0.5205271458178128,0.47945183027711746,2.1023904231801914e-05
