Date,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC,log_ret_5d,log_ret_10d,log_ret_20d,log_ret_50d,log_ret_100d,above_sma_200,adx_strong_trend,adx_value,donchian_pct,sharpe_proxy_20d,higher_high_count_50
2014-12-26,43.1593313801243,48.268293971903496,36.803432776472306,-10.91957586396967,-10.878494015948892,-0.0410818480207773,-51.731706028096504,-55.43778130769506,0.26355843260085127,370.6982674686709,303.8806265742978,19.810178315515753,0.35983588067976363,12.647179586192673,0.40687098576024855,-135295432,20663944.5,-46.83119012211282,0.021830041885436025,0.0026321172641248225,-0.13357062952395093,-0.06312063871477136,-0.3326321014405531,0.0,1.0,25.14918187914994,0.3287818124375818,-0.24880535494774067,0.4
2014-12-27,38.44076011158515,23.696129968881827,34.0226376147502,-11.22468838809067,-10.947732890377248,-0.27695549771342165,-76.30387003111817,-78.13289482759757,-1.2236673086209562,364.11092093985803,304.5447736402201,17.81668735717446,0.19001116346575533,12.906738605705696,0.4200021431038114,-150480632,21098622.0,-59.57932170816043,-0.04948289911706816,-0.012312157588498351,-0.17187073432988154,-0.08071488052933606,-0.29546206261267827,0.0,0.0,24.976118219805528,0.1619985854213366,-0.31252304089091254,0.4
2014-12-28,39.256696098885485,27.335428424833246,33.09995078853953,-11.226053038628322,-11.003396920027463,-0.22265611860085954,-72.66457157516675,-88.45912206240514,1.876394575210235,359.90332313339115,304.2853731556713,16.747635209231042,0.2329039549532627,12.624115291514665,0.4095693635781985,-138804032,20737517.0,-70.19222423608097,-0.05319659992455783,0.01859007456105921,-0.13173731344548845,-0.08530245329316255,-0.21871367432248423,0.0,0.0,24.92294263763159,0.22107624597684675,-0.24351107055201676,0.4
2014-12-29,37.48025593522817,20.270535778433675,23.76736472404959,-11.463668632871304,-11.095451262596232,-0.3682173702750724,-79.72946422156633,-87.62442997549566,-1.6275248608291881,357.5424082513104,302.6913899664631,16.61563477450305,0.18192230104920235,12.290963588912055,0.40357235660502816,-151106532,19706867.0,-48.35894572914524,-0.03106018223072926,-0.016409145255412483,-0.11910476038519135,-0.1499814992843067,-0.2683320251580632,0.0,0.0,24.844991079728633,0.14771148881974577,-0.22265847588166043,0.4
2014-12-30,36.72311823552206,20.293265852864398,22.63307668537711,-11.673395138665512,-11.211040037810088,-0.4623551008554241,-79.7067341471356,-100.82380465687726,-5.824714358992667,355.93588042387006,300.7351187216378,16.81230380938467,0.18119099232785596,11.8013236638949,0.40155838332127225,-163634832,19511897.0,-39.93153279281957,-0.026269273392223624,-0.06001239932717084,-0.10854621045543755,-0.16620787907557055,-0.24956583711996405,0.0,0.0,24.994780062685326,0.11387317081509647,-0.20308017086329708,0.38
2014-12-31,42.80942276075668,49.79255087216221,30.1187841678201,-10.950356353118877,-11.158903300871847,0.20854694775296956,-50.20744912783779,-65.96981964497508,-0.20258940438106365,352.6567600239706,300.98293724165444,15.811102966506956,0.3717560437386903,11.671371589967139,0.4167516331779819,-149691932,18587477.0,-8.316236618532836,-0.02385799082839224,-0.0020279489429562148,-0.09045394122319461,-0.13832989245460858,-0.22790622900265234,0.0,0.0,24.456785131338652,0.32517711866250265,-0.16013720378753585,0.4
2015-01-01,40.192392198182866,25.34042564190045,31.808747455642358,-10.733247849979648,-11.073772210693408,0.3405243607137596,-74.65957435809955,-67.04836611673018,-5.314172376885476,348.40332627924033,301.4070710596269,14.464605494794977,0.2732541518528379,11.297131250393592,0.4177942818479368,-157728482,18139814.5,-63.98604532357014,-0.005122953389428808,-0.054605852506496966,-0.11498409917499597,-0.29851190969632135,-0.3269770936931726,0.0,0.0,23.926999850791933,0.20407862545347868,-0.20613915550625533,0.4
2015-01-02,40.70661860070892,21.026331246215634,32.05310258675943,-10.378369245107649,-10.934691617576256,0.5563223724686068,-78.97366875378437,-72.91125523178987,-5.840291044949698,344.7404854095076,301.8355125152971,13.271440026204068,0.3075750789237002,10.652620933680211,0.41734568067792055,-149867832,17949052.0,-52.57297486454851,-0.006981214077947051,-0.06017781400250488,-0.09773352513244404,-0.28932888495419107,-0.29518240144938535,0.0,0.0,23.476363879898674,0.22003127360675012,-0.17369731237377992,0.38
2015-01-03,29.04572345833499,0.0,15.45558562937203,-12.690321519969814,-11.285817598054967,-1.4045039219148467,-100.0,-238.73224089074586,-12.851977245464335,344.37815737027444,295.1428417752334,15.39756025551201,-0.285584460521418,12.325147521564661,0.5636849835850231,-182922232,18981012.0,119.01499440111847,-0.10650191989109636,-0.13756210212182562,-0.22393869723502924,-0.3473481527649831,-0.38134240198086555,0.0,1.0,25.1624142393164,0.0,-0.30534299583266755,0.38
2015-01-04,25.18162875795454,8.367345197209334,9.797892147808325,-15.70417167648526,-12.169488413741027,-3.534683262744233,-91.63265480279067,-355.5816700927873,-17.18232427911921,347.7462097856692,283.6597899701902,20.299591654263256,-0.3037271032149324,13.560352089639283,0.5916220496426022,-238551332,20899257.0,462.84020866806156,-0.16225939909731135,-0.18852867248953498,-0.26785642632403395,-0.35325529799018085,-0.42577878045694195,0.0,1.0,27.55092370701877,0.07459751742759656,-0.34906620613037304,0.38
