date,P_Sell,P_Hold,P_Buy,P_Sell_cal,P_Hold_cal,P_Buy_cal,pred_label,pred_label_cal,true_label,fold
2022-05-10,0.15677726,0.15473232,0.68849045,0.2864499,0.10592909,0.607621,Buy,Buy,Sell,1
2022-05-11,0.20080847,0.27269572,0.5264958,0.37570804,0.19579847,0.42849347,Buy,Buy,Sell,1
2022-05-12,0.33200797,0.15843278,0.5095593,0.4121349,0.14394027,0.44392487,Buy,Buy,Buy,1
2022-05-13,0.13071288,0.14006948,0.72921765,0.2864499,0.10592909,0.607621,Buy,Buy,Sell,1
2022-05-14,0.13069494,0.18497358,0.6843315,0.2864499,0.10592909,0.607621,Buy,Buy,Hold,1
2022-05-15,0.08732021,0.2567234,0.6559563,0.30966428,0.11451375,0.575822,Buy,Buy,Sell,1
2022-05-16,0.09002882,0.16796128,0.7420099,0.2864499,0.10592909,0.607621,Buy,Buy,Hold,1
2022-05-17,0.099415176,0.28950375,0.61108106,0.29368934,0.16019417,0.54611653,Buy,Buy,Hold,1
2022-05-18,0.2324428,0.28668678,0.48087046,0.38575983,0.19872476,0.4155154,Buy,Buy,Buy,1
2022-05-19,0.07822134,0.34212643,0.57965225,0.28855324,0.17488076,0.53656596,Buy,Buy,Hold,1
2022-05-20,0.066950664,0.17544183,0.75760746,0.0,0.13963772,0.86036223,Buy,Buy,Hold,1
2022-05-21,0.077401206,0.30676082,0.615838,0.29368934,0.16019417,0.54611653,Buy,Buy,Sell,1
2022-05-22,0.10019886,0.29889786,0.6009033,0.29368934,0.16019417,0.54611653,Buy,Buy,Sell,1
2022-05-23,0.08454772,0.6482358,0.2672165,0.39759037,0.24096385,0.36144578,Hold,Sell,Sell,1
2022-05-24,0.12631907,0.537232,0.33644897,0.3766462,0.22827041,0.3950834,Hold,Buy,Sell,1
2022-05-25,0.13428108,0.47942534,0.38629353,0.3640923,0.220662,0.41524574,Hold,Buy,Buy,1
2022-05-26,0.19740798,0.52755064,0.2750414,0.39759037,0.24096385,0.36144578,Hold,Sell,Buy,1
2022-05-27,0.3093554,0.3554187,0.33522588,0.3901576,0.22332254,0.3865198,Hold,Sell,Buy,1
2022-05-28,0.21600926,0.19321123,0.59077954,0.30966428,0.11451375,0.575822,Buy,Buy,Buy,1
2022-05-29,0.2358088,0.3169074,0.44728383,0.38575983,0.19872476,0.4155154,Buy,Buy,Hold,1
2022-05-30,0.3173871,0.41952592,0.263087,0.4113573,0.23545705,0.3531856,Hold,Sell,Sell,1
2022-05-31,0.27771124,0.24856223,0.47372657,0.4121349,0.14394027,0.44392487,Buy,Buy,Sell,1
2022-06-01,0.19919725,0.541186,0.25961676,0.39759037,0.24096385,0.36144578,Hold,Sell,Hold,1
2022-06-02,0.24447669,0.41840288,0.3371204,0.3901576,0.22332254,0.3865198,Hold,Sell,Hold,1
2022-06-03,0.22994073,0.53067243,0.23938678,0.47903225,0.27419356,0.2467742,Hold,Sell,Hold,1
2022-06-04,0.26597682,0.41441584,0.31960732,0.3901576,0.22332254,0.3865198,Hold,Sell,Hold,1
2022-06-05,0.2947837,0.28190842,0.42330787,0.38575983,0.19872476,0.4155154,Buy,Buy,Sell,1
2022-06-06,0.42812422,0.24246334,0.32941243,0.42736298,0.14925876,0.42337823,Sell,Sell,Sell,1
2022-06-07,0.22747236,0.43519318,0.33733445,0.3784817,0.22759826,0.39392006,Hold,Buy,Sell,1
2022-06-08,0.09146726,0.7467188,0.16181386,0.60554004,0.36699396,0.027466035,Hold,Sell,Sell,1
