coin,n_days,first_date,last_date,n_columns,train_end,val_end,test_start,close_min,close_max,close_mean,ret_mean_daily_pct,ret_std_daily_pct,ret_annual_vol_pct,ret_min_daily_pct,ret_max_daily_pct,vix_mean,vix_max
BTC,2902,2018-01-01,2025-12-30,15,2023-08-05,2024-10-14,2024-10-16,3236.76,124752.53,37208.53,0.0644,3.4368,54.56,-46.47,17.18,19.64,82.69
ETH,2902,2018-01-01,2025-12-30,15,2023-08-05,2024-10-14,2024-10-16,84.31,4831.35,1704.09,0.0464,4.5164,71.7,-55.07,23.07,19.64,82.69
