date,P_Sell,P_Hold,P_Buy,P_Sell_cal,P_Hold_cal,P_Buy_cal,pred_label,pred_label_cal,true_label,fold
2022-03-16,0.2083886710368899,0.2790070016018213,0.5126043273612888,0.4213732576148683,0.19700567888487353,0.38162106350025815,Buy,Sell,Buy,1
2022-03-17,0.1540906177645871,0.18446789403371297,0.6614414882016999,0.3274021352313167,0.16370106761565836,0.5088967971530249,Buy,Buy,Buy,1
2022-03-18,0.08829747300708284,0.1670582695313834,0.7446442574615338,0.11003627569528417,0.1354292623941959,0.75453446191052,Buy,Buy,Buy,1
2022-03-19,0.19782866515439276,0.1468920359915303,0.6552792988540769,0.4203194888178914,0.14108626198083069,0.438594249201278,Buy,Buy,Buy,1
2022-03-20,0.3752248157307727,0.15209083117414632,0.472684353095081,0.468638700743258,0.15730529815158312,0.3740560011051588,Buy,Sell,Buy,1
2022-03-21,0.09736034085802787,0.15941261680968502,0.7432270423322871,0.23333333333333334,0.11666666666666667,0.65,Buy,Buy,Buy,1
2022-03-22,0.12838739155815967,0.1684603668452279,0.7031522415966125,0.3274021352313167,0.16370106761565836,0.5088967971530249,Buy,Buy,Buy,1
2022-03-23,0.0997338368752145,0.15631239577059594,0.7439537673541895,0.23333333333333334,0.11666666666666667,0.65,Buy,Buy,Buy,1
2022-03-24,0.14506756673999446,0.14750097653805472,0.7074314567219507,0.3274021352313167,0.16370106761565836,0.5088967971530249,Buy,Buy,Buy,1
2022-03-25,0.13181519280775433,0.15187318757903998,0.7163116196132057,0.2942970411885185,0.14714852059425926,0.5585544382172222,Buy,Buy,Buy,1
2022-03-26,0.49646039628621513,0.13010407555741982,0.3734355281563651,0.5332797104363562,0.15041222602051077,0.3163080635431329,Sell,Sell,Buy,1
2022-03-27,0.132109729544986,0.14149718215762155,0.7263930882973926,0.23585664351040672,0.11792832175520336,0.6462150347343899,Buy,Buy,Buy,1
2022-03-28,0.3129145792442991,0.09057513558329788,0.596510285172403,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Buy,1
2022-03-29,0.2919601653152222,0.08834187341379436,0.6196979612709834,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Buy,1
2022-03-30,0.2697721223643983,0.12448564748087707,0.6057422301547247,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Buy,1
2022-03-31,0.21265925261921553,0.16269278798847514,0.6246479593923093,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Buy,1
2022-04-01,0.2974788181973199,0.1280358543212655,0.5744853274814146,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Sell,1
2022-04-02,0.38580224090688797,0.11671052218603867,0.4974872369070735,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Sell,1
2022-04-03,0.30057719220158047,0.18712367099378094,0.5122991368046387,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Sell,1
2022-04-04,0.33985955207691526,0.16742242470999388,0.4927180232130907,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Sell,1
2022-04-05,0.2239673156174724,0.24376616399774073,0.532266520384787,0.42871758800396453,0.183009879464143,0.3882725325318924,Buy,Sell,Sell,1
2022-04-06,0.2985838596115206,0.37675776327372523,0.32465837711475415,0.4441805225653207,0.24228028503562948,0.3135391923990499,Hold,Sell,Sell,1
2022-04-07,0.28322994204904955,0.20684994319037417,0.5099201147605762,0.42871758800396453,0.183009879464143,0.3882725325318924,Buy,Sell,Sell,1
2022-04-08,0.2684011295137578,0.20726134359910361,0.5243375268871386,0.42871758800396453,0.183009879464143,0.3882725325318924,Buy,Sell,Sell,1
2022-04-09,0.1830361639974653,0.1320383380118827,0.684925497990652,0.3274021352313167,0.16370106761565836,0.5088967971530249,Buy,Buy,Sell,1
2022-04-10,0.22548791010516364,0.11151296890590917,0.6629991209889272,0.4203194888178914,0.14108626198083069,0.438594249201278,Buy,Buy,Sell,1
2022-04-11,0.18515457073401956,0.2886314953744871,0.5262139338914933,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Buy,1
2022-04-12,0.19466284877559217,0.23242182269870867,0.5729153285256992,0.42871758800396453,0.183009879464143,0.3882725325318924,Buy,Sell,Hold,1
2022-04-13,0.24599112173207446,0.17860369166542256,0.575405186602503,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Sell,1
2022-04-14,0.1628554058150684,0.15462565558527533,0.6825189385996562,0.3274021352313167,0.16370106761565836,0.5088967971530249,Buy,Buy,Buy,1
2022-04-15,0.1448814101306852,0.10700781933789973,0.7481107705314151,0.23333333333333334,0.11666666666666667,0.65,Buy,Buy,Hold,1
2022-04-16,0.13191776693983778,0.09824245786340605,0.7698397751967562,0.23333333333333334,0.11666666666666667,0.65,Buy,Buy,Sell,1
2022-04-17,0.12398312498162503,0.0944995321001961,0.7815173429181789,0.23333333333333334,0.11666666666666667,0.65,Buy,Buy,Hold,1
2022-04-18,0.21215404888386596,0.22771557056935246,0.5601303805467815,0.42871758800396453,0.183009879464143,0.3882725325318924,Buy,Sell,Sell,1
2022-04-19,0.2246189970354362,0.19740923409353273,0.5779717688710311,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Sell,1
2022-04-20,0.20435377516187717,0.22296567961568162,0.5726805452224412,0.42871758800396453,0.183009879464143,0.3882725325318924,Buy,Sell,Sell,1
2022-04-21,0.16489774855263928,0.2683502930899161,0.5667519583574447,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Sell,1
2022-04-22,0.12793376155118344,0.20730716359812904,0.6647590748506876,0.313458262350937,0.19931856899488928,0.48722316865417375,Buy,Buy,Sell,1
2022-04-23,0.14280973063608157,0.11528783398320769,0.7419024353807108,0.23333333333333334,0.11666666666666667,0.65,Buy,Buy,Hold,1
2022-04-24,0.14861295006792155,0.1257938560433517,0.7255931938887267,0.23963220286870143,0.11981610143435072,0.6405516956969479,Buy,Buy,Sell,1
2022-04-25,0.22728071501367517,0.2935865581756073,0.4791327268107174,0.4213732576148683,0.19700567888487353,0.38162106350025815,Buy,Sell,Sell,1
2022-04-26,0.13923678848512083,0.2938689496470626,0.5668942618678166,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Hold,1
2022-04-27,0.1338749263292338,0.23593220074468035,0.6301928729260857,0.33501666151362125,0.21302689889724827,0.4519564395891305,Buy,Buy,Hold,1
2022-04-28,0.1445487808289958,0.2401850227785356,0.6152661963924686,0.33501666151362125,0.21302689889724827,0.4519564395891305,Buy,Buy,Sell,1
2022-04-29,0.15627325226489971,0.2905600054980386,0.5531667422370616,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Buy,1
2022-04-30,0.16642281428299932,0.18688481281247413,0.6466923729045265,0.3274021352313167,0.16370106761565836,0.5088967971530249,Buy,Buy,Hold,1
2022-05-01,0.13883592436707137,0.2147912702398989,0.6463728053930298,0.313458262350937,0.19931856899488928,0.48722316865417375,Buy,Buy,Sell,1
2022-05-02,0.13711316697081607,0.2516302716863281,0.6112565613428558,0.33501666151362125,0.21302689889724827,0.4519564395891305,Buy,Buy,Sell,1
2022-05-03,0.2066580768349144,0.2111115888119962,0.5822303343530894,0.42871758800396453,0.183009879464143,0.3882725325318924,Buy,Sell,Sell,1
2022-05-04,0.19013605412903983,0.2922574657678719,0.5176064801030882,0.4213732576148683,0.19700567888487353,0.38162106350025815,Buy,Sell,Sell,1
2022-05-05,0.16007980679472433,0.3227837829386314,0.5171364102666443,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Sell,1
2022-05-06,0.14992455062405405,0.310561674425251,0.539513774950695,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Sell,1
2022-05-07,0.21632415277952918,0.19873320094663705,0.5849426462738337,0.4461647141932066,0.1497615823865309,0.4040737034202626,Buy,Sell,Sell,1
2022-05-08,0.1251752707386296,0.3109554402327535,0.5638692890286169,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Sell,1
2022-05-09,0.08639568491886811,0.3075319498101347,0.6060723652709972,0.1656989727556945,0.2840553818669048,0.5502456453774006,Buy,Buy,Sell,1
2022-05-10,0.12762852225223922,0.3341379408394756,0.5382335369082851,0.3283549065162075,0.22867573846664452,0.4429693550171479,Buy,Buy,Sell,1
2022-05-11,0.09486913250384317,0.3268306672632907,0.5783002002328661,0.27513468131890184,0.24679568666015972,0.4780696320209384,Buy,Buy,Sell,1
2022-05-12,0.06696571641189908,0.23754177887523903,0.6954925047128618,0.1564625850340136,0.2448979591836735,0.5986394557823129,Buy,Buy,Buy,1
2022-05-13,0.03303859794679366,0.10990746260682768,0.8570539394463786,0.0,0.15217391304347827,0.8478260869565217,Buy,Buy,Sell,1
2022-05-14,0.018247667681673282,0.06396878449601913,0.9177835478223075,0.0,0.09523809523809525,0.9047619047619049,Buy,Buy,Hold,1
2022-05-15,0.029305206824509236,0.09046842706342613,0.8802263661120645,0.0,0.15217391304347827,0.8478260869565217,Buy,Buy,Sell,1
