,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC,log_ret_5d,log_ret_10d,log_ret_20d,log_ret_50d,log_ret_100d,above_sma_200,adx_strong_trend,adx_value,donchian_pct,sharpe_proxy_20d,higher_high_count_50
2013-05-26,60.02681346846036,92.4196482716798,94.38320747729556,3.4969418779886894,1.8336038239245545,1.663338054064135,-7.580351728320193,154.28829796252882,12.934607901192798,134.28517052111098,106.553829478889,23.02894551316189,0.9716865289740033,10.407123262612783,0.423846297785015,87726.30000000034,45641.0435,-48.2441967994093,0.08281183154379868,0.12163877407801849,0.1733729512179405,-0.06615238669502688,1.5945677499546491,0.0,0.0,9.14572108286364,0.9350311850311607,0.3376008563327801,0.46
2013-05-27,57.136180821938154,83.74772589448146,89.91324186245,3.619110809881491,2.190705221115942,1.428405588765549,-16.252274105518534,107.87639494070108,5.781376518218613,135.08558321066073,107.85641678933922,22.416186926362272,0.8367345095375496,10.483043029569014,0.4217311099352441,40929.71000000034,40999.537,-40.81125851896196,0.05377808841171383,0.056204292594177474,0.1755168374345777,-0.2170010258583357,1.5684934514388895,0.0,0.0,8.668841704942071,0.8374772589447892,0.34317944262205063,0.44
2013-05-28,55.48614023350087,78.77501516070346,84.98079644228825,3.5427575706535492,2.4611156910234637,1.0816418796300855,-21.224984839296543,81.40145501844046,4.6992938884830835,135.69661520735113,108.82538479264885,21.978578953797438,0.7507886649028489,10.108539956028368,0.41869687558554713,18181.01000000034,39052.956,0.587998082749519,0.02115237500522671,0.04592218772509504,0.13065623859258935,-0.3739664410487933,1.5710374521138042,0.0,0.0,8.226025139729186,0.7877501516070107,0.26005153748949816,0.42
2013-05-29,58.070356109819556,84.30962343096235,82.27745482871576,3.7018226103393204,2.709257074886635,0.9925655354526852,-15.690376569037653,102.4513780100433,7.959183673469387,136.6046125565528,109.86238744344715,21.700450862067267,0.8371634171002947,9.752215673454913,0.4217714773068258,37358.32000000034,38667.0985,-6.353612068893943,-0.006406654662657552,0.07658304075362654,0.15907773167444983,-0.553385238184787,1.5907107733834023,0.0,0.0,8.061543258281239,0.8862947240751702,0.31213138394500284,0.42
2013-05-30,54.456243861737946,62.943901183736564,75.3428465918008,3.5090465290636104,2.8692149657220303,0.6398315633415801,-37.056098816263436,74.02377602414303,5.55646615308967,137.11620839266843,110.46079160733157,21.53303157024833,0.6880105661209108,9.477057411065276,0.4178178888942352,12791.870000000341,36023.237499999996,42.51235053474509,-0.024465348470609882,0.05407584794654685,0.09012179940402198,-0.24768466023032687,1.4765860984969619,0.0,0.0,7.759231158120038,0.781685870224355,0.18374313273285614,0.4
2013-05-31,54.473932844805304,56.48484848484844,67.91279103318244,3.319617445111845,2.959295461599994,0.3603219835118514,-43.51515151515156,57.09883772374985,4.825453657742691,137.39641018580346,111.49858981419658,20.810237547244324,0.6688366023572304,9.062267595989185,0.4099969441099231,29258.74000000034,35445.407499999994,23.68392787263016,-0.03568539672155957,0.047126434822239105,0.10793416397059907,0.030902663987212975,1.4689539556750102,0.0,0.0,7.454190030602946,0.78229229836262,0.22138533755295506,0.4
2013-06-01,54.926405294801135,59.39393939393946,59.607563020841496,3.171664545205317,3.0017692783210586,0.1698952668842586,-40.60606060606054,54.84355904523985,4.442649434571902,137.49015134663708,112.85284865336291,19.682837301841207,0.6675711035172317,8.607105624847101,0.40740679460895024,35568.66000000034,34732.144,-65.32721414096122,-0.010310162884398011,0.04346792552731582,0.1187696010383208,0.09996135098005521,1.4676268922664528,0.0,0.0,7.170937555051361,0.796846573680995,0.2438832058702411,0.4
2013-06-02,47.694500936486875,35.714285714285715,50.53102453102455,2.4771525632819333,2.896845935313234,-0.4196933720313005,-64.28571428571429,-30.708634448744395,-3.008709422011082,137.34022644750783,113.45477355249214,19.047790342722696,0.3786918542957741,9.070883794500878,0.45092300934918333,-65546.07999999967,38481.1805,358.6638543013313,-0.05170137437688993,-0.03054899937166322,0.03759591140985297,0.27551153683152574,1.3986148455079315,0.0,0.0,7.9843928260063874,0.5906610066706917,0.07992483412580721,0.42
2013-06-03,46.006100862533216,27.33333333333331,40.81385281385284,1.7643907248715038,2.6703548932248884,-0.9059641683533846,-72.66666666666669,-80.76604857156768,-9.2862509391435,136.20417209344683,115.52482790655316,16.429846530907184,0.2521923348397167,8.970820666322243,0.3988326610738421,-94341.36999999968,35534.6405,-40.81131363028029,-0.09105459737012822,-0.09746125203278577,0.08051214587509659,0.2938298030380153,1.3991310798569216,0.0,0.0,8.739744149036055,0.5372953305033189,0.17195784163372715,0.42
2013-06-04,46.76713276646624,30.476190476190503,31.17460317460318,1.2385016409331655,2.3839842427665436,-1.1454826018333781,-69.5238095238095,-68.54805725971373,-8.02333510114403,135.3482340235211,117.09876597647896,14.458058956566825,0.235690926027742,8.701476333013511,0.3911607926213926,-72591.63999999968,30727.2155,29.33503720732751,-0.05916993504485557,-0.08363528351546545,0.06096446538868072,0.38762680829789886,1.4015669023295514,0.0,0.0,9.236943333097614,0.38912133891211803,0.13518045200794548,0.44
