,P_Risk-On,P_Risk-Off,P_Neutral,regime_label,regime_cluster
2001-04-06,3.733858228800674e-08,0.9999999626614169,1.3493004291686324e-16,Risk-Off,1
2001-04-09,1.3186352875438164e-08,0.9999999868136468,3.269108440995589e-17,Risk-Off,1
2001-04-10,3.389439816537703e-12,0.9999999999966107,5.3400956748804754e-20,Risk-Off,1
2001-04-11,1.7011414235061844e-10,0.9999999998298854,2.1724315182861652e-20,Risk-Off,1
2001-04-12,3.7488888624602136e-06,0.9999962511111382,1.25842017921653e-18,Risk-Off,1
2001-04-13,7.919216231533678e-08,0.9999999208078374,2.4015902394424553e-19,Risk-Off,1
2001-04-16,1.717624706858165e-08,0.9999999828237521,7.094933965999801e-20,Risk-Off,1
2001-04-17,4.305169023434322e-07,0.9999995694830982,8.89702115172746e-20,Risk-Off,1
2001-04-18,1.3978962641022835e-09,0.9999999986021031,1.5202091699284828e-21,Risk-Off,1
2001-04-19,5.610209852809925e-09,0.9999999943897908,1.4354223804716037e-21,Risk-Off,1
2001-04-20,2.5576756944159942e-08,0.9999999744232436,1.9455618611363885e-21,Risk-Off,1
2001-04-23,5.777460479318025e-10,0.9999999994222541,2.1680332096602214e-22,Risk-Off,1
2001-04-24,1.667031758645703e-08,0.9999999833296817,4.1149701394631743e-23,Risk-Off,1
2001-04-25,3.429437110573594e-08,0.9999999657056288,2.9643410846693223e-22,Risk-Off,1
2001-04-26,1.6565178426651684e-07,0.9999998343482156,1.236663741464705e-21,Risk-Off,1
2001-04-27,1.6825695854778299e-07,0.9999998317430413,3.403441016910354e-24,Risk-Off,1
2001-04-30,1.7461801221262568e-09,0.9999999982538199,8.80381965836898e-25,Risk-Off,1
2001-05-01,8.612958518782723e-11,0.9999999999138698,2.2227399843391084e-24,Risk-Off,1
2001-05-02,3.120783798629188e-10,0.9999999996879207,4.8237488477365476e-24,Risk-Off,1
2001-05-03,9.445609022871043e-10,0.9999999990554382,1.3377666802265584e-23,Risk-Off,1
2001-05-04,5.4683394808101414e-09,0.9999999945316613,1.2455404041307817e-23,Risk-Off,1
2001-05-07,1.744428077640728e-08,0.9999999825557194,1.7930370045919776e-25,Risk-Off,1
2001-05-08,3.8357378546487584e-08,0.9999999616426212,2.230187066922398e-28,Risk-Off,1
2001-05-09,4.731201882937961e-08,0.9999999526879819,1.9052055394999802e-28,Risk-Off,1
2001-05-10,2.1746191851245477e-08,0.9999999782538078,1.0514292019512866e-28,Risk-Off,1
2001-05-11,2.8878046144528643e-08,0.9999999711219538,2.403275406220573e-30,Risk-Off,1
2001-05-14,2.887026443098622e-07,0.999999711297355,7.031470869451424e-30,Risk-Off,1
2001-05-15,5.782887131378654e-08,0.9999999421711293,5.031971654451976e-30,Risk-Off,1
2001-05-16,4.0417189745268074e-08,0.9999999595828094,7.136368144239644e-30,Risk-Off,1
2001-05-17,4.670496269424712e-08,0.9999999532950377,7.845858153785505e-28,Risk-Off,1
2001-05-18,1.2387272911990059e-08,0.9999999876127267,4.2201347348403387e-29,Risk-Off,1
2001-05-21,5.891605589842011e-10,0.9999999994108393,1.4139976295724868e-29,Risk-Off,1
2001-05-22,1.4075299350940056e-10,0.9999999998592468,7.306463868279377e-33,Risk-Off,1
2001-05-23,5.615027119133273e-09,0.9999999943849733,1.1701940274669842e-35,Risk-Off,1
2001-05-24,1.3138448199426106e-08,0.9999999868615516,8.68752725993085e-37,Risk-Off,1
2001-05-25,2.0465220677683502e-08,0.9999999795347796,1.8247677301020754e-36,Risk-Off,1
2001-05-28,1.1345281909160872e-08,0.999999988654718,7.450526073782479e-37,Risk-Off,1
2001-05-29,5.272866647288176e-09,0.9999999947271334,2.201746733477034e-35,Risk-Off,1
2001-05-30,2.5100006412455894e-09,0.9999999974899989,1.6427100239774678e-32,Risk-Off,1
2001-05-31,1.451255554531067e-09,0.9999999985487449,2.966953142079947e-35,Risk-Off,1
2001-06-01,8.182631396902704e-09,0.9999999918173685,4.380217510218104e-34,Risk-Off,1
2001-06-04,4.46225544297089e-08,0.9999999553774465,5.2706410143666e-35,Risk-Off,1
2001-06-05,6.099146189472868e-08,0.9999999390085376,1.4776771890135352e-34,Risk-Off,1
2001-06-06,2.912722223596563e-07,0.9999997087277774,8.604976144080848e-35,Risk-Off,1
2001-06-07,5.697810591735887e-07,0.999999430218941,7.464539992000027e-35,Risk-Off,1
2001-06-08,9.586483878668534e-07,0.9999990413516121,4.093148608808458e-37,Risk-Off,1
2001-06-11,6.083724403887657e-07,0.9999993916275599,6.349900637645182e-38,Risk-Off,1
2001-06-12,7.160993174941501e-07,0.999999283900682,2.392013175826278e-37,Risk-Off,1
2001-06-13,8.274706424318185e-07,0.9999991725293581,2.5458967517788953e-35,Risk-Off,1
2001-06-14,1.231869953279913e-07,0.9999998768130038,6.1054051457465946e-33,Risk-Off,1
2001-06-15,6.217941029692192e-08,0.99999993782059,4.840343586167989e-31,Risk-Off,1
2001-06-18,3.262752802094504e-09,0.9999999967372464,3.61383933334391e-33,Risk-Off,1
2001-06-19,3.309072452626942e-09,0.9999999966909279,5.686551091670414e-35,Risk-Off,1
2001-06-20,7.0274890082546986e-09,0.9999999929725103,3.9964524511052695e-35,Risk-Off,1
2001-06-21,1.4156467841594472e-08,0.9999999858435321,4.473815558173325e-35,Risk-Off,1
2001-06-22,1.473737835863498e-08,0.9999999852626208,3.8710388831383815e-35,Risk-Off,1
2001-06-25,3.5440282370207286e-08,0.9999999645597171,3.508915607340234e-33,Risk-Off,1
2001-06-26,5.372353357247116e-08,0.9999999462764656,2.4090195083867153e-34,Risk-Off,1
2001-06-27,9.8967551830612e-09,0.9999999901032446,8.730907211248541e-37,Risk-Off,1
2001-06-28,3.6235972608299347e-09,0.9999999963764026,6.2442509797430235e-40,Risk-Off,1
2001-06-29,7.277914637573716e-09,0.9999999927220848,5.7135657129458864e-39,Risk-Off,1
2001-07-02,1.750617232604863e-09,0.9999999982493826,1.8242256548096785e-39,Risk-Off,1
2001-07-03,1.5786149505358157e-09,0.9999999984213854,7.752086217690104e-39,Risk-Off,1
2001-07-04,1.9667981811105067e-08,0.9999999803320174,2.287834037724336e-39,Risk-Off,1
2001-07-05,1.0692662880594207e-08,0.9999999893073372,6.777090626373222e-42,Risk-Off,1
2001-07-06,4.832854882112266e-09,0.9999999951671459,6.06397375159341e-38,Risk-Off,1
2001-07-09,4.190543387717467e-08,0.9999999580945653,2.4592642507400493e-38,Risk-Off,1
2001-07-10,1.6003683722461347e-08,0.9999999839963164,1.5307842589673183e-35,Risk-Off,1
2001-07-11,5.494016834564484e-08,0.9999999450598317,1.342113622209836e-34,Risk-Off,1
2001-07-12,1.114205570011581e-06,0.9999988857944303,9.960477260833952e-34,Risk-Off,1
2001-07-13,4.4793601372772795e-07,0.9999995520639854,2.030503026351978e-34,Risk-Off,1
2001-07-16,1.837716674886046e-07,0.9999998162283328,7.870126787020634e-34,Risk-Off,1
2001-07-17,3.2214966135191206e-08,0.9999999677850339,7.803141399031953e-33,Risk-Off,1
2001-07-18,3.715623388755681e-08,0.9999999628437652,2.6382504892033372e-30,Risk-Off,1
2001-07-19,4.896208378839172e-07,0.9999995103791627,4.037966038783211e-30,Risk-Off,1
2001-07-20,8.773383348336283e-07,0.9999991226616658,4.9322285197776186e-30,Risk-Off,1
2001-07-23,3.5427258449556966e-08,0.9999999645727413,7.423518708130723e-31,Risk-Off,1
2001-07-24,1.0463479119387174e-08,0.999999989536521,2.1543011758201793e-28,Risk-Off,1
2001-07-25,3.0703517904135306e-08,0.9999999692964825,1.9898813741070847e-27,Risk-Off,1
2001-07-26,4.08647916893025e-08,0.9999999591352083,1.0523542597792648e-29,Risk-Off,1
2001-07-27,6.44709666827818e-08,0.9999999355290331,6.927376561441245e-31,Risk-Off,1
2001-07-30,1.3392720250117286e-08,0.9999999866072803,4.347996972795618e-31,Risk-Off,1
2001-07-31,2.503948365430436e-09,0.999999997496051,1.5298908603962878e-32,Risk-Off,1
2001-08-01,6.083794614364743e-08,0.9999999391620539,4.143156355817344e-31,Risk-Off,1
2001-08-02,1.8484461914792653e-07,0.9999998151553815,4.892936305081291e-31,Risk-Off,1
2001-08-03,5.694084915447822e-07,0.9999994305915085,2.469498438192805e-31,Risk-Off,1
2001-08-06,5.18151084485208e-07,0.9999994818489163,1.0128919666991331e-31,Risk-Off,1
2001-08-07,5.951415622518247e-07,0.9999994048584385,1.2814179334076486e-32,Risk-Off,1
2001-08-08,2.211752261481355e-06,0.9999977882477377,1.8615397253112425e-31,Risk-Off,1
2001-08-09,6.362626583736401e-06,0.9999936373734162,1.4136505103498152e-29,Risk-Off,1
2001-08-10,1.322402057204763e-05,0.9999867759794286,3.396278552634199e-30,Risk-Off,1
2001-08-13,2.6785801710904754e-05,0.9999732141982883,3.4389694588816747e-29,Risk-Off,1
2001-08-14,3.086452529701063e-05,0.9999691354747033,5.206502749600765e-27,Risk-Off,1
2001-08-15,5.5388883956573404e-05,0.9999446111160442,6.242335179866728e-23,Risk-Off,1
2001-08-16,4.104448083129294e-05,0.9999589555191684,1.8125667773776187e-22,Risk-Off,1
2001-08-17,2.7063447379399834e-05,0.9999729365526209,6.847629469902922e-23,Risk-Off,1
2001-08-20,4.791352035152909e-06,0.9999952086479647,3.024920136316898e-23,Risk-Off,1
2001-08-21,1.1142540663016635e-06,0.999998885745934,9.056916522179992e-23,Risk-Off,1
2001-08-22,1.2377694644512474e-05,0.9999876223053554,4.690050981755737e-23,Risk-Off,1
2001-08-23,1.3092383127732311e-05,0.9999869076168725,2.063320007447866e-23,Risk-Off,1
2001-08-24,9.804189773373978e-06,0.9999901958102273,1.7056124072029584e-23,Risk-Off,1
2001-08-27,2.0927247683072174e-05,0.999979072752317,5.683988902565344e-24,Risk-Off,1
2001-08-28,8.237339912130451e-06,0.999991762660088,6.786570142370415e-23,Risk-Off,1
2001-08-29,4.4779768875834844e-06,0.9999955220231116,1.0408861318509477e-22,Risk-Off,1
2001-08-30,9.648122434108069e-07,0.9999990351877557,1.0647449683180874e-22,Risk-Off,1
2001-08-31,2.2425289699261677e-07,0.9999997757471031,6.864324246086535e-24,Risk-Off,1
2001-09-03,1.6899355628385563e-07,0.9999998310064431,1.9757096864666525e-24,Risk-Off,1
2001-09-04,1.6415797378508079e-07,0.9999998358420267,2.790179349133577e-28,Risk-Off,1
2001-09-05,7.527528490239259e-07,0.9999992472471506,2.9021525339559104e-28,Risk-Off,1
2001-09-06,9.751305338595034e-08,0.9999999024869458,2.888602759111372e-26,Risk-Off,1
2001-09-07,4.796927348489688e-09,0.9999999952030727,1.7721077105063836e-25,Risk-Off,1
2001-09-10,3.0318651269935072e-09,0.9999999969681355,7.55974539563974e-27,Risk-Off,1
2001-09-11,3.1405699719691503e-09,0.9999999968594295,8.00425536140897e-27,Risk-Off,1
2001-09-12,7.710444649305163e-09,0.9999999922895562,7.054447429685863e-27,Risk-Off,1
2001-09-13,7.245859939173578e-09,0.9999999927541392,3.704807689206971e-27,Risk-Off,1
2001-09-14,9.893050089160663e-10,0.9999999990106954,6.905381433471294e-29,Risk-Off,1
2001-09-17,3.1040173549499706e-16,1.0,5.676701621783993e-33,Risk-Off,1
2001-09-18,5.204323119942578e-14,0.9999999999999485,2.825530804122229e-34,Risk-Off,1
2001-09-19,3.7799161893974665e-16,1.0,3.273584782864505e-37,Risk-Off,1
2001-09-20,3.410330255505309e-21,1.0,3.2876088212001572e-37,Risk-Off,1
2001-09-21,3.857023892112068e-23,1.0,4.045143133478032e-40,Risk-Off,1
2001-09-24,1.9094378371422477e-14,0.9999999999999805,2.05064268003229e-39,Risk-Off,1
2001-09-25,3.748549916532544e-13,0.9999999999996252,7.042046246292492e-40,Risk-Off,1
2001-09-26,1.0816067912502774e-13,0.9999999999998916,1.641223583082404e-39,Risk-Off,1
2001-09-27,9.346266623529906e-16,0.9999999999999982,1.349725364364436e-40,Risk-Off,1
2001-09-28,1.0617201307301957e-19,1.0,1.9325496401866726e-42,Risk-Off,1
2001-10-01,1.580337928875655e-17,1.0,3.187019656771191e-38,Risk-Off,1
2001-10-02,1.7495846952227535e-17,1.0,4.88461290392336e-39,Risk-Off,1
2001-10-03,3.308788659603129e-20,1.0,4.179131652762456e-41,Risk-Off,1
2001-10-04,1.005000388774087e-18,1.0,3.326444287349357e-41,Risk-Off,1
2001-10-05,1.137521679725372e-17,1.0,2.7630690021011437e-41,Risk-Off,1
2001-10-08,1.1703253145161507e-15,0.9999999999999982,3.66396550330092e-42,Risk-Off,1
2001-10-09,1.6057546026627444e-14,0.999999999999984,4.973189007843667e-43,Risk-Off,1
2001-10-10,5.106586058289298e-12,0.999999999994893,1.0427301735715857e-41,Risk-Off,1
2001-10-11,3.580437990677571e-13,0.9999999999996412,2.484564864210353e-42,Risk-Off,1
2001-10-12,3.927257861236667e-16,1.0,5.5071464594669286e-42,Risk-Off,1
2001-10-15,3.896685373886851e-16,1.0,7.021865637640479e-42,Risk-Off,1
2001-10-16,3.409394703706194e-15,0.9999999999999964,5.841179039297172e-41,Risk-Off,1
2001-10-17,1.1284555618800762e-13,0.9999999999998863,5.1156476240268234e-39,Risk-Off,1
2001-10-18,3.4623287263239853e-13,0.9999999999996536,1.3152306093871924e-38,Risk-Off,1
2001-10-19,1.048756686775699e-12,0.999999999998952,9.832396665752859e-40,Risk-Off,1
2001-10-22,4.901048731618721e-13,0.9999999999995097,8.416489181494573e-39,Risk-Off,1
2001-10-23,1.4048857427115832e-12,0.9999999999985949,1.0346846813532755e-38,Risk-Off,1
2001-10-24,2.2601072110189165e-13,0.9999999999997744,8.465141302930872e-39,Risk-Off,1
2001-10-25,1.126057426038916e-13,0.9999999999998881,2.6296436585091106e-41,Risk-Off,1
2001-10-26,5.814978346182442e-13,0.9999999999994191,3.176869685050565e-41,Risk-Off,1
2001-10-29,3.160192221696853e-12,0.9999999999968399,4.1350670326900743e-38,Risk-Off,1
2001-10-30,5.246420838331614e-13,0.999999999999476,7.392782910912265e-39,Risk-Off,1
2001-10-31,1.673831172850349e-13,0.999999999999833,3.6407190637875363e-37,Risk-Off,1
2001-11-01,1.4620956454221891e-12,0.9999999999985381,7.024395267250567e-35,Risk-Off,1
2001-11-02,5.149603955419473e-12,0.9999999999948503,5.640805091527893e-38,Risk-Off,1
2001-11-05,2.856452896845943e-13,0.999999999999714,1.7273528641332597e-38,Risk-Off,1
2001-11-06,2.0930808150085965e-15,0.9999999999999982,8.751238229930945e-43,Risk-Off,1
2001-11-07,3.9699078642075057e-14,0.9999999999999609,9.260184643293009e-44,Risk-Off,1
2001-11-08,7.881952990610738e-12,0.9999999999921183,1.152936092026974e-42,Risk-Off,1
2001-11-09,2.8505756165063077e-11,0.9999999999714948,3.5044465241697674e-40,Risk-Off,1
2001-11-12,7.99390090192757e-11,0.9999999999200604,7.197208820377334e-42,Risk-Off,1
2001-11-13,4.10677484933519e-10,0.9999999995893223,5.762527277013935e-43,Risk-Off,1
2001-11-14,3.225715778302834e-10,0.9999999996774278,5.3328788074727816e-43,Risk-Off,1
2001-11-15,6.262124470979926e-10,0.999999999373788,1.4132854881130007e-43,Risk-Off,1
2001-11-16,1.8654133264153626e-09,0.9999999981345873,6.925517244944002e-44,Risk-Off,1
2001-11-19,1.736506585742764e-11,0.9999999999826343,2.168622119743009e-47,Risk-Off,1
2001-11-20,7.77352601537188e-10,0.9999999992226467,7.823263539526398e-47,Risk-Off,1
2001-11-21,5.977148068191856e-10,0.9999999994022843,2.5754213685829514e-47,Risk-Off,1
2001-11-22,5.714850810547683e-10,0.9999999994285158,3.7443897689210074e-47,Risk-Off,1
2001-11-23,5.569882570594561e-10,0.9999999994430109,5.557139401550472e-46,Risk-Off,1
2001-11-26,1.6889505579745418e-09,0.9999999983110488,6.806744764335316e-45,Risk-Off,1
2001-11-27,1.8111736159765086e-09,0.9999999981888266,5.87578969145276e-45,Risk-Off,1
2001-11-28,1.8549297983977274e-09,0.9999999981450696,1.5425243161004144e-42,Risk-Off,1
2001-11-29,1.7864775158456466e-09,0.9999999982135233,8.499711871460242e-44,Risk-Off,1
2001-11-30,6.843569460072332e-09,0.9999999931564307,9.101853150557588e-44,Risk-Off,1
2001-12-03,3.574955735572042e-10,0.9999999996425046,5.1092931662352625e-43,Risk-Off,1
2001-12-04,2.5235912361391623e-09,0.999999997476408,1.516865352394803e-42,Risk-Off,1
2001-12-05,2.3026270715355464e-10,0.999999999769738,1.0932797225057321e-43,Risk-Off,1
2001-12-06,3.1113046542697178e-09,0.999999996888695,8.4231682060374e-43,Risk-Off,1
2001-12-07,3.396962326182541e-09,0.9999999966030373,1.4732784167194104e-47,Risk-Off,1
2001-12-10,1.055139270664818e-09,0.99999999894486,6.02532828322552e-49,Risk-Off,1
2001-12-11,3.2403612718727988e-09,0.9999999967596391,9.76692535071599e-49,Risk-Off,1
2001-12-12,1.5490153359479794e-08,0.999999984509847,7.887593915032902e-45,Risk-Off,1
2001-12-13,8.419062538745307e-10,0.9999999991580939,1.3505519267724733e-45,Risk-Off,1
2001-12-14,7.905147783769417e-09,0.9999999920948515,3.322964456336133e-43,Risk-Off,1
2001-12-17,3.282723780701711e-09,0.9999999967172766,4.256898928695833e-46,Risk-Off,1
2001-12-18,1.1212149093562254e-08,0.9999999887878506,1.0390743449900247e-46,Risk-Off,1
2001-12-19,1.25731468071437e-08,0.999999987426854,1.7201464177419522e-44,Risk-Off,1
2001-12-20,3.9261320030874986e-09,0.9999999960738677,1.5766747119237649e-44,Risk-Off,1
2001-12-21,1.8418534968757197e-09,0.9999999981581471,3.2447565748137147e-49,Risk-Off,1
2001-12-24,3.4283068295504134e-10,0.9999999996571685,3.120876119683139e-52,Risk-Off,1
2001-12-25,4.4147616718474855e-09,0.9999999955852381,1.8716446262290054e-52,Risk-Off,1
2001-12-26,1.8030412647692985e-09,0.9999999981969587,1.0555170233376887e-51,Risk-Off,1
2001-12-27,9.246601264140447e-10,0.9999999990753405,3.5981015231069745e-50,Risk-Off,1
2001-12-28,5.0717959388870925e-09,0.9999999949282046,1.3443348812874354e-50,Risk-Off,1
2001-12-31,3.3398245738027396e-09,0.9999999966601756,3.1775321361737233e-49,Risk-Off,1
2002-01-01,2.7173132352542514e-09,0.9999999972826874,2.161547702679515e-49,Risk-Off,1
2002-01-02,5.466549603001977e-08,0.9999999453345044,5.079800165947658e-47,Risk-Off,1
2002-01-03,6.164549945534138e-08,0.9999999383545007,1.3051977826162506e-47,Risk-Off,1
2002-01-04,3.153748180856377e-08,0.9999999684625185,5.629049572882822e-49,Risk-Off,1
2002-01-07,7.888556756631905e-09,0.9999999921114426,2.3632801521147254e-49,Risk-Off,1
2002-01-08,6.1895688551123635e-09,0.9999999938104303,4.06504729816721e-51,Risk-Off,1
2002-01-09,8.712398267452801e-08,0.9999999128760175,4.224253956930359e-54,Risk-Off,1
2002-01-10,6.408322500776458e-08,0.9999999359167744,3.9101343070895433e-54,Risk-Off,1
2002-01-11,2.0204317501800652e-07,0.9999997979568258,3.0822239251579096e-55,Risk-Off,1
2002-01-14,1.0758007253360976e-07,0.9999998924199276,2.2147847263693755e-54,Risk-Off,1
2002-01-15,1.082279659854117e-07,0.9999998917720335,2.4826169509366233e-54,Risk-Off,1
2002-01-16,3.772427032793561e-08,0.999999962275729,1.9516488070801417e-56,Risk-Off,1
2002-01-17,9.861160916252366e-08,0.99999990138839,4.774113562815446e-56,Risk-Off,1
2002-01-18,1.22623345127909e-07,0.9999998773766543,2.58116034582467e-54,Risk-Off,1
2002-01-21,5.093095064415254e-08,0.9999999490690494,8.096016647691808e-55,Risk-Off,1
2002-01-22,1.878489366368389e-08,0.9999999812151065,6.373982690774626e-53,Risk-Off,1
2002-01-23,1.1691322347537145e-08,0.9999999883086783,9.18917145930307e-55,Risk-Off,1
2002-01-24,1.9418965053192288e-08,0.9999999805810342,2.0166284246216076e-54,Risk-Off,1
2002-01-25,9.64424085780474e-09,0.999999990355759,3.0555347283606025e-59,Risk-Off,1
2002-01-28,1.1682578174004336e-08,0.9999999883174215,2.2045519323314258e-58,Risk-Off,1
2002-01-29,3.7217050416267266e-09,0.9999999962782944,4.569433551820841e-58,Risk-Off,1
2002-01-30,2.1376058478481653e-09,0.9999999978623944,2.215349361671565e-59,Risk-Off,1
2002-01-31,4.201730455524365e-09,0.9999999957982695,1.9915449701938113e-60,Risk-Off,1
2002-02-01,7.173538623365827e-09,0.9999999928264618,7.665814741135606e-61,Risk-Off,1
2002-02-04,2.9431576222641225e-09,0.9999999970568432,2.075641014673569e-58,Risk-Off,1
2002-02-05,1.7685670192386642e-09,0.9999999982314325,4.8199728637198004e-63,Risk-Off,1
2002-02-06,7.337278623959037e-09,0.9999999926627208,7.237238292713837e-61,Risk-Off,1
2002-02-07,4.735803449834287e-09,0.9999999952641971,5.514795242186471e-60,Risk-Off,1
2002-02-08,5.95095353154483e-08,0.9999999404904649,5.827096883804219e-60,Risk-Off,1
2002-02-11,8.164937718168241e-08,0.9999999183506227,1.0502044240130744e-57,Risk-Off,1
2002-02-12,2.0728448861345145e-07,0.9999997927155119,2.7622902853837855e-57,Risk-Off,1
2002-02-13,2.9573835545929342e-08,0.9999999704261637,1.2699518249392514e-57,Risk-Off,1
2002-02-14,5.582405347264941e-09,0.9999999944175944,5.627518834056363e-56,Risk-Off,1
2002-02-15,2.4972020159087756e-08,0.9999999750279794,8.948089694206199e-56,Risk-Off,1
