date,P_Sell,P_Hold,P_Buy,P_Sell_cal,P_Hold_cal,P_Buy_cal,pred_label,pred_label_cal,true_label,fold
2019-01-26,0.5020839932139382,0.1550823046824694,0.3428337021035923,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Sell,1
2019-01-27,0.49841270751688815,0.1908935620790471,0.3106937304040645,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Sell,1
2019-01-28,0.4832375819317458,0.22175993496332105,0.2950024831049331,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Buy,1
2019-01-29,0.5110114539288193,0.23433565522735883,0.25465289084382153,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Hold,1
2019-01-30,0.517106448688071,0.19970639804797435,0.2831871532639549,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Hold,1
2019-01-31,0.5164896453495648,0.2214078298593349,0.2621025247911006,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Hold,1
2019-02-01,0.45175778184058524,0.20410362579622565,0.34413859236318883,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Sell,1
2019-02-02,0.4204927009492507,0.1896761216352197,0.3898311774155296,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Sell,1
2019-02-03,0.3492073977573862,0.26422586877977866,0.38656673346283515,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Buy,1
2019-02-04,0.30545980054242666,0.27941013567835765,0.4151300637792155,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Buy,1
2019-02-05,0.2909115563230679,0.2611841410157291,0.4479043026612029,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Buy,1
2019-02-06,0.2902319382217292,0.31901089620289214,0.39075716557537904,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Buy,1
2019-02-07,0.37086204812220497,0.32905959049175687,0.3000783613860382,0.4092696629213483,0.27387640449438205,0.3168539325842697,Sell,Sell,Buy,1
2019-02-08,0.18054647579547228,0.2954400733051911,0.524013450899337,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Hold,1
2019-02-09,0.1555219320709075,0.230039889396078,0.6144381785330146,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Sell,1
2019-02-10,0.09495643063904015,0.13634459557574194,0.7686989737852179,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Sell,1
2019-02-11,0.08421945136984624,0.12822149214999876,0.7875590564801549,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Hold,1
2019-02-12,0.09615056477682056,0.13354858475022577,0.7703008504729535,0.4092696629213483,0.27387640449438205,0.3168539325842697,Buy,Sell,Hold,1
