Date,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,SMA_20_above_50,Close_above_SMA_50,Close_above_SMA_200,ADX_14,Parabolic_SAR_position,log_ret_5d
2017-11-09,,,,,,0.0,0.0,0.0,0.0,0.0,
2017-11-10,,,,,,0.0,0.0,0.0,0.0,0.0,
2017-11-11,,,,,,0.0,0.0,0.0,0.0,-0.04693958677266775,
2017-11-12,,,,,,0.0,0.0,0.0,0.0,-0.06793849742639121,
2017-11-13,,,,,,0.0,0.0,0.0,0.0,0.05848778443171471,
2017-11-14,,,,,,0.0,0.0,0.0,0.0,0.1158602441380855,0.050873923109988575
2017-11-15,,,,,,0.0,0.0,0.0,0.0,0.0995252375579053,0.1079246332326945
2017-11-16,,,,,,0.0,0.0,0.0,0.0,0.08551964837152723,0.050329349187622385
2017-11-17,,,,,,0.0,0.0,0.0,0.0,0.08265250395785415,0.07652004677593637
2017-11-18,,,,,,0.0,0.0,0.0,0.0,0.11660044592872518,0.09308142977211836
2017-11-19,,,,,,0.0,0.0,0.0,0.0,0.12388425532301052,0.04843305740301638
2017-11-20,,,,337.32304477066486,,0.0,0.0,0.0,0.0,0.13679296182279718,0.09541194075147046
2017-11-21,,,,340.8734995715722,,0.0,0.0,0.0,0.0,0.103130419349468,0.08532852743554492
2017-11-22,,,,346.9932701077366,,0.0,0.0,0.0,0.0,0.13273564686411896,0.1355645433383482
2017-11-23,,,,356.7121493384574,,0.0,0.0,0.0,0.0,0.17513156828202966,0.1654750056672083
2017-11-24,,,,374.89658955441587,,0.0,0.0,0.0,0.0,0.2545304899225714,0.2927407646917105
2017-11-25,,,,388.95496054243847,,0.0,0.0,0.0,0.0,0.19342189624248607,0.24015182313974154
2017-11-26,,,,401.6280414701042,,0.0,0.0,0.0,0.0,0.1557744707337045,0.26834115400381325
2017-11-27,,,,413.7398829341387,,0.0,0.0,0.0,0.0,0.13529486813856406,0.23263984367526988
2017-11-28,373.9734512329102,,,422.8417483376005,,0.0,0.0,0.0,0.0,0.08866245669139106,0.1423262764039487
2017-11-29,379.30540161132814,,,423.56194247857064,,0.0,0.0,0.0,0.0,-0.1541016201356348,-0.10511932859367287
2017-11-30,386.6984527587891,,,427.18533804677134,,0.0,0.0,0.0,0.0,-0.16817409176363823,-0.04196410933958359
2017-12-01,394.29140319824216,,,433.2399027387945,,0.0,0.0,0.0,0.0,-0.10915342209425781,-0.01021467730265755
2017-12-02,402.0684539794922,,,437.8874569523574,,0.0,0.0,0.0,0.0,-0.10651999233256128,-0.03582907909750591
2017-12-03,409.52530364990236,,,442.18984770217503,,0.0,0.0,0.0,0.0,-0.09122982987763356,-0.015018068997511137
2017-12-04,416.1539535522461,,,446.4997188264198,410.952147267035,0.0,0.0,0.0,0.0,-0.07202041825236745,0.09515855229257872
2017-12-05,422.65015411376953,,,449.0814552930283,414.8283590146158,0.0,0.0,0.0,0.0,-0.07916206715016177,0.03552016785147294
2017-12-06,427.5333541870117,,,445.92861797030275,415.84759262059333,0.0,0.0,0.0,43.50446682780879,-0.15730440936999676,-0.0848476657006142
2017-12-07,432.6340530395508,,,444.1562135905566,417.2224368340274,0.0,0.0,0.0,40.64307267916279,-0.13307364821466822,-0.06471219716196937
2017-12-08,438.0550033569336,,,445.9831047088363,420.0971456507198,0.0,0.0,0.0,38.468684654142,-0.07136863467805478,-0.021309324395452727
2017-12-09,444.0108047485352,,,450.21678308596245,424.053061836604,0.0,0.0,0.0,37.60353586785558,0.15260548112706898,0.0069895020110067275
2017-12-10,447.76035461425784,,,448.90974081131924,425.3617986117282,0.0,0.0,0.0,35.71950644611407,0.08697778975915553,-0.04765531423876365
2017-12-11,455.4971038818359,,,459.0983939677509,432.01173844257244,0.0,0.0,0.0,35.08373780486871,0.2131824987902826,0.1839348027956331
2017-12-12,469.03605499267576,,,488.6880303224719,448.2650193189328,0.0,0.0,0.0,36.45536557473663,0.37094791330759747,0.4051873674984714
2017-12-13,483.6661071777344,,,521.6232608587983,467.11702002187064,0.0,0.0,0.0,38.40516011962846,0.3957654981286775,0.4324646386581612
2017-12-14,494.7113555908203,,,548.4221405734303,484.05768365016957,0.0,0.0,0.0,40.24792936139735,0.3525520384591751,0.3849290610050023
2017-12-15,505.6199554443359,,,569.3491955693448,498.9014106425181,0.0,0.0,0.0,40.75035997058519,0.29758539431465425,0.43793419128362415
2017-12-16,516.8639053344726,,,588.8660861548302,513.5167864745538,0.0,0.0,0.0,41.40879024224531,0.27033153526708714,0.30121896323959674
2017-12-17,528.8449035644531,,,609.0366845288468,528.8099856679896,0.0,0.0,0.0,42.1741871957178,0.26037198248377585,0.1000449272868978
2017-12-18,544.9320541381836,,,637.591812990755,548.5014696578608,0.0,0.0,0.0,43.40954853447947,0.3021105260766229,0.12287005745672676
2017-12-19,564.897053527832,,,666.7043029993889,569.1178791681581,0.0,0.0,0.0,45.01740444667927,0.29308107529339134,0.17250541576013118
2017-12-20,583.4956527709961,,,690.1476407741224,587.6340361583061,0.0,0.0,0.0,45.79283542514971,0.2355632667079994,0.17957641152746123
2017-12-21,601.2218017578125,,,710.2884634675266,604.9250696488946,0.0,0.0,0.0,46.743265528134245,0.19378650515952614,0.16494994775338095
2017-12-22,611.792350769043,,,704.8379283727629,610.1054337750181,0.0,0.0,0.0,43.58265542006383,-0.306854738567914,-0.06471121502810988
2017-12-23,624.4690521240234,,,707.076250765535,618.2003663787783,0.0,0.0,0.0,40.64780317685559,-0.21656396585329385,-0.09949600488093073
2017-12-24,635.6662521362305,,,705.0872906868228,623.826117776936,0.0,0.0,0.0,38.27638028430261,-0.25124894380256385,-0.17490543412539508
2017-12-25,650.7939010620117,,,714.4329358696193,634.3452190064223,0.0,0.0,0.0,35.69491037566146,-0.12564365573491407,-0.06722366698674721
2017-12-26,668.056300354004,,,723.5718685873943,644.6778693418842,0.0,0.0,0.0,33.34469710728918,-0.10577730247631076,-0.059239864983145686
