Date,P1_down,P1_range,P1_up,P1_down_smooth10,P1_range_smooth10,P1_up_smooth10,P2_Bull,P2_Neutral,P2_Bear,regime_age_days,RSI_14,MACD_signal_diff,Bollinger_pct_b,Stochastic_K_14,volume_zscore_20,OBV_change_20d,RSI_14_x_PBull,RSI_14_x_PBear,MACD_signal_diff_x_PBull,MACD_signal_diff_x_PBear,Bollinger_pct_b_x_PBull,Bollinger_pct_b_x_PBear,signal_label,forward_return,eps_threshold
2020-02-11,0.2867697121447033,0.3066760057988695,0.4065542820564267,0.2867697121447034,0.3066760057988696,0.40655428205642685,1.0,0.0,0.0,157,82.08178031765256,3.816528515343199,0.9611316287875893,98.91551972615615,1.4824965826493315,4.062514514768999,82.08178031765256,0.0,3.816528515343199,0.0,0.9611316287875893,0.0,Buy,0.10194359174221945,0.015103239836665209
2020-02-12,0.2052540865607809,0.393036949998765,0.401708963440454,0.24601189935274215,0.3498564778988173,0.40413162274844044,1.0,0.0,0.0,158,87.40029977768505,5.460003092174922,1.1179409142131815,93.00898555738922,2.959637922591977,8.043949721347499,87.40029977768505,0.0,5.460003092174922,0.0,1.1179409142131815,0.0,Hold,0.003606947268590341,0.018246695928793726
2020-02-13,0.2063995439087661,0.4022587346020861,0.3913417214891475,0.23280778087141688,0.367323896799907,0.3998683223286762,1.0,0.0,0.0,159,87.75691224242472,6.228870838104598,1.0392572201283217,94.21021198207484,2.532497068504488,5.694405612742801,87.75691224242472,0.0,6.228870838104598,0.0,1.0392572201283217,0.0,Buy,0.051642581122804176,0.018110104563535845
2020-02-14,0.2036184192522147,0.4074189513061719,0.3889626294416132,0.22551044046661634,0.3773476604264732,0.39714189910691045,1.0,0.0,0.0,160,89.64577973275416,7.251810887559078,1.0607671753162706,99.20338213402596,1.78611740796641,9.313032619657115,89.64577973275416,0.0,7.251810887559078,0.0,1.0607671753162706,0.0,Sell,-0.0860380582952934,0.017959721055094354
2020-02-15,0.1411580112952613,0.5218700539255271,0.3369719347792116,0.2086399546323453,0.40625213912628405,0.3851079062413707,1.0,0.0,0.0,161,74.6492594920335,6.09147908489232,0.8718330587707133,79.06015330448115,1.608070494061036,5.473728717966174,74.6492594920335,0.0,6.09147908489232,0.0,0.8718330587707133,0.0,Sell,-0.025607789892036843,0.02093849797862233
2020-02-16,0.0857823297700888,0.6702429076557342,0.2439747625741772,0.1881636838219692,0.4502506005478591,0.3615857156301717,1.0,0.0,0.0,162,71.45630771833727,4.544909260226248,0.8048056732524316,73.23146212771472,1.6714788871923827,3.1815027656922066,71.45630771833727,0.0,4.544909260226248,0.0,0.8048056732524316,0.0,Buy,0.021954667734431783,0.021453541797200267
2020-02-17,0.0963549980377671,0.674867502454491,0.2287774995077416,0.1750481572813689,0.4823387293916636,0.3426131133269675,1.0,0.0,0.0,163,73.11363281556613,3.548272269056099,0.8178126925266743,79.59079708973128,1.6153647316549231,2.7503955720651097,73.11363281556613,0.0,3.548272269056099,0.0,0.8178126925266743,0.0,Hold,-0.015136115740742332,0.021425860937743957
2020-02-18,0.0883374464478158,0.6578240397491679,0.2538385138030158,0.1642093184271748,0.5042743931863517,0.3315162883864735,1.0,0.0,0.0,164,76.63301199718929,3.5220144390437547,0.8863211878222749,94.73512767956777,1.5205931665183068,4.298801597442433,76.63301199718929,0.0,3.5220144390437547,0.0,0.8863211878222749,0.0,Sell,-0.029049785902004164,0.02151399707572406
2020-02-19,0.051152681475146,0.902564031329619,0.0462832871952343,0.15164746987694938,0.5485287974244926,0.2998237326985581,1.0,0.0,0.0,165,63.824959181233325,1.6874539434529723,0.705853993000214,67.8950565922399,0.7450256775782316,2.692646153865888,63.824959181233325,0.0,1.6874539434529723,0.0,0.705853993000214,0.0,Hold,0.02099002977697462,0.024093886861745118
2020-02-20,0.0673751047867439,0.8654470095621332,0.067177885651122,0.14322023336792883,0.5802206186382567,0.2765591479938145,1.0,0.0,0.0,166,62.89880917605392,0.11152522610105109,0.6726876590995698,61.00718485449803,0.7629580383203652,3.1492580875211096,62.89880917605392,0.0,0.11152522610105109,0.0,0.6726876590995698,0.0,Sell,-0.039278494095466326,0.023761197715715845
2020-02-21,0.0617585072940317,0.8603811363158489,0.0778603563901183,0.12071911288286166,0.6355911316899546,0.24368975542718363,1.0,0.0,0.0,167,65.19240081835312,-0.6158627036092774,0.7108965282293704,69.99741778055899,0.2428480470707854,2.660683017124424,65.19240081835312,0.0,-0.6158627036092774,-0.0,0.7108965282293704,0.0,Sell,-0.1503021704313159,0.023790220092945947
2020-02-22,0.0463872054124443,0.8879248206192257,0.0656879739683289,0.10483242476802801,0.6850799187520008,0.2100876564799711,1.0,0.0,0.0,168,63.38937139034321,-1.4687588470640307,0.6650465286431523,64.09233113892988,-0.5954001192946337,1.6785700312775316,63.38937139034321,0.0,-1.4687588470640307,-0.0,0.6650465286431523,0.0,Sell,-0.13562346863444597,0.024036023887181537
2020-02-23,0.0611059409596087,0.8487231951786179,0.0901708638617726,0.09030306447311229,0.7297263648096541,0.17997057071723369,1.0,0.0,0.0,169,66.84046606318964,-1.414697901310248,0.7450949745110691,80.63610590773958,-0.1261797955263949,1.5125894504180657,66.84046606318964,0.0,-1.414697901310248,-0.0,0.7450949745110691,0.0,Sell,-0.17166370729610442,0.02416590266319251
2020-02-24,0.0402420374724691,0.8981468483596632,0.0616111141678668,0.0739654262951377,0.7787991545150033,0.147235419189859,0.0,1.0,0.0,1,62.12641513735257,-2.0655931664323717,0.6485689508868415,68.02143792317113,0.41675920386626675,1.612650128586923,0.0,0.0,-0.0,-0.0,0.0,0.0,Sell,-0.1710599897912828,0.02470878422061695
2020-02-25,0.0425951519725514,0.9347958149454312,0.022609033082017,0.06410914036286672,0.8200917306169938,0.11579912902013956,0.0,0.0,1.0,1,53.799303393607,-3.6850080435916936,0.4323239038565412,23.271377679284175,0.21602945312358668,0.8995388401465997,0.0,53.799303393607,-0.0,-3.6850080435916936,0.0,0.4323239038565412,Sell,-0.11640416393745844,0.025300460443406732
2020-02-26,0.0482588977449673,0.9276135032017684,0.0241275990532643,0.060356797160354574,0.8458287901715973,0.09381441266804823,0.0,0.0,1.0,2,45.45176207431303,-6.120580640494133,0.13913014196157242,6.701949229532021,1.2140758336666404,0.33404742359301565,0.0,45.45176207431303,-0.0,-6.120580640494133,0.0,0.13913014196157242,Hold,0.021665656311734238,0.02739535848966233
2020-02-27,0.0598353993001114,0.920654121509028,0.0195104791908605,0.056704837286589,0.870407452077051,0.07288771063636008,0.0,0.0,1.0,3,45.89005735753633,-7.444841657761486,0.1447142907746269,18.921601817795807,0.9642130345372968,0.3628217348284135,0.0,45.89005735753633,-0.0,-7.444841657761486,0.0,0.1447142907746269,Hold,-0.01002744858689225,0.026892976842110377
2020-02-28,0.0598939242639808,0.927813616667562,0.0122924590684568,0.053860485068205496,0.8974064097688902,0.048733105162904175,0.0,0.0,1.0,4,45.89315963456731,-8.054196093027691,0.137312553054972,18.931151475606566,0.08064697538245719,0.36095673815038215,0.0,45.89315963456731,-0.0,-8.054196093027691,0.0,0.137312553054972,Hold,-0.00988939084485446,0.0268941194082172
2020-02-29,0.0656665551836274,0.9121164254099272,0.022217019406445,0.055311872439053625,0.8983616491769211,0.046326478384025246,0.0,0.0,1.0,5,43.29467802712933,-8.60672108796676,0.06791854350561377,10.136368725187092,-1.2808847376696162,0.10339449142620019,0.0,43.29467802712933,-0.0,-8.60672108796676,0.0,0.06791854350561377,Buy,0.04284622034770702,0.02699771683464204
2020-03-01,0.0668071122032365,0.9038742513127668,0.0293186364839964,0.05525507318070289,0.9022043733519844,0.04254055346731268,0.0,0.0,1.0,6,42.96194982736903,-8.689965324868545,0.06783782070972437,8.897661020160353,-1.3815894824788244,0.101198965436616,0.0,42.96194982736903,-0.0,-8.689965324868545,0.0,0.06783782070972437,Buy,0.11213698629946058,0.026883173033187272
