Date,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ADX_14,DI_plus_14,DI_minus_14,PSAR,PSAR_up,PSAR_down,SMA20_SMA50_cross,SMA50_SMA200_cross,price_dist_SMA20_pct,price_dist_SMA50_pct,price_dist_SMA200_pct
2014-09-17,,,,,,0.0,0.0,0.0,457.3340148925781,0.0,0.0,,,,,
2014-09-18,,,,,,0.0,0.0,0.0,424.44000244140625,0.0,0.0,,,,,
2014-09-19,,,,,,0.0,0.0,0.0,468.1740112304687,0.0,1.0,,,,,
2014-09-20,,,,,,0.0,0.0,0.0,466.5011712646484,0.0,0.0,,,,,
2014-09-21,,,,,,0.0,0.0,0.0,464.8617880981445,0.0,0.0,,,,,
2014-09-22,,,,,,0.0,0.0,0.0,463.25519259497065,0.0,0.0,,,,,
2014-09-23,,,,,,0.0,0.0,0.0,461.6807290018603,0.0,0.0,,,,,
2014-09-24,,,,,,0.0,0.0,0.0,460.13775468061215,0.0,0.0,,,,,
2014-09-25,,,,,,0.0,0.0,0.0,458.62563984578895,0.0,0.0,,,,,
2014-09-26,,,,,,0.0,0.0,0.0,457.14376730766224,0.0,0.0,,,,,
2014-09-27,,,,,,0.0,0.0,0.0,455.6915322202981,0.0,0.0,,,,,
2014-09-28,,,,412.29364116452575,,0.0,0.0,0.0,454.26834183468117,0.0,0.0,,,,,
2014-09-29,,,,406.62800567737514,,0.0,0.0,0.0,451.0708881905908,0.0,0.0,,,,,
2014-09-30,,,,403.5996971491852,,0.0,0.0,0.0,446.34103431321785,0.0,0.0,,,,,
2014-10-01,,,,400.525126854599,,0.0,0.0,0.0,441.8949716684873,0.0,0.0,,,,,
2014-10-02,,,,396.60925979493715,,0.0,12.371828311604572,37.96177285042562,437.71567278244055,0.0,0.0,,,,,
2014-10-03,,,,390.9019880431319,,0.0,11.565233284704862,40.44554512670834,433.78713182955664,0.0,0.0,,,,,
2014-10-04,,,,381.357989469489,,0.0,10.175006446174669,45.54040976258265,427.7128819863171,0.0,0.0,,,,,
2014-10-05,,,,371.99676182274067,,0.0,8.651604185987967,49.15587565316526,417.5301924204979,0.0,0.0,,,,,
2014-10-06,389.91039886474607,,,365.54787692843684,,0.0,8.556461754060766,43.47230736341507,402.14208812886625,0.0,0.0,,,-15.344907196418486,,
2014-10-07,383.85304870605466,,,361.0308207423312,,0.0,8.111292860031337,41.21056418660551,388.6005563522304,0.0,0.0,,,-12.417782572779865,,
2014-10-08,380.2780487060547,,,359.7860794652658,,0.0,11.677441481141642,38.11758044000847,376.68400838879086,0.0,0.0,,,-7.188962486178118,,
2014-10-09,378.78954925537107,,,360.59222123623454,,0.0,18.214630752803846,34.5201514132149,289.2959899902344,1.0,0.0,,,-3.633560721478487,,
2014-10-10,376.42245025634764,,,360.74141977200617,,0.0,17.117138685862457,32.44019751023573,291.1645904541016,0.0,0.0,,,-3.947808779066586,,
2014-10-11,374.5963500976562,,,360.98104922715424,,0.0,16.57038092332886,31.40398870616183,292.99581890869143,0.0,0.0,,,-3.2828239954771723,,
2014-10-12,373.4162002563477,,,363.68381261227955,381.5885754451553,0.0,18.96522070807633,29.314613668383043,294.79042279418945,0.0,0.0,,,1.3745549792958567,,
2014-10-13,371.14735107421876,,,367.7961493588279,382.24231070587297,0.0,22.480072853880017,26.964498479082756,296.5491346019775,0.0,0.0,,,5.191105455787617,,
2014-10-14,370.03060150146484,,,372.88443332165247,383.62213918078515,42.77413819404094,25.252547615946618,25.321984128611508,300.5762097452422,0.0,0.0,,,8.33428194602996,,
2014-10-15,369.1905517578125,,,376.2519066958454,384.44812963064595,39.83813997561895,24.246597581283005,25.070269718825138,307.24351704334015,0.0,0.0,,,6.929337268868066,,
2014-10-16,368.097102355957,,,377.22176716661676,384.30797186214323,37.758658248996745,22.408575277128794,27.7928800609588,313.51078590355223,0.0,0.0,,,3.928011741293286,,
2014-10-17,367.3090026855469,,,378.227340772594,384.26723288016734,35.827710931418984,21.713697869289852,26.931038368022207,319.4020186321516,0.0,0.0,,,4.47824387631571,,
2014-10-18,368.0220520019531,,,380.2603631281925,384.7986960804501,33.545939068907686,23.650614620964653,25.561473167573133,324.939777397035,0.0,0.0,,,6.363731182583312,,
2014-10-19,368.7260009765625,,,381.6889211069682,385.15034748117483,31.42715091086148,23.066697450415987,24.930378232990158,330.14527063602543,0.0,0.0,,,5.64646619943552,,
2014-10-20,368.52105102539065,,,381.8667795860044,384.9795810915103,29.852891781199123,22.1359487581322,26.722551780339426,335.0384342806764,0.0,0.0,,,3.886874346921792,,
2014-10-21,368.66405181884767,,,382.57573751177534,385.0903533146218,28.243453010905224,22.117394325720362,25.611507421715224,339.63800810664833,0.0,0.0,,,4.831215356310308,,
2014-10-22,369.06835174560547,,,382.66531474103346,384.9472152544241,26.748974152775173,21.59936547211222,25.011640202572742,343.96160750306194,0.0,0.0,,,3.8176228575837032,,
