asset,arch,model,auc_sell,auc_hold,auc_buy,auc_macro,auc_weighted
btc,flat,xgboost,0.5382805184564585,0.5121775737903158,0.5284732594235033,0.5263104505567592,0.5280992005315319
btc,flat,lightgbm,0.5470436400374551,0.48116851312182285,0.5285435033259424,0.5189185521617401,0.5240187087625325
btc,flat,random_forest,0.5365764070277463,0.483918810285444,0.5185057206208425,0.5130003126446776,0.5167694114560442
btc,flat,mlp,0.5051431361194618,0.4863928017204571,0.5139664745011087,0.5018341374470091,0.5046066726141853
btc,2stage_trend,xgboost,0.5459809767877384,0.5081021869868345,0.5261112195121952,0.5267314610955894,0.5287985957928509
btc,2stage_trend,lightgbm,0.5467079000542112,0.5038363798943658,0.5329390687361419,0.5278277828949064,0.5309848751754213
btc,2stage_trend,random_forest,0.5526257022817999,0.5039875382680981,0.5285754323725056,0.5283962243074678,0.531187721019893
btc,2stage_trend,mlp,0.5144745515253069,0.4752566502322833,0.5064216407982262,0.49871761418527205,0.5020315110637594
btc,2stage_macro,xgboost,0.5562495379725001,0.5103195036508673,0.5329433259423504,0.5331707891885725,0.5357510728716155
btc,2stage_macro,lightgbm,0.5637913668621556,0.5011704958485432,0.5342687361419068,0.5330768662842019,0.5368060350218409
btc,2stage_macro,random_forest,0.5291731863880538,0.5056345756130503,0.5187888248337029,0.5178655289449356,0.5193341259171218
btc,2stage_macro,mlp,0.5218200187275147,0.5055540886867773,0.5116324611973393,0.5130021895372104,0.5137346962604831
btc,3stage_full,xgboost,0.5570295944014588,0.510253739942815,0.5222378713968958,0.5298404019137232,0.5314316727821298
btc,3stage_full,lightgbm,0.5617969481543541,0.5018291144769479,0.5225188470066519,0.528714969879318,0.5312543106407518
btc,3stage_full,random_forest,0.555569587501848,0.5151408668441959,0.5266156984478936,0.5324420509313125,0.5339221036007357
btc,3stage_full,mlp,0.530282052387758,0.5088619050470211,0.515279467849224,0.5181411417613343,0.5189569897474482
eth,flat,xgboost,0.5347843216848338,0.5108810277058766,0.504075656278081,0.5165803352229305,0.5170029570836697
eth,flat,lightgbm,0.547135233228668,0.5248049084459783,0.5121542671525078,0.5280314696090515,0.5280434502977593
eth,flat,random_forest,0.5426700414283838,0.5161691113028474,0.5269185246793129,0.5285858924701813,0.5301673476716434
eth,flat,mlp,0.5007969292852111,0.5072227015626498,0.534273026803656,0.5140975525505057,0.5155182119729566
eth,2stage_trend,xgboost,0.5232184004107021,0.546635988879302,0.5298440403523414,0.5332328098807818,0.5313916840823241
eth,2stage_trend,lightgbm,0.5095333038837617,0.5330188860128463,0.5345870980687526,0.5257130959884535,0.52498650018067
eth,2stage_trend,random_forest,0.5202127532563665,0.5402013229795801,0.5250195567523868,0.5284778776627778,0.5268547202769778
eth,2stage_trend,mlp,0.4993851407012978,0.4914734924743553,0.47883072431231477,0.4898964524959893,0.48940425845407487
eth,2stage_macro,xgboost,0.534023209446149,0.5161691113028473,0.5169583942815765,0.5223835716768576,0.5230564798264126
eth,2stage_macro,lightgbm,0.5486365644288972,0.5227303230754482,0.5218933844377689,0.5310867573140381,0.5319425619942832
eth,2stage_macro,random_forest,0.5290595637483733,0.5206595724283385,0.504936444189827,0.5182185267888463,0.5175560361838714
eth,2stage_macro,mlp,0.5392972695471532,0.5131051672898093,0.5000101782354429,0.5174708716908017,0.5175909834356682
eth,3stage_full,xgboost,0.5151416564190117,0.548748921484038,0.5257552977715481,0.5298819585581992,0.5273069255050802
eth,3stage_full,lightgbm,0.5255524779426689,0.5250541654683156,0.5074810030505625,0.5193625488205157,0.518310955710038
eth,3stage_full,random_forest,0.5113838512876228,0.535150992234685,0.5214280936746629,0.5226543123989903,0.5209876528034417
eth,3stage_full,mlp,0.538377965352977,0.5007458537053014,0.47949667171701016,0.5062068302584296,0.5062312955951438
