asset,arch,model,variant,n_oof,accuracy,f1_macro,f1_sell,f1_hold,f1_buy
btc,3stage_full,mlp,oversampled,2400,0.38125,0.3563478889620369,0.386949055523755,0.23353293413173654,0.4485616772306192
btc,flat,mlp,oversampled,2400,0.3625,0.33476235693458883,0.31254191817572097,0.22888283378746593,0.4628623188405797
eth,flat,mlp,oversampled,1200,0.34833333333333333,0.332746871145144,0.358974358974359,0.24087591240875914,0.3983903420523139
eth,3stage_full,mlp,oversampled,1200,0.3516666666666667,0.3344757001169361,0.32452830188679244,0.2572463768115942,0.42165242165242167
