rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,arch,variant
stateful,btc,mlp,8.956185071301126,0.8112998257371479,-0.5403744155958804,204,0.5,9.956185071301126,2400,2019-01-26,2025-09-05,3stage_full,oversampled
defensive,btc,mlp,6.992662490593503,0.7814823672581647,-0.5685843686599528,260,0.5230769230769231,7.992662490593503,2400,2019-01-26,2025-09-05,3stage_full,oversampled
prob_weighted,btc,mlp,3.095700620318632,0.6431318933853992,-0.4841426659626309,247,0.5182186234817814,4.095700620318632,2400,2019-01-26,2025-09-05,3stage_full,oversampled
stateful,btc,mlp,6.548985190003536,0.7216673666494386,-0.7689101730927449,253,0.5533596837944664,7.548985190003536,2400,2019-01-26,2025-09-05,flat,oversampled
defensive,btc,mlp,0.9274263981793429,0.37065415250470357,-0.7081020795159199,371,0.5283018867924528,1.927426398179343,2400,2019-01-26,2025-09-05,flat,oversampled
prob_weighted,btc,mlp,0.19077234435879764,0.19343810623048063,-0.6414390756205535,355,0.48450704225352115,1.1907723443587976,2400,2019-01-26,2025-09-05,flat,oversampled
stateful,eth,mlp,-0.003867774968809412,0.21346874037920693,-0.6844646384527413,147,0.5034013605442177,0.9961322250311906,1200,2022-03-16,2025-07-06,flat,oversampled
defensive,eth,mlp,-0.4943924428911657,-0.15340595833965232,-0.7957967473436981,199,0.45226130653266333,0.5056075571088343,1200,2022-03-16,2025-07-06,flat,oversampled
prob_weighted,eth,mlp,-0.262417370381013,-0.08006944799918359,-0.593601533455578,178,0.5056179775280899,0.737582629618987,1200,2022-03-16,2025-07-06,flat,oversampled
stateful,eth,mlp,-0.19374273164756006,0.13159626952192527,-0.6220521560570453,97,0.44329896907216493,0.8062572683524399,1200,2022-03-16,2025-07-06,3stage_full,oversampled
defensive,eth,mlp,-0.09711873639149315,0.14872999763762546,-0.5760975539204694,152,0.4868421052631579,0.9028812636085068,1200,2022-03-16,2025-07-06,3stage_full,oversampled
prob_weighted,eth,mlp,-0.02155065600733741,0.17006856595509562,-0.5194998696337665,121,0.4462809917355372,0.9784493439926626,1200,2022-03-16,2025-07-06,3stage_full,oversampled
