asset,model,n_folds,n_oof,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,elapsed_s
btc,xgboost,16,3200,0.555,0.5116778421041307,0.4974924774322969,0.383515559293524,0.6540254895865714,6.9
btc,lightgbm,16,3200,0.5575,0.5072315093999861,0.4807692307692308,0.3760539629005059,0.6648713345302214,15.3
btc,random_forest,16,3200,0.5984375,0.5571036814817281,0.543640897755611,0.4357446808510638,0.6919254658385093,16.9
btc,mlp,16,3200,0.5328125,0.4618931843756043,0.43487738419618527,0.3024875621890547,0.648314606741573,20.1
eth,xgboost,10,2000,0.5285,0.5102404633773906,0.4663677130044843,0.4627450980392157,0.6016085790884719,5.3
eth,lightgbm,10,2000,0.537,0.5125950863139298,0.46476190476190476,0.4546360917248255,0.618387262455059,9.6
eth,random_forest,10,2000,0.5755,0.5597206552774671,0.525,0.5141187925998053,0.6400431732325957,9.4
eth,mlp,10,2000,0.506,0.47539003355709913,0.40072529465095197,0.41109969167523125,0.6143451143451143,11.9
