fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.63,0.5007512309019847,0.16666666666666666,0.5818181818181818,0.7537688442211056,btc,random_forest
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.51,0.4984666837999847,0.5038167938931297,0.39285714285714285,0.5987261146496815,btc,random_forest
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.41,0.3409090909090909,0.45454545454545453,0.125,0.4431818181818182,btc,random_forest
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.715,0.7058938084271323,0.7191011235955056,0.6434782608695652,0.7551020408163265,btc,random_forest
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.64,0.6138888888888888,0.6875,0.5416666666666666,0.6125,btc,random_forest
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.585,0.43271483395775795,0.5277777777777778,0.11764705882352941,0.6527196652719666,btc,random_forest
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.55,0.39065057086197275,0.0,0.5287356321839081,0.6432160804020101,btc,random_forest
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.58,0.5606886562300576,0.45045045045045046,0.45454545454545453,0.7770700636942676,btc,random_forest
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.52,0.44359756097560976,0.6666666666666666,0.2682926829268293,0.3958333333333333,btc,random_forest
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.63,0.5321148790485462,0.39215686274509803,0.4126984126984127,0.7914893617021277,btc,random_forest
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.78,0.5198678810929837,0.7864077669902912,0.0,0.7731958762886598,btc,random_forest
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.645,0.3741995252156795,0.33663366336633666,0.0,0.7859649122807018,btc,random_forest
