phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P8,p8_cal,eth,flat,xgboost,prob_weighted,0.2315648212432681,0.090907683772599,-0.2236952626710036,111,0.5135135135135135
P8,p8_raw,btc,3stage_full,lightgbm,stateful,0.837065824703115,8.940083462433458,-0.5570230167210428,199,0.6030150753768844
P8,p8_raw,btc,3stage_full,mlp,stateful,0.7949296696726827,8.375722565960873,-0.6214449436547931,177,0.5141242937853108
P8,p8_raw,btc,3stage_full,random_forest,stateful,0.8449110493601643,9.470272191549734,-0.4879201565591241,184,0.5434782608695652
P8,p8_raw,btc,3stage_full,xgboost,defensive,0.8060487869884021,6.424117676927642,-0.2843169544834844,265,0.5811320754716981
P8,p8_raw,eth,flat,lightgbm,prob_weighted,0.5281459568879466,0.2737914760131321,-0.217150832723029,198,0.5202020202020202
P8,p8_raw,eth,flat,mlp,stateful,0.520419146005668,0.9116202755573132,-0.6182146016405404,72,0.4861111111111111
P8,p8_raw,eth,flat,random_forest,stateful,0.5568701977785638,1.052746957277915,-0.6933830276066534,103,0.5436893203883495
P8,p8_raw,eth,flat,xgboost,defensive,0.4228347132533784,0.5315546175106249,-0.5394600420185325,209,0.5358851674641149
P9,oversampled,btc,3stage_full,mlp,stateful,0.8112998257371479,8.956185071301126,-0.5403744155958804,204,0.5
P9,oversampled,btc,flat,mlp,stateful,0.7216673666494386,6.548985190003536,-0.7689101730927449,253,0.5533596837944664
P9,oversampled,eth,3stage_full,mlp,prob_weighted,0.1700685659550956,-0.0215506560073374,-0.5194998696337665,121,0.4462809917355372
P9,oversampled,eth,flat,mlp,stateful,0.2134687403792069,-0.0038677749688094,-0.6844646384527413,147,0.5034013605442177
