,flat_xgboost_stateful,flat_xgboost_defensive,flat_xgboost_prob_weighted,flat_lightgbm_stateful,flat_lightgbm_defensive,flat_lightgbm_prob_weighted,flat_random_forest_stateful,flat_random_forest_defensive,flat_random_forest_prob_weighted,flat_mlp_stateful,flat_mlp_defensive,flat_mlp_prob_weighted,2stage_trend_xgboost_stateful,2stage_trend_xgboost_defensive,2stage_trend_xgboost_prob_weighted,2stage_trend_lightgbm_stateful,2stage_trend_lightgbm_defensive,2stage_trend_lightgbm_prob_weighted,2stage_trend_random_forest_stateful,2stage_trend_random_forest_defensive,2stage_trend_random_forest_prob_weighted,2stage_trend_mlp_stateful,2stage_trend_mlp_defensive,2stage_trend_mlp_prob_weighted,2stage_macro_xgboost_stateful,2stage_macro_xgboost_defensive,2stage_macro_xgboost_prob_weighted,2stage_macro_lightgbm_stateful,2stage_macro_lightgbm_defensive,2stage_macro_lightgbm_prob_weighted,2stage_macro_random_forest_stateful,2stage_macro_random_forest_defensive,2stage_macro_random_forest_prob_weighted,2stage_macro_mlp_stateful,2stage_macro_mlp_defensive,2stage_macro_mlp_prob_weighted,3stage_full_xgboost_stateful,3stage_full_xgboost_defensive,3stage_full_xgboost_prob_weighted,3stage_full_lightgbm_stateful,3stage_full_lightgbm_defensive,3stage_full_lightgbm_prob_weighted,3stage_full_random_forest_stateful,3stage_full_random_forest_defensive,3stage_full_random_forest_prob_weighted,3stage_full_mlp_stateful,3stage_full_mlp_defensive,3stage_full_mlp_prob_weighted,BUY_AND_HOLD
2019-01-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-27,0.999,0.999,0.9997362357389648,1.0,1.0,0.9999469723396677,1.0,1.0,0.9999972257787223,0.9948661118791017,0.9948661118791017,0.9961042144376905,0.9948661118791017,0.9948661118791017,0.9964357227767433,0.9948661118791017,0.9948661118791017,0.9955337397157388,0.9948661118791017,0.9948661118791017,0.9989669487263537,0.9948661118791017,0.9948661118791017,0.998476963168302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948661118791017,0.9938661118791017,0.9973540386894086,0.9948661118791017,0.9948661118791017,0.996769817118613,0.9948661118791017,0.9948661118791017,0.9951442481622016,0.9948661118791017,0.9948661118791017,0.999052277252374,0.9948661118791017,0.9948661118791017,0.9980752551583563,0.9948661118791017
2019-01-28,0.9673585527418261,0.9663595527418262,0.9912377864019188,0.999,0.999,0.9979258038854083,0.999,0.999,0.9997843131805438,0.9623607316451334,0.9623607316451334,0.9838934680608341,0.9633555977570125,0.9633555977570125,0.9811433767151827,0.9633555977570125,0.9633555977570125,0.971587091866253,0.9633555977570125,0.9633555977570125,0.9943034672023183,0.9623607316451334,0.9623607316451334,0.9940926578658725,1.0,1.0,0.9999899038148214,1.0,1.0,0.9998721569594053,1.0,1.0,1.0,0.9633555977570125,0.9938661118791017,0.9941572466154187,0.9633555977570125,0.9633555977570125,0.9838770506212652,0.9633555977570125,0.9633555977570125,0.968169247139459,0.9633555977570125,0.9633555977570125,0.9965029996434873,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9633555977570125
2019-01-29,0.9601659220418988,0.9663595527418262,0.9882144016481235,0.9925711046773593,0.9915721046773593,0.9950958523584867,0.9925711046773593,0.9925711046773593,0.998851482707704,0.9623607316451334,0.9623607316451334,0.9835441203385954,0.9571560859487445,0.9571560859487445,0.978624216421594,0.9571560859487445,0.9571560859487445,0.9677347768855298,0.9571560859487445,0.9571560859487445,0.9938994911890414,0.9623607316451334,0.9623607316451334,0.9940926578658725,1.0,1.0,0.9999148360993196,1.0,1.0,0.9989217232027388,1.0,1.0,1.0,0.9561927303509875,0.9938661118791017,0.9941572466154187,0.9571560859487445,0.9571560859487445,0.9814648994103846,0.9571560859487445,0.9571560859487445,0.9641540631431051,0.9571560859487445,0.9571560859487445,0.9961751576775391,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9571560859487445
2019-01-30,0.9592057561198569,0.9653931931890843,0.987427638425057,1.0035283660564762,0.990580532572682,0.9957161416881303,1.0035283660564762,1.0035283660564762,0.9989096558654621,0.9613983709134882,0.9613983709134882,0.9873820574210554,0.9677223913397945,0.9677223913397945,0.985367392696234,0.9677223913397945,0.9677223913397945,0.9749128130435384,0.9677223913397945,0.9677223913397945,0.9945442520973337,0.9623607316451334,0.9623607316451334,0.9940926578658725,1.0,1.0,0.9998322773901998,1.0,1.0,0.9985433307403778,1.0,1.0,1.0,0.9561927303509875,0.9938661118791017,0.9941572466154187,0.9677223913397945,0.9677223913397945,0.9874123528857226,0.9677223913397945,0.9677223913397945,0.972845334511287,0.9677223913397945,0.9677223913397945,0.9969500419030133,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9677223913397945
2019-01-31,0.9513946853096428,0.9575317364123836,0.9803775264797658,0.9953563642963594,0.9825139685077995,0.990770767834248,0.9953563642963594,0.9953563642963594,0.9975571209647286,0.9535694450504835,0.95260804667957,0.9846578985518185,0.9598419672752413,0.9598419672752413,0.9793047407140001,0.9598419672752413,0.9598419672752413,0.9688749739294996,0.9598419672752413,0.9598419672752413,0.9935271362623205,0.9623607316451334,0.9623607316451334,0.9940926578658725,1.0,1.0,0.999077483210933,1.0,1.0,0.9952114564226497,1.0,1.0,1.0,0.9561927303509875,0.9938661118791017,0.9941572466154187,0.9598419672752413,0.9598419672752413,0.9822304642014366,0.9598419672752413,0.9598419672752413,0.9657365830815366,0.9598419672752413,0.9598419672752413,0.9958685017614846,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9598419672752413
2019-02-01,0.9596910217740308,0.9649240573535921,0.9812994232032559,1.0040360546789948,0.9910816708395073,0.9928761676253256,1.0040360546789948,1.0030406983146987,0.9976198516308715,0.9618847458194002,0.9516554386328904,0.9876377404341722,0.9682119655904661,0.9682119655904661,0.9849723183002654,0.9682119655904661,0.9682119655904661,0.9744386406041616,0.9682119655904661,0.9682119655904661,0.9944323594394311,0.9613983709134882,0.9613983709134882,0.9939362846657956,1.0,1.0,0.9990721564900739,1.0,1.0,0.9962646679615447,1.0,1.0,1.0,0.9561927303509875,0.9938661118791017,0.9941572466154187,0.9682119655904661,0.9682119655904661,0.9865249214457287,0.9682119655904661,0.9682119655904661,0.9725544432845608,0.9682119655904661,0.9682119655904661,0.9966291254163041,0.9613983709134882,0.9613983709134882,0.9921117544157797,0.9682119655904661
2019-02-02,0.9688025830417208,0.9649240573535921,0.9847660985939436,1.012564603403807,0.9995001815898262,0.9964443318966233,1.012564603403807,1.0030406983146987,0.9989738338109609,0.9710171348854028,0.9606907079415531,0.9907890685478222,0.9774044269602521,0.9774044269602521,0.991784549867465,0.9774044269602521,0.9774044269602521,0.9813632688150196,0.9774044269602521,0.9774044269602521,0.9961796375099911,0.9705261422070477,0.9705261422070477,0.9952275173628271,1.0,1.0,0.9991174028277924,1.0,1.0,0.9969399157872287,1.0,1.0,1.0,0.9552365376206365,0.9928722457672225,0.9937776623407015,0.9774044269602521,0.9774044269602521,0.9924969334220352,0.9774044269602521,0.9774044269602521,0.9803358135644542,0.9774044269602521,0.9774044269602521,0.9983889742630601,0.9695647438361341,0.9695647438361341,0.9938062955289236,0.9774044269602521
2019-02-03,0.9521374786386094,0.9649240573535921,0.9847296211956356,1.0115520388004031,0.9985006814082364,0.9963516833466111,1.012564603403807,1.0030406983146987,0.9989738338109609,0.9552849534395527,0.9451258327321549,0.9821997661388351,0.9615687601748967,0.9615687601748967,0.9818487947174486,0.9615687601748967,0.9615687601748967,0.9677445421806665,0.9615687601748967,0.9615687601748967,0.9928684289992324,0.9548019157041404,0.9548019157041404,0.9895141500400287,1.0,1.0,0.9991174028277924,1.0,1.0,0.996913069658102,1.0,1.0,1.0,0.939760029540965,0.9767859731755427,0.9874233280482556,0.9615687601748967,0.9615687601748967,0.982690936738529,0.9615687601748967,0.9615687601748967,0.9687647207841061,0.9615687601748967,0.9615687601748967,0.9964048887216581,0.968595179092298,0.968595179092298,0.9937136446248371,0.9615687601748967
2019-02-04,0.9511853411599708,0.9639591332962385,0.984448620984665,1.0101330169660216,0.9970999682326263,0.9961236525932837,1.0115520388004031,1.0020376576163839,0.9989538323551697,0.953944863997793,0.943799994671984,0.9815381760158672,0.9602198557057153,0.9592582869455405,0.9806079470320795,0.9602198557057153,0.9592582869455405,0.9662048523260612,0.9602198557057153,0.9592582869455405,0.9924832679770225,0.9534625038756592,0.9534625038756592,0.9890188751686525,1.0,1.0,0.9991174028277924,1.0,1.0,0.9968234112230752,1.0,1.0,1.0,0.9384417187177482,0.9744389357765508,0.9870110430985933,0.9602198557057153,0.9592582869455405,0.9816142396309837,0.9602198557057153,0.9592582869455405,0.9669488606170584,0.9602198557057153,0.9592582869455405,0.9961436961285338,0.9662678226680219,0.9662678226680219,0.993491042263693,0.9602198557057153
