rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,arch
stateful,btc,xgboost,15.645834649503673,0.9282939639043714,-0.7509319531518506,321,0.5482866043613707,16.645834649503673,2400,2019-01-26,2025-09-05,flat
defensive,btc,xgboost,8.995805073194807,0.8325815280027445,-0.7061248806417525,445,0.5438202247191011,9.995805073194807,2400,2019-01-26,2025-09-05,flat
prob_weighted,btc,xgboost,2.4049121718891016,0.7149087709014735,-0.3999596062754551,416,0.5528846153846154,3.4049121718891016,2400,2019-01-26,2025-09-05,flat
stateful,btc,lightgbm,14.693860735477365,0.9131491684538154,-0.7154397678677726,314,0.5477707006369427,15.693860735477365,2400,2019-01-26,2025-09-05,flat
defensive,btc,lightgbm,8.132815703078123,0.8099167506797823,-0.6946254011103801,429,0.5407925407925408,9.132815703078123,2400,2019-01-26,2025-09-05,flat
prob_weighted,btc,lightgbm,1.727025275435401,0.7789412641036266,-0.27353794249111096,384,0.5364583333333334,2.727025275435401,2400,2019-01-26,2025-09-05,flat
stateful,btc,random_forest,15.820088119878367,0.9201558712830243,-0.7150834886872707,272,0.5257352941176471,16.820088119878367,2400,2019-01-26,2025-09-05,flat
defensive,btc,random_forest,9.005948542827978,0.8223448411390294,-0.7550824066230293,355,0.5380281690140845,10.005948542827978,2400,2019-01-26,2025-09-05,flat
prob_weighted,btc,random_forest,0.826135910881507,0.7078625053338722,-0.17632821892531214,329,0.48632218844984804,1.826135910881507,2400,2019-01-26,2025-09-05,flat
stateful,btc,mlp,10.207180591748292,0.7846901583297464,-0.6198639649208446,238,0.5084033613445378,11.207180591748292,2400,2019-01-26,2025-09-05,flat
defensive,btc,mlp,9.631650143505626,0.7773063974532187,-0.620771354269338,261,0.5172413793103449,10.631650143505626,2400,2019-01-26,2025-09-05,flat
prob_weighted,btc,mlp,2.1228075425131263,0.6823974972176278,-0.35522371626055727,251,0.4940239043824701,3.1228075425131263,2400,2019-01-26,2025-09-05,flat
stateful,btc,xgboost,11.790952314630358,0.8800430925016512,-0.4070069734400483,202,0.5544554455445545,12.790952314630358,2400,2019-01-26,2025-09-05,2stage_trend
defensive,btc,xgboost,4.780154880427818,0.693174814390997,-0.3556886904006692,284,0.528169014084507,5.780154880427818,2400,2019-01-26,2025-09-05,2stage_trend
prob_weighted,btc,xgboost,1.941317208006311,0.8402812216233415,-0.22372878361185122,246,0.5528455284552846,2.941317208006311,2400,2019-01-26,2025-09-05,2stage_trend
stateful,btc,lightgbm,11.676369951505956,0.8729059791141001,-0.537558743378561,231,0.5627705627705628,12.676369951505956,2400,2019-01-26,2025-09-05,2stage_trend
defensive,btc,lightgbm,8.501691069478275,0.8332045081084429,-0.46417695998974495,325,0.5723076923076923,9.501691069478275,2400,2019-01-26,2025-09-05,2stage_trend
prob_weighted,btc,lightgbm,5.3901614221184735,1.0755753339226741,-0.27840266527870694,297,0.5791245791245792,6.3901614221184735,2400,2019-01-26,2025-09-05,2stage_trend
stateful,btc,random_forest,19.721276578601024,1.0119261463788276,-0.44622092395462276,173,0.5202312138728323,20.721276578601024,2400,2019-01-26,2025-09-05,2stage_trend
defensive,btc,random_forest,13.990687896583854,0.9866770341055431,-0.35128524550102247,241,0.5269709543568465,14.990687896583854,2400,2019-01-26,2025-09-05,2stage_trend
prob_weighted,btc,random_forest,0.865628776625921,0.8308066613032602,-0.11624406340269333,210,0.5285714285714286,1.865628776625921,2400,2019-01-26,2025-09-05,2stage_trend
stateful,btc,mlp,13.75734476903507,0.8712728451124142,-0.5095553876139057,167,0.48502994011976047,14.75734476903507,2400,2019-01-26,2025-09-05,2stage_trend
defensive,btc,mlp,9.214994410609263,0.8106625309887955,-0.530630830165215,213,0.5070422535211268,10.214994410609263,2400,2019-01-26,2025-09-05,2stage_trend
prob_weighted,btc,mlp,2.2094927970865688,0.6967527571974894,-0.31721109354379395,194,0.5412371134020618,3.2094927970865688,2400,2019-01-26,2025-09-05,2stage_trend
stateful,btc,xgboost,13.514117213514924,0.9326863258057508,-0.6709287396225089,251,0.5617529880478087,14.514117213514924,2400,2019-01-26,2025-09-05,2stage_macro
defensive,btc,xgboost,4.835822426642214,0.7029406459062033,-0.6766778145308736,365,0.5260273972602739,5.835822426642214,2400,2019-01-26,2025-09-05,2stage_macro
prob_weighted,btc,xgboost,3.5591858028930234,0.8757757194694575,-0.39095080947817007,312,0.5608974358974359,4.559185802893023,2400,2019-01-26,2025-09-05,2stage_macro
stateful,btc,lightgbm,15.04841051369613,0.9515837880727663,-0.5511614725629037,217,0.5806451612903226,16.04841051369613,2400,2019-01-26,2025-09-05,2stage_macro
defensive,btc,lightgbm,5.976215376024319,0.7577849142979514,-0.5254844944068,324,0.5401234567901234,6.976215376024319,2400,2019-01-26,2025-09-05,2stage_macro
prob_weighted,btc,lightgbm,2.2428486099897786,0.8328306250702266,-0.22500124683781153,288,0.5798611111111112,3.2428486099897786,2400,2019-01-26,2025-09-05,2stage_macro
stateful,btc,random_forest,16.058619909320896,0.9773402632769287,-0.5314385626799722,185,0.5621621621621622,17.058619909320896,2400,2019-01-26,2025-09-05,2stage_macro
defensive,btc,random_forest,11.585642302295414,0.9429476581394254,-0.4207629767690503,253,0.5573122529644269,12.585642302295414,2400,2019-01-26,2025-09-05,2stage_macro
prob_weighted,btc,random_forest,0.6373133638145168,0.831250832687765,-0.1029158190861652,242,0.5495867768595041,1.6373133638145168,2400,2019-01-26,2025-09-05,2stage_macro
stateful,btc,mlp,6.06496141997722,0.7072191028387754,-0.7143829887560005,242,0.512396694214876,7.06496141997722,2400,2019-01-26,2025-09-05,2stage_macro
defensive,btc,mlp,6.350421293044959,0.7356254031390863,-0.6671947791203793,297,0.5218855218855218,7.350421293044959,2400,2019-01-26,2025-09-05,2stage_macro
prob_weighted,btc,mlp,4.7640221576872515,0.7587423197132818,-0.5199972232236958,279,0.5483870967741935,5.7640221576872515,2400,2019-01-26,2025-09-05,2stage_macro
stateful,btc,xgboost,29.013821360472036,1.1470791622327978,-0.4599444471123002,179,0.5921787709497207,30.013821360472036,2400,2019-01-26,2025-09-05,3stage_full
defensive,btc,xgboost,13.09211763213003,0.9848283631728987,-0.3560776617217354,248,0.5967741935483871,14.09211763213003,2400,2019-01-26,2025-09-05,3stage_full
prob_weighted,btc,xgboost,2.1329378688800262,0.8226775617595915,-0.2547651726136795,219,0.5844748858447488,3.1329378688800262,2400,2019-01-26,2025-09-05,3stage_full
stateful,btc,lightgbm,25.18939631156961,1.0927716653310473,-0.4307741045812655,207,0.5893719806763285,26.18939631156961,2400,2019-01-26,2025-09-05,3stage_full
defensive,btc,lightgbm,13.239640089321458,0.9611142002638946,-0.44374508737478746,271,0.6014760147601476,14.239640089321458,2400,2019-01-26,2025-09-05,3stage_full
prob_weighted,btc,lightgbm,3.7625779363930114,0.8508158092275935,-0.3135671346847122,244,0.6147540983606558,4.762577936393011,2400,2019-01-26,2025-09-05,3stage_full
stateful,btc,random_forest,21.862729988687313,1.0679913216469574,-0.5183157559847753,176,0.5681818181818182,22.862729988687313,2400,2019-01-26,2025-09-05,3stage_full
defensive,btc,random_forest,9.375253521422916,0.8829669764819967,-0.43115265804699765,222,0.5225225225225225,10.375253521422916,2400,2019-01-26,2025-09-05,3stage_full
prob_weighted,btc,random_forest,0.9056613097950577,0.8245530099125318,-0.12516834857469017,202,0.5693069306930693,1.9056613097950577,2400,2019-01-26,2025-09-05,3stage_full
stateful,btc,mlp,11.912636034520839,0.8958060287954286,-0.5506091668668001,195,0.5538461538461539,12.912636034520839,2400,2019-01-26,2025-09-05,3stage_full
defensive,btc,mlp,10.8423467315583,0.8996176296881436,-0.49413518466646644,236,0.5550847457627118,11.8423467315583,2400,2019-01-26,2025-09-05,3stage_full
prob_weighted,btc,mlp,5.091246679111109,0.8066312952769688,-0.49280291563292633,226,0.5796460176991151,6.091246679111109,2400,2019-01-26,2025-09-05,3stage_full
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05,buy_and_hold
stateful,eth,xgboost,-0.2769109493420392,0.042015766870487435,-0.6648249520496545,140,0.5142857142857142,0.7230890506579608,1200,2022-03-16,2025-07-06,flat
defensive,eth,xgboost,-0.06264099921769184,0.14997490800605562,-0.5494400825978365,206,0.5242718446601942,0.9373590007823082,1200,2022-03-16,2025-07-06,flat
