asset,model,f1_macro_base,f1_macro_tuned,d_f1m,f1_buy_base,f1_buy_tuned,d_f1_buy,f1_hold_base,f1_hold_tuned,d_f1_hold,f1_sell_base,f1_sell_tuned,d_f1_sell,accuracy_base,accuracy_tuned,d_acc
btc,xgboost,0.3598604671006226,0.3671348277010435,0.007274360600420915,0.4114162627894453,0.43730886850152906,0.02589260571208374,0.2439893143365984,0.23842364532019705,-0.005565669016401348,0.4241758241758241,0.42567196928140427,0.00149614510558016,0.3770833333333333,0.3908333333333333,0.013749999999999984
btc,lightgbm,0.3637759464104766,0.36085787864388275,-0.002918067766593868,0.4616132167152575,0.46235011990407676,0.000736903188819249,0.1915367483296214,0.18885096700796358,-0.0026857813216578097,0.4381778741865509,0.43137254901960786,-0.006805325166943044,0.4020833333333333,0.40041666666666664,-0.0016666666666666496
btc,random_forest,0.3679778999534651,0.35968205644689216,-0.00829584350657292,0.445115810674723,0.45098039215686275,0.005864581482139752,0.2172043010752688,0.18244803695150116,-0.034756264123767644,0.4416135881104034,0.44561774023231254,0.0040041521219091325,0.3995833333333333,0.40041666666666664,0.0008333333333333526
btc,mlp,0.3116273830300975,0.3465253027958459,0.03489791976574841,0.4622849580943979,0.46620689655172415,0.003921938457326246,0.0983606557377049,0.17712177121771217,0.07876111548000726,0.3742365352581899,0.39624724061810157,0.022010705359911675,0.37375,0.3908333333333333,0.017083333333333284
eth,xgboost,0.343665945981416,0.36768167857981887,0.024015732598402895,0.4642201834862385,0.4520686175580222,-0.012151565928216312,0.2138364779874214,0.2743682310469314,0.06053175305951003,0.3529411764705882,0.37660818713450295,0.023667010663914745,0.3758333333333333,0.38416666666666666,0.00833333333333336
eth,lightgbm,0.3598663323874659,0.3497666088003953,-0.01009972358707062,0.4900086880973067,0.444022770398482,-0.04598591769882471,0.2266009852216748,0.23968565815324164,0.013084672931566843,0.3629893238434163,0.3655913978494624,0.0026020740060460623,0.4008333333333333,0.37333333333333335,-0.02749999999999997
eth,random_forest,0.3456406353870188,0.364493623535757,0.018852988148738203,0.4738243123336291,0.4541832669322709,-0.019641045401358193,0.2112676056338028,0.25147347740667975,0.04020587177287693,0.3518299881936245,0.3878241262683202,0.0359941380746957,0.3841666666666666,0.38666666666666666,0.0025000000000000577
eth,mlp,0.2792924168137083,0.3115552576348376,0.03226284082112929,0.5224429727740986,0.42805755395683454,-0.09438541881726403,0.0136986301369863,0.13507625272331156,0.12137762258632526,0.30173564753004,0.3715319662243667,0.06979631869432668,0.3916666666666666,0.3525,-0.03916666666666663
