asset,model,n_folds,n_oof,accuracy,f1_macro,f1_sell,f1_hold,f1_buy,elapsed_s
btc,xgboost,12,2400,0.3908333333333333,0.3671348277010435,0.42567196928140427,0.23842364532019705,0.43730886850152906,15.6
btc,lightgbm,12,2400,0.40041666666666664,0.36085787864388275,0.43137254901960786,0.18885096700796358,0.46235011990407676,92.1
btc,random_forest,12,2400,0.40041666666666664,0.35968205644689216,0.44561774023231254,0.18244803695150116,0.45098039215686275,8.4
btc,mlp,12,2400,0.3908333333333333,0.3465253027958459,0.39624724061810157,0.17712177121771217,0.46620689655172415,7.2
eth,xgboost,6,1200,0.38416666666666666,0.36768167857981887,0.37660818713450295,0.2743682310469314,0.4520686175580222,2.7
eth,lightgbm,6,1200,0.37333333333333335,0.3497666088003953,0.3655913978494624,0.23968565815324164,0.444022770398482,4.6
eth,random_forest,6,1200,0.38666666666666666,0.364493623535757,0.3878241262683202,0.25147347740667975,0.4541832669322709,2.8
eth,mlp,6,1200,0.3525,0.3115552576348376,0.3715319662243667,0.13507625272331156,0.42805755395683454,1.1
