asset,model,n_oof,accuracy,precision_macro,recall_macro,f1_macro,precision_Sell,recall_Sell,f1_Sell,precision_Hold,recall_Hold,f1_Hold,precision_Buy,recall_Buy,f1_Buy,auc_Sell,auc_Hold,auc_Buy,auc_macro
btc,xgboost,2400,0.3908333333333333,0.36900281134064056,0.36967036590881125,0.3671348277010435,0.3883883883883884,0.470873786407767,0.42567196928140427,0.2607758620689655,0.21960072595281308,0.23842364532019705,0.4578441835645678,0.41853658536585364,0.43730886850152906,0.5570295944014588,0.510253739942815,0.5222378713968958,0.5298404019137232
btc,lightgbm,2400,0.40041666666666664,0.3663567031486558,0.3671538784741009,0.36085787864388275,0.391304347826087,0.48058252427184467,0.43137254901960786,0.2530487804878049,0.15063520871143377,0.18885096700796358,0.4547169811320755,0.47024390243902436,0.46235011990407676,0.5617969481543541,0.5018291144769479,0.5225188470066519,0.528714969879318
btc,random_forest,2400,0.40041666666666664,0.3661293815338289,0.3680973635719125,0.35968205644689216,0.394392523364486,0.5121359223300971,0.44561774023231254,0.2507936507936508,0.14337568058076225,0.18244803695150116,0.45320197044334976,0.44878048780487806,0.45098039215686275,0.555569587501848,0.5151408668441959,0.5266156984478936,0.5324420509313125
btc,mlp,2400,0.3908333333333333,0.35967968313645815,0.35366175478134537,0.3465253027958459,0.3633603238866397,0.4356796116504854,0.39624724061810157,0.2748091603053435,0.1306715063520871,0.17712177121771217,0.4408695652173913,0.4946341463414634,0.46620689655172415,0.530282052387758,0.5088619050470211,0.515279467849224,0.5181411417613343
eth,xgboost,1200,0.38416666666666666,0.368263607315967,0.3681643330070143,0.36768167857981887,0.3898305084745763,0.36425339366515835,0.37660818713450295,0.2825278810408922,0.26666666666666666,0.2743682310469314,0.43243243243243246,0.47357293868921774,0.4520686175580222,0.5151416564190117,0.548748921484038,0.5257552977715481,0.5298819585581992
eth,lightgbm,1200,0.37333333333333335,0.3541390244522393,0.3516345072036626,0.3497666088003953,0.38734177215189874,0.34615384615384615,0.3655913978494624,0.27232142857142855,0.21403508771929824,0.23968565815324164,0.4027538726333907,0.49471458773784355,0.444022770398482,0.5255524779426689,0.5250541654683156,0.5074810030505625,0.5193625488205157
eth,random_forest,1200,0.38666666666666666,0.36720322357343876,0.3652437577702175,0.364493623535757,0.3865168539325843,0.3891402714932127,0.3878241262683202,0.2857142857142857,0.22456140350877193,0.25147347740667975,0.4293785310734463,0.4820295983086681,0.4541832669322709,0.5113838512876228,0.535150992234685,0.5214280936746629,0.5226543123989903
eth,mlp,1200,0.3525,0.3161835666946525,0.3201198222582052,0.3115552576348376,0.3979328165374677,0.34841628959276016,0.3715319662243667,0.1781609195402299,0.10877192982456141,0.13507625272331156,0.37245696400625977,0.5031712473572939,0.42805755395683454,0.538377965352977,0.5007458537053014,0.47949667171701016,0.5062068302584296
