,xgboost_stateful,xgboost_defensive,xgboost_prob_weighted,lightgbm_stateful,lightgbm_defensive,lightgbm_prob_weighted,random_forest_stateful,random_forest_defensive,random_forest_prob_weighted,mlp_stateful,mlp_defensive,mlp_prob_weighted,BUY_AND_HOLD
2019-01-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-27,0.9948661118791017,0.9948661118791017,0.9967698170719248,0.9948661118791017,0.9948661118791017,0.9951442481622016,0.9948661118791017,0.9948661118791017,0.999052277252374,0.9948661118791017,0.9948661118791017,0.9980752551583563,0.9948661118791017
2019-01-28,0.9633555977570125,0.9633555977570125,0.9838770501180936,0.9633555977570125,0.9633555977570125,0.968169247139459,0.9633555977570125,0.9633555977570125,0.9965029996434873,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9633555977570125
2019-01-29,0.9571560859487445,0.9571560859487445,0.9814648990263525,0.9571560859487445,0.9571560859487445,0.9641540631431051,0.9571560859487445,0.9571560859487445,0.9961751576775391,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9571560859487445
2019-01-30,0.9677223913397945,0.9677223913397945,0.9874123526074949,0.9677223913397945,0.9677223913397945,0.972845334511287,0.9677223913397945,0.9677223913397945,0.9969500419030133,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9677223913397945
2019-01-31,0.9598419672752413,0.9598419672752413,0.9822304643392918,0.9598419672752413,0.9598419672752413,0.9657365830815366,0.9598419672752413,0.9598419672752413,0.9958685017614846,0.9623607316451334,0.9623607316451334,0.9923112869046592,0.9598419672752413
2019-02-01,0.9682119655904661,0.9682119655904661,0.9865249220783872,0.9682119655904661,0.9682119655904661,0.9725544432845608,0.9682119655904661,0.9682119655904661,0.9966291254163041,0.9613983709134882,0.9613983709134882,0.9921117544157797,0.9682119655904661
2019-02-02,0.9774044269602521,0.9774044269602521,0.9924969342443118,0.9774044269602521,0.9774044269602521,0.9803358135644542,0.9774044269602521,0.9774044269602521,0.9983889742630601,0.9695647438361341,0.9695647438361341,0.9938062955289236,0.9774044269602521
2019-02-03,0.9615687601748967,0.9615687601748967,0.982690937011577,0.9615687601748967,0.9615687601748967,0.9687647207841061,0.9615687601748967,0.9615687601748967,0.9964048887216581,0.968595179092298,0.968595179092298,0.9937136446248371,0.9615687601748967
2019-02-04,0.9602198557057153,0.9592582869455405,0.9816142399556695,0.9602198557057153,0.9592582869455405,0.9669488606170584,0.9602198557057153,0.9592582869455405,0.9961436961285338,0.9662678226680219,0.9662678226680219,0.993491042263693,0.9602198557057153
2019-02-05,0.9622194249562777,0.958299028658595,0.9820150284356959,0.9622194249562777,0.9592582869455405,0.9669546909066427,0.9622194249562777,0.9592582869455405,0.996300750305462,0.9662678226680219,0.9662678226680219,0.993491042263693,0.9622194249562777
2019-02-06,0.9476211801314719,0.9428019628238439,0.9760990582800712,0.9476211801314719,0.9592582869455405,0.9619127333027069,0.9476211801314719,0.9592582869455405,0.9959460862926116,0.9662678226680219,0.9662678226680219,0.993491042263693,0.9476211801314719
2019-02-07,0.943652741676797,0.9418591608610201,0.9747128347832266,0.943652741676797,0.958299028658595,0.9609511947392734,0.943652741676797,0.958299028658595,0.9957198517179181,0.9662678226680219,0.9662678226680219,0.993491042263693,0.943652741676797
2019-02-08,1.0178544150936337,1.0149779415650741,1.0088426753423314,1.0178544150936337,1.0326940756434757,1.0117013153991525,1.0178544150936337,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9932863230889736,1.0178544150936337
2019-02-09,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0117013153991525,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.0190822814105864
2019-02-10,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0117013153991525,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.0243521849690673
2019-02-11,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0116775622643497,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.0127607826627822
2019-02-12,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0116869988261565,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.014175898931923
2019-02-13,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0116869988261565,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.0082194122154198
2019-02-14,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0116869988261565,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.0040029336503549
2019-02-15,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0116869988261565,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.0050938357424173
2019-02-16,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0116869988261565,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.00758569006453
2019-02-17,1.0180644269954928,1.0149779415650741,1.0088426753423314,1.0180644269954928,1.0326940756434757,1.0116869988261565,1.0180644269954928,1.0326940756434757,1.0022074074314886,0.9662678226680219,0.9662678226680219,0.9933285536902675,1.0198130509489296
2019-02-18,1.0170463625684973,1.013962963623509,1.008305545983365,1.0170463625684973,1.0316613815678322,1.0109847438603792,1.0170463625684973,1.0316613815678322,1.001702071028961,0.9653015548453538,0.9653015548453538,0.9929058082327591,1.0869555434863785
2019-02-19,1.0251968661745736,1.0220887571916313,1.0124677511142992,1.0251968661745736,1.0399290084137538,1.0165301287057136,1.0251968661745736,1.0399290084137538,1.005644014370666,0.973037380952483,0.973037380952483,0.996075499039522,1.0956662919860407
2019-02-20,1.0388916500961338,1.0357420223743712,1.021542144749392,1.0388916500961338,1.0538205872254702,1.0269226048524336,1.0388916500961338,1.0538205872254702,1.013800928903297,0.9860354080821095,0.9860354080821095,1.004319565831275,1.1103024205326244
2019-02-21,1.0270211590662295,1.0239075193395721,1.0134125872466384,1.0270211590662295,1.0417795165068529,1.0166300893018618,1.0270211590662295,1.0417795165068529,1.0062399953449996,0.9747688583262002,0.9747688583262002,1.0003398826508885,1.097615982132437
2019-02-22,1.0403737097250323,1.037219588814695,1.0177492828841725,1.0403737097250323,1.0553239441427043,1.0249965243415264,1.0403737097250323,1.0553239441427043,1.0133563892344168,0.9864672953181388,0.9864672953181388,1.000485091676213,1.1118863531719783
2019-02-23,1.075957408464349,1.0726954077727258,1.028963022096905,1.075957408464349,1.0914189828290304,1.0507067906054182,1.075957408464349,1.0914189828290304,1.0328505457072341,0.9854808280228207,0.9854808280228207,1.000041920230172,1.1499159848839198
2019-02-24,0.9896997244861482,0.986699232867822,0.9617307100462164,0.9896997244861482,1.0039217706084824,0.9749504651353085,0.9896997244861482,1.0039217706084824,0.9766165189708466,0.9064764983333293,0.9054910175053065,0.964086377989349,1.05772916703658
2019-02-25,1.0084704294719922,1.0054130303476958,0.9614472917986934,1.0084704294719922,1.0229622117834478,0.9775805248232078,1.0084704294719922,1.0229622117834478,0.9777765861756257,0.9227623100673182,0.9054910175053065,0.964086377989349,1.0777901225548556
2019-02-26,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0001015025405189,1.0144730228554628,0.9719837452271554,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9227623100673182,0.9054910175053065,0.964086377989349,1.069923726988349
2019-02-27,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0001015025405189,1.0144730228554628,0.9719837452271554,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9227623100673182,0.9054910175053065,0.964086377989349,1.0690047587105105
2019-02-28,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0001015025405189,1.0144730228554628,0.9719837452271554,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9227623100673182,0.9054910175053065,0.964086377989349,1.0700423931723089
2019-03-01,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0001015025405189,1.0144730228554628,0.9719837452271554,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9227623100673182,0.9054910175053065,0.964086377989349,1.0713743550109989
2019-03-02,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0001015025405189,1.0144730228554628,0.9719837452271554,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.921839547757251,0.9045855264878012,0.9639027281703537,1.0727154658701543
2019-03-03,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0001015025405189,1.0144730228554628,0.9719837452271554,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9177271971259375,0.9005501465022284,0.9627075494873834,1.0679300537731975
2019-03-04,1.0001015025405189,0.9970694756523575,0.9581237525504241,0.9991014010379784,1.0134585498326074,0.9716024792182256,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.897303236718389,0.8805084602639055,0.9501995480522397,1.0441633383433813
2019-03-05,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.929463458656871,0.9120667410568739,0.9722006965099923,1.0815871693594823
2019-03-06,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9312686834418766,0.9138381775466037,0.9737174817857044,1.0836878522288158
2019-03-07,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9330677349253624,0.9156035562801663,0.9753621575542131,1.085781351422821
2019-03-08,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.930598123123957,0.913180168070114,0.9729748045627751,1.0829075424389165
2019-03-09,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9454314019022703,0.9277358131667749,0.9854214779349301,1.1001685588422292
2019-03-10,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9416916779822349,0.9240660854583527,0.9823624964147011,1.096916929198373
2019-03-11,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768601759738414,0.9416916779822349,0.9240660854583527,0.9823624964147011,1.084044460715393
2019-03-12,1.0001015025405189,0.9970694756523575,0.9581237525504241,1.0339110669316405,1.0487684327735154,0.984880947709206,1.0001015025405189,1.0144730228554628,0.9768573307601031,0.9416916779822349,0.9240660854583527,0.9823624964147011,1.0851350917253677
2019-03-13,1.0001015025405189,0.9970694756523575,0.9580686685978669,1.0328771558647087,1.0477196643407418,0.9845932462361096,1.0001015025405189,1.0144730228554628,0.9768286425884903,0.9407499863042527,0.9231420193728943,0.9822860419338192,1.0844580642109425
2019-03-14,0.9991014010379784,0.9960724061767051,0.9581079494106051,1.0375440403463607,1.052453612240422,0.9856254422465913,1.0001015025405189,1.0144730228554628,0.9769420917780843,0.9440598594315192,0.9263899417827328,0.9825550134362279,1.0893580084900194
2019-03-15,1.0084045920179776,1.0053473924943523,0.9605709985327104,1.047205192204895,1.0622535954474224,0.9905477799270782,0.9991014010379784,1.0134585498326074,0.97732327607383,0.9431157995720877,0.9254635518409501,0.9823791716640039,1.099501629135577
2019-03-16,1.0307612521398741,1.027636273501382,0.96618404686664,1.0704220743426083,1.0858041056143348,0.9970262432318436,1.0212518063684595,1.035927257854748,0.9803302116557382,0.9640249857792127,0.9459813819336381,0.9857985773717206,1.123877940410464
2019-03-17,1.0237484562964299,1.0206447384854682,0.9627693702310981,1.0631394456464898,1.07841682509439,0.9927848845183296,1.0153249599533023,1.0299152422908167,0.978399754553864,0.9584302558649469,0.9404913682784789,0.981862077102454,1.1173555020650352
2019-03-18,1.0237484562964299,1.0206447384854682,0.9627693702310981,1.0631394456464898,1.07841682509439,0.9927848845183296,1.0171608456315195,1.0317775097595356,0.9785052684186974,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1193758768658406
2019-03-19,1.0237484562964299,1.0206447384854682,0.9627693702310981,1.0631394456464898,1.07841682509439,0.9927848845183296,1.0269182220666846,1.0416751002962716,0.9791010764786281,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1301137772185048
2019-03-20,1.0237484562964299,1.0206447384854682,0.9627693702310981,1.0631394456464898,1.07841682509439,0.9927848845183296,1.0310262410463744,1.045842151762235,0.9793765842200332,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.134634613197712
2019-03-21,1.0237484562964299,1.0206447384854682,0.9627693702310981,1.0631394456464898,1.07841682509439,0.9927848845183296,1.0153275893243876,1.0299179094461268,0.9775960452557549,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1184930302762088
2019-03-22,1.0237484562964299,1.0206447384854682,0.9627693702310981,1.0631394456464898,1.07841682509439,0.9927848845183296,1.0153275893243876,1.0299179094461268,0.9775960452557549,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1170055350896102
2019-03-23,1.0227247078401334,1.0196240937469827,0.9624389163199317,1.0631394456464898,1.07841682509439,0.9927848845183296,1.0143122617350633,1.0288879915366806,0.9775020928514825,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1202972171119476
2019-03-24,1.0192635624982018,1.0161734416257031,0.9607743491202722,1.0620763062008434,1.0773384082692956,0.9918002495084236,1.0108795861254336,1.0254059881666857,0.9770504721363497,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.116505863031166
2019-03-25,1.0042875385090462,1.0002266472938048,0.9474372698479074,1.0464712352209753,1.0615090914563459,0.9770331939572929,0.9960267477733425,1.0103397136107999,0.9734982204740907,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1001010594023526
2019-03-26,1.0098651893233694,0.999226420646511,0.9495625010455783,1.0522831674749207,1.0674045415354765,0.9804117368557093,1.000562492742117,1.014940637514709,0.9735817298796401,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1062108430395396
2019-03-27,1.035709447259444,1.0247984134478787,0.9574870153415146,1.0792129774035437,1.0947213344948057,0.9894665272136032,0.9995619302493749,1.0139256968771944,0.9733152512739047,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1345207587208115
2019-03-28,1.0311584346155056,1.0202953449961714,0.9543350827880451,1.0744708058238,1.0899110176167877,0.9852194732402727,0.9951697534714172,1.0094704042478646,0.9719222526235508,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.1295355591251033
2019-03-29,1.0385751127658955,1.0276338896253479,0.9584453810957373,1.0821990111909574,1.0977502777720343,0.991338483155618,1.001332410797402,1.0157216193399656,0.972194463183977,0.9592048356794673,0.9412514503242422,0.9822884496163169,1.137659821527685
2019-03-30,1.0406747901328066,1.0297114472261368,0.9579997938278365,1.0843868825758587,1.0999695890037657,0.9914567422360527,1.0003310783866046,1.0147058977206256,0.9719783444480893,0.9582456308437879,0.940310198873918,0.9813509325596437,1.139959817502116
2019-03-31,1.040356540961512,1.0293965507590952,0.9576398242477959,1.0840552657921965,1.0996332068664558,0.9911393572694921,1.000025166741838,1.0143955901066437,0.9718684956181155,0.9579525893664657,0.9400226422381768,0.9808663401600783,1.1396112059371306
2019-04-01,1.053731296472549,1.0426304053543507,0.960131873003751,1.0979918092458691,1.1137700193096818,0.9927960173700728,1.0128814247490157,1.0274365933348362,0.9737255549313604,0.9702679650761236,0.952107511722589,0.9901370583967006,1.1542619729164587
2019-04-02,1.235563312025799,1.2225468496294047,1.0700113720140125,1.2874614248912248,1.30596232502539,1.120796085098534,1.1886772623174224,1.204731191345388,1.0653661012919797,1.1386678047993337,1.1173554206966518,1.1574507334914546,1.3545958376158644
2019-04-03,1.235563312025799,1.2225468496294047,1.0700113720140125,1.2874614248912248,1.30596232502539,1.120796085098534,1.2101773095667774,1.204731191345388,1.0654468456725295,1.160401980216331,1.1386827987205115,1.1739263874395118,1.3804515116147142
2019-04-04,1.235563312025799,1.2225468496294047,1.0700113720140125,1.2874614248912248,1.30596232502539,1.120796085098534,1.2101773095667774,1.204731191345388,1.0654468456725295,1.1486829416343187,1.127183104753778,1.1644506818353264,1.3665101664593102
2019-04-05,1.235563312025799,1.2225468496294047,1.0700113720140125,1.2861739634663336,1.3046563627003647,1.1204779721805231,1.2089671322572106,1.2035264601540425,1.0653814620722009,1.1752561752258224,1.1532589685603758,1.186447963666024,1.3981225396759118
2019-04-06,1.235563312025799,1.2225468496294047,1.0700113720140125,1.290795889766037,1.309344706366247,1.1216208013728095,1.2133116121975425,1.2078513887846791,1.065616406679559,1.1806547694404261,1.158556517577222,1.1896606149357714,1.404544880960399
2019-04-07,1.235563312025799,1.2225468496294047,1.0700113720140125,1.290795889766037,1.309344706366247,1.1216208013728095,1.2133116121975425,1.2078513887846791,1.065616406679559,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4431517142079124
2019-04-08,1.235563312025799,1.2225468496294047,1.0700113720140125,1.290795889766037,1.309344706366247,1.1216208013728095,1.2133116121975425,1.2078513887846791,1.065616406679559,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4683772578935363
2019-04-09,1.235563312025799,1.2225468496294047,1.0700113720140125,1.290795889766037,1.309344706366247,1.1216208013728095,1.2133116121975425,1.2078513887846791,1.065616406679559,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4448343207272467
2019-04-10,1.235563312025799,1.2225468496294047,1.0700113720140125,1.290795889766037,1.309344706366247,1.1216208013728095,1.2133116121975425,1.2078513887846791,1.065616406679559,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4780319819936418
2019-04-11,1.235563312025799,1.2225468496294047,1.0700113720140125,1.290795889766037,1.309344706366247,1.1216208013728095,1.212098300585345,1.2066435373958944,1.0655517365359237,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4058413310455797
2019-04-12,1.235563312025799,1.2225468496294047,1.0700113720140125,1.290795889766037,1.309344706366247,1.1216208013728095,1.2180938923347198,1.2126121473953917,1.0658008380968613,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4127952643043564
2019-04-13,1.2343277487137732,1.2213243027797753,1.069741807066493,1.2895050938762709,1.3080353616598805,1.1215768777920603,1.2197805578784042,1.214291222497677,1.0658408756199511,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4147515281913836
2019-04-14,1.2515559114823307,1.238370969601785,1.073441935242413,1.307503395924762,1.3262923004196128,1.1218101871207578,1.2368056778394108,1.2312397249123883,1.0697376562797893,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4344979607172221
2019-04-15,1.227188549240244,1.2142603136338619,1.0668748043059786,1.2820467554431376,1.3004698464431557,1.1132093009284583,1.212725497562616,1.2072679118207514,1.0631020240142977,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4065687798283466
2019-04-16,1.2679852587195288,1.254627236286632,1.0810748554137468,1.3246671735142277,1.3437027225523388,1.1387474855165605,1.2530413967231921,1.2474023787636728,1.0762744810604232,1.2119268631908482,1.1892432932296921,1.197036612993325,1.45332881349132
2019-04-17,1.271951901113072,1.258552090735314,1.0818764709130055,1.3288111341254913,1.3479062321333397,1.1412092346506828,1.2569612901848293,1.2513046316671548,1.0773794997064636,1.2119268631908482,1.1892432932296921,1.197036612993325,1.45787526672783
2019-04-18,1.2832009503241082,1.269682633007349,1.0844967781557207,1.3405630422179828,1.3598270158704147,1.1475055531305374,1.2680777635336118,1.2623710779433888,1.0808802106422373,1.2119268631908482,1.1892432932296921,1.197036612993325,1.470768608531575
2019-04-19,1.2845152413404706,1.2709830781775082,1.084595266924862,1.3419360851251045,1.361219789488852,1.1477590545053744,1.2693765649506774,1.263664034410291,1.0811830299727085,1.2119268631908482,1.1892432932296921,1.197036612993325,1.472275011693802
2019-04-20,1.2927674610628754,1.2791483620815232,1.0851528490046023,1.3505571984225377,1.3699647887164401,1.1502738309183445,1.277531527996124,1.2717822979634519,1.0832142632126334,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4817334723622986
2019-04-21,1.2871111848703594,1.2735516738564119,1.0836927058558947,1.3446480734188904,1.3639707492217958,1.148699709729871,1.2719419139436074,1.2662178386537168,1.0818619864892125,1.2119268631908482,1.1892432932296921,1.197036612993325,1.475250408690131
2019-04-22,1.3063697747096723,1.2926073775238782,1.086111692494171,1.3647675673900388,1.3843793615630278,1.1531943463526584,1.2909735313423312,1.285163808736565,1.0861497131955944,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4987993096623535
2019-04-23,1.3050634049349625,1.2913147701463543,1.0860461277001028,1.3647675673900388,1.3843793615630278,1.1531943463526584,1.2896825578109887,1.2838786449278285,1.0861378243915973,1.2119268631908482,1.1892432932296921,1.197036612993325,1.546821230444306
2019-04-24,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3647675673900388,1.3843793615630278,1.1531943463526584,1.2648034850167165,1.259111534546506,1.0857779916216832,1.2119268631908482,1.1892432932296921,1.197036612993325,1.5169817340822955
2019-04-25,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3647675673900388,1.3843793615630278,1.1530558741530068,1.2046709830504887,1.1992496447559216,1.079011123632971,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4463769133482027
2019-04-26,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3634027998226488,1.3829949822014647,1.15484873320792,1.2046709830504887,1.1992496447559216,1.079011123632971,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4654839987698283
2019-04-27,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2046709830504887,1.1992496447559216,1.079011123632971,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4624146718300564
2019-04-28,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2046709830504887,1.1992496447559216,1.079011123632971,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4670915155508262
2019-04-29,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2046709830504887,1.1992496447559216,1.079011123632971,1.2119268631908482,1.1892432932296921,1.197036612993325,1.4566024007842937
2019-04-30,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2046709830504887,1.1992496447559216,1.079011123632971,1.2107149363276573,1.1880540499364625,1.1966212959274187,1.4852977951944997
2019-05-01,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2034663120674383,1.1980503951111656,1.0788595561416439,1.2224744059604111,1.199593418208134,1.2003274148494187,1.4997242417461256
2019-05-02,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2263177326511268,1.220798978253562,1.0817219218958285,1.2456867522664792,1.2223713002759808,1.2142435352752463,1.528201008452474
2019-05-03,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2849030421867969,1.279120638389061,1.0882250083255836,1.305197384807236,1.2807680755059783,1.239953696042635,1.6012082941902084
2019-05-04,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.319424844900515,1.2947292409933717,1.2475292231518809,1.6186624565811198
2019-05-05,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.3100820756539968,1.2855613398566967,1.2452629725750646,1.6088194659709967
2019-05-06,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.3087719935783428,1.28427577851684,1.2450325059366432,1.5952450304215087
2019-05-07,1.2785825591207285,1.2651128958185758,1.0847158426067087,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.3276047172934256,1.3027560111543461,1.2481938108955664,1.6181999905392341
2019-05-08,1.2773039765616077,1.2638477829227572,1.084671136889334,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.3611111684497523,1.3356353238652443,1.2579309475527873,1.6606587647141653
2019-05-09,1.3183127794660816,1.3044245646303148,1.085935125249265,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.3597500572813026,1.3342996885413791,1.2576433524861965,1.7139754608361597
2019-05-10,1.3619368498078313,1.3475890623498812,1.0929975352738153,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.4047453217359653,1.3784527790495953,1.2668670904592032,1.770692339586157
2019-05-11,1.5382780800641491,1.520724976812872,1.1090031353044547,1.3591838701479038,1.378715426246913,1.1543074930523558,1.2976243783305286,1.2917847251528671,1.0893057453920594,1.586629318976131,1.5555540105100496,1.3418960459128924,1.9999585244405564
2019-05-12,1.4886587859116918,1.5192042518360593,1.1088405873619294,1.3578246862777559,1.377336710820666,1.1542432856599658,1.296326753952198,1.2904929404277143,1.0892651491753516,1.535450388515192,1.5555540105100496,1.3356105290678886,1.935447086877335
2019-05-13,1.667060097857457,1.7012661415088857,1.1283175259931808,1.520546800785646,1.542397152156783,1.1619374906652944,1.451678937947696,1.4451459984742274,1.094130030556515,1.7209946704311994,1.5555540105100496,1.3936114585543877,2.1693270888670773
2019-05-14,1.667060097857457,1.7012661415088857,1.1283175259931808,1.520546800785646,1.542397152156783,1.1619374906652944,1.451678937947696,1.4451459984742274,1.094130030556515,1.7605242395253144,1.5555540105100496,1.3936114585543877,2.219154416354164
2019-05-15,1.667060097857457,1.7012661415088857,1.1283175259931808,1.520546800785646,1.542397152156783,1.1619374906652944,1.451678937947696,1.4451459984742274,1.094130030556515,1.8051753507671908,1.5555540105100496,1.3936114585543877,2.2776566417347937
2019-05-16,1.667060097857457,1.7012661415088857,1.1283175259931808,1.520546800785646,1.542397152156783,1.1619374906652944,1.451678937947696,1.4451459984742274,1.094130030556515,1.8051753507671908,1.5555540105100496,1.3936114585543877,2.18875662643221
