fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.5,0.48119525693027315,0.5038167938931297,0.3564356435643564,0.5833333333333334,btc,random_forest
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.425,0.35210092927753434,0.4861878453038674,0.13333333333333333,0.4367816091954023,btc,random_forest
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.705,0.6929935692043402,0.7191011235955056,0.6111111111111112,0.7487684729064039,btc,random_forest
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.67,0.6632962640291088,0.7157894736842105,0.6538461538461539,0.620253164556962,btc,random_forest
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.585,0.43626787673146233,0.5103448275862069,0.14285714285714285,0.6556016597510373,btc,random_forest
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.565,0.4023975666487744,0.0,0.5308641975308642,0.6763285024154589,btc,random_forest
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.575,0.5562621979944815,0.46153846153846156,0.4251968503937008,0.782051282051282,btc,random_forest
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.57,0.47659111063366383,0.7148936170212766,0.2972972972972973,0.4175824175824176,btc,random_forest
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.525,0.4661688570290721,0.3225806451612903,0.4,0.6759259259259259,btc,random_forest
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.78,0.5199413098572762,0.7843137254901961,0.0,0.7755102040816326,btc,random_forest
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.67,0.4050314465408806,0.41509433962264153,0.0,0.8,btc,random_forest
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.525,0.4391478542421939,0.6060606060606061,0.1509433962264151,0.5604395604395604,btc,random_forest
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.585,0.46534118922178624,0.40298507462686567,0.22727272727272727,0.7657657657657657,btc,random_forest
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.67,0.4022118043034018,0.4406779661016949,0.0,0.7659574468085106,btc,random_forest
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.73,0.6911023515935583,0.75,0.5154639175257731,0.807843137254902,btc,mlp
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.73,0.6015475347959424,0.3333333333333333,0.6624203821656051,0.8088888888888889,btc,mlp
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.515,0.4751834410363327,0.4881889763779528,0.3291139240506329,0.6082474226804123,btc,mlp
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.255,0.17398572884811417,0.17333333333333334,0.0,0.3486238532110092,btc,mlp
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.565,0.48471925070127897,0.36585365853658536,0.37777777777777777,0.7105263157894737,btc,mlp
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.555,0.5586340373574417,0.5512820512820513,0.5714285714285714,0.5531914893617021,btc,mlp
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.685,0.4872005251066623,0.5,0.18181818181818182,0.779783393501805,btc,mlp
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.54,0.39331314992760297,0.0,0.5070422535211268,0.6728971962616822,btc,mlp
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.455,0.402271629917458,0.21739130434782608,0.3442622950819672,0.6451612903225806,btc,mlp
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.395,0.38102331109577486,0.455026455026455,0.375,0.3130434782608696,btc,mlp
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.705,0.5738974567099567,0.4772727272727273,0.39285714285714285,0.8515625,btc,mlp
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.775,0.5205245346869712,0.79,0.0,0.7715736040609137,btc,mlp
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.72,0.5545546755872612,0.47619047619047616,0.35294117647058826,0.8345323741007195,btc,mlp
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.575,0.49390245420926143,0.6308724832214765,0.21818181818181817,0.6326530612244898,btc,mlp
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.58,0.4434618291761148,0.40816326530612246,0.2,0.7222222222222222,btc,mlp
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.79,0.4668824163969795,0.5333333333333333,0.0,0.8673139158576052,btc,mlp
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.57,0.39976538060479666,0.0,0.46715328467153283,0.7321428571428571,eth,xgboost
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.53,0.3574074074074074,0.0,0.7111111111111111,0.3611111111111111,eth,xgboost
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.62,0.45475413797269537,0.0,0.6451612903225806,0.7191011235955056,eth,xgboost
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.515,0.45096872082166195,0.5428571428571428,0.20588235294117646,0.6041666666666666,eth,xgboost
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.415,0.41365012870693607,0.46715328467153283,0.368,0.4057971014492754,eth,xgboost
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.57,0.4944492745223053,0.4084507042253521,0.4,0.6748971193415638,eth,xgboost
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.8,0.5428739396993365,0.7891156462585034,0.0,0.8395061728395061,eth,xgboost
