asset,model,f1_macro_base,f1_macro_tuned,d_f1m,f1_range_base,f1_range_tuned,d_f1_range,accuracy_base,accuracy_tuned,d_acc
btc,xgboost,0.5116778421041307,0.5486788211721608,0.037000979068030126,0.383515559293524,0.4521452145214521,0.06862965522792813,0.555,0.576875,0.021874999999999978
btc,lightgbm,0.5072315093999861,0.5261444758127705,0.018912966412784393,0.3760539629005059,0.41309823677581864,0.03704427387531273,0.5575,0.56875,0.011249999999999982
btc,random_forest,0.5571036814817281,0.5433206683103128,-0.013783013171415281,0.4357446808510638,0.39697542533081287,-0.038769255520250956,0.5984375,0.5928125,-0.005624999999999991
btc,mlp,0.4618931843756043,0.5365057012654266,0.07461251688982234,0.3024875621890547,0.42105263157894735,0.11856506938989264,0.5328125,0.598125,0.0653125
eth,xgboost,0.5102404633773906,0.5264760686367066,0.016235605259316,0.4627450980392157,0.4740450538687561,0.011299955829540409,0.5285,0.546,0.01750000000000007
eth,lightgbm,0.5125950863139298,0.5376258645079799,0.025030778194050085,0.4546360917248255,0.4758974358974359,0.021261344172610386,0.537,0.557,0.020000000000000018
eth,random_forest,0.5597206552774671,0.549117716758407,-0.010602938519060023,0.5141187925998053,0.4975514201762977,-0.016567372423507587,0.5755,0.562,-0.013499999999999956
eth,mlp,0.4753900335570991,0.47063016203222635,-0.0047598715248727275,0.4110996916752312,0.40981856990394877,-0.001281121771282423,0.506,0.501,-0.0050000000000000044
