fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.615,0.49511599511599513,0.16666666666666666,0.6043956043956044,0.7142857142857143,btc,random_forest
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.53,0.521672832931111,0.5151515151515151,0.42735042735042733,0.6225165562913907,btc,random_forest
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.435,0.3775319398270218,0.4918032786885246,0.19230769230769232,0.4484848484848485,btc,random_forest
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.755,0.7466808196465843,0.717391304347826,0.7377049180327869,0.7849462365591398,btc,random_forest
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.655,0.6271855876108404,0.7083333333333334,0.5490196078431373,0.6242038216560509,btc,random_forest
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.565,0.41812244370079377,0.5103448275862069,0.1111111111111111,0.6329113924050633,btc,random_forest
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.515,0.37237960894949257,0.0,0.5425531914893617,0.574585635359116,btc,random_forest
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.575,0.5623272149204771,0.4406779661016949,0.48120300751879697,0.7651006711409396,btc,random_forest
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.555,0.47538092305748975,0.6960352422907489,0.3,0.43010752688172044,btc,random_forest
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.53,0.46557202617808685,0.3305785123966942,0.38095238095238093,0.6851851851851852,btc,random_forest
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.775,0.5162115399082223,0.7867298578199052,0.0,0.7619047619047619,btc,random_forest
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.635,0.379845217986509,0.3669724770642202,0.0,0.7725631768953068,btc,random_forest
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.52,0.4518683654091234,0.5925925925925926,0.21052631578947367,0.5524861878453039,btc,random_forest
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.605,0.5262105855855856,0.421875,0.4,0.7567567567567568,btc,random_forest
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.685,0.4076552269947478,0.4424778761061947,0.0,0.7804878048780488,btc,random_forest
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.625,0.5527117327117327,0.45454545454545453,0.46,0.7435897435897436,btc,mlp
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.695,0.5727594260927594,0.2962962962962963,0.6486486486486487,0.7733333333333333,btc,mlp
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.5,0.459411757558083,0.4881889763779528,0.2962962962962963,0.59375,btc,mlp
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.225,0.14600979903670486,0.09722222222222222,0.0,0.34080717488789236,btc,mlp
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.625,0.6031976107935573,0.5154639175257731,0.6037735849056604,0.6903553299492385,btc,mlp
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.56,0.535667940758416,0.5106382978723404,0.4888888888888889,0.6074766355140186,btc,mlp
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.605,0.38137373737373736,0.432,0.0,0.7121212121212122,btc,mlp
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.385,0.26720227359676446,0.0,0.17543859649122806,0.6261682242990654,btc,mlp
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.44,0.385432397060304,0.13636363636363635,0.35714285714285715,0.6627906976744186,btc,mlp
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.47,0.43420600563457706,0.5714285714285714,0.3434343434343434,0.3877551020408163,btc,mlp
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.675,0.5646433142400079,0.4329896907216495,0.4262295081967213,0.8347107438016529,btc,mlp
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.76,0.5118573713041408,0.7731958762886598,0.0,0.7623762376237624,btc,mlp
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.63,0.5044304651191308,0.4065040650406504,0.35294117647058826,0.7538461538461538,btc,mlp
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.51,0.4378550630762563,0.6114649681528662,0.1694915254237288,0.532608695652174,btc,mlp
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.58,0.46005407902721474,0.42990654205607476,0.2222222222222222,0.7280334728033473,btc,mlp
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.76,0.42735820442826816,0.42857142857142855,0.0,0.8535031847133758,btc,mlp
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.61,0.41775918177591825,0.0,0.4666666666666667,0.7866108786610879,eth,xgboost
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.56,0.3835495223730518,0.0,0.7239819004524887,0.4266666666666667,eth,xgboost
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.615,0.45012136165774014,0.0,0.6492146596858639,0.7011494252873564,eth,xgboost
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.53,0.49559688103194643,0.547945205479452,0.3466666666666667,0.5921787709497207,eth,xgboost
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.385,0.37787317825680994,0.4472049689440994,0.31666666666666665,0.3697478991596639,eth,xgboost
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.58,0.46559136238194193,0.4225352112676056,0.2857142857142857,0.6885245901639344,eth,xgboost
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.77,0.5222686917602172,0.7532467532467533,0.0,0.8135593220338984,eth,xgboost
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.68,0.6620803949917874,0.7757575757575758,0.5822784810126582,0.6282051282051282,eth,xgboost
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.36,0.2804368589522957,0.28125,0.0273972602739726,0.5326633165829145,eth,xgboost
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.48,0.4580797567493196,0.5511811023622047,0.2828282828282828,0.5402298850574713,eth,xgboost
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.61,0.4070175438596491,0.0,0.42105263157894735,0.8,eth,lightgbm
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.565,0.3846371882086168,0.0,0.7321428571428571,0.4217687074829932,eth,lightgbm
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.625,0.4572431077694235,0.0,0.6631578947368421,0.7085714285714285,eth,lightgbm
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.5,0.435922207407184,0.5487804878048781,0.1791044776119403,0.5798816568047337,eth,lightgbm
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.395,0.386651201005268,0.4484848484848485,0.2982456140350877,0.4132231404958678,eth,lightgbm
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.58,0.4636856368563686,0.4142857142857143,0.2857142857142857,0.6910569105691057,eth,lightgbm
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.72,0.48963955497077594,0.7065868263473054,0.0,0.7623318385650224,eth,lightgbm
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.68,0.6618736276260616,0.7710843373493976,0.5822784810126582,0.632258064516129,eth,lightgbm
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.375,0.2900002946723244,0.296875,0.02857142857142857,0.5445544554455446,eth,lightgbm
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.52,0.4929732791005108,0.6131386861313869,0.3010752688172043,0.5647058823529412,eth,lightgbm
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.625,0.43484823979729365,0.0,0.5185185185185185,0.7860262008733624,eth,random_forest
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.61,0.4219135802469136,0.0,0.7407407407407407,0.525,eth,random_forest
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.62,0.44639376218323584,0.0,0.6944444444444444,0.6447368421052632,eth,random_forest
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.52,0.46961020551295474,0.5732484076433121,0.2608695652173913,0.5747126436781609,eth,random_forest
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.45,0.435879956702445,0.5476190476190477,0.35294117647058826,0.40707964601769914,eth,random_forest
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.63,0.5453805453805454,0.46153846153846156,0.4444444444444444,0.7301587301587301,eth,random_forest
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.755,0.5123789216624295,0.7388535031847133,0.0,0.7982832618025751,eth,random_forest
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.675,0.655413269747184,0.7730061349693251,0.5609756097560976,0.632258064516129,eth,random_forest
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.415,0.3126591324265743,0.31007751937984496,0.031746031746031744,0.5961538461538461,eth,random_forest
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.575,0.548861757469103,0.6567164179104478,0.3655913978494624,0.6242774566473989,eth,random_forest
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.58,0.40668238993710687,0.0,0.5125,0.7075471698113207,eth,mlp
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.675,0.45427999829736515,0.0,0.6701570680628273,0.6926829268292682,eth,mlp
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.68,0.46517917511832324,0.0,0.6896551724137931,0.7058823529411765,eth,mlp
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.515,0.4838432479177097,0.4094488188976378,0.36,0.6820809248554913,eth,mlp
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.395,0.386886770518484,0.5098039215686274,0.34782608695652173,0.30303030303030304,eth,mlp
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.675,0.5697446463132921,0.4,0.5263157894736842,0.7829181494661922,eth,mlp
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.66,0.40052263265125343,0.4339622641509434,0.0,0.7676056338028169,eth,mlp
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.63,0.6163381671220799,0.6923076923076923,0.5432098765432098,0.6134969325153374,eth,mlp
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.445,0.33673893626628953,0.34328358208955223,0.03278688524590164,0.6341463414634146,eth,mlp
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.56,0.5335399876394269,0.6456692913385826,0.3404255319148936,0.6145251396648045,eth,mlp
