asset,model,variant,smoothing_window,n,frame_f1_macro,frame_accuracy,iou_downtrend,iou_range,iou_uptrend,mean_iou,onset_f1,onset_precision,onset_recall,n_true_onsets,n_pred_onsets,mean_boundary_error_days,majority_vote_consistency
btc,xgboost,baseline,0,3200,0.5116778421041307,0.555,0.3311081441922563,0.2372528616024974,0.4859122401847575,0.35142441532650376,0.24590163934426232,0.14792899408284024,0.7281553398058253,103,507,1.9466666666666668,0.6759375
btc,xgboost,3fold tuned,0,3200,0.5486788211721608,0.576875,0.3707440100882724,0.2921108742004264,0.48472906403940885,0.3825279827760359,0.24862888482632542,0.15315315315315314,0.6601941747572816,103,444,1.9411764705882353,0.6834375
btc,xgboost,5fold tuned,0,3200,0.532791388324923,0.5665625,0.3555268261150614,0.2687830687830688,0.4816229116945107,0.3686442688642137,0.24686940966010734,0.1513157894736842,0.6699029126213593,103,456,1.8840579710144927,0.6825
btc,xgboost,5fold + smooth5d,5,3200,0.5430275646101997,0.5771875,0.36410587475790834,0.2762312633832976,0.49516908212560384,0.37850207342226994,0.364741641337386,0.26548672566371684,0.5825242718446602,103,226,2.183333333333333,0.7071875
btc,xgboost,5fold + smooth10d,10,3200,0.5477931653601197,0.5846875,0.37684887459807076,0.2694805194805195,0.5053658536585366,0.38389841591237567,0.4047619047619047,0.3422818791946309,0.49514563106796117,103,149,2.7058823529411766,0.7228125
btc,xgboost,5fold + smooth20d,20,3200,0.5434828028319105,0.58375,0.3842139595564253,0.2523860021208908,0.5063229571984436,0.3809743062919199,0.32380952380952377,0.3177570093457944,0.3300970873786408,103,107,2.6470588235294117,0.7659375
btc,lightgbm,baseline,0,3200,0.5072315093999861,0.5575,0.31645569620253167,0.23156801661474558,0.49798296727924696,0.34866889336550805,0.2743801652892562,0.16533864541832669,0.8058252427184466,103,502,2.1566265060240966,0.684375
btc,lightgbm,3fold tuned,0,3200,0.5261444758127705,0.56875,0.3328719723183391,0.26031746031746034,0.4990867579908676,0.3640920635422223,0.26262626262626265,0.15885947046843177,0.7572815533980582,103,491,2.0128205128205128,0.6840625
btc,lightgbm,5fold tuned,0,3200,0.5261444758127705,0.56875,0.3328719723183391,0.26031746031746034,0.4990867579908676,0.3640920635422223,0.26262626262626265,0.15885947046843177,0.7572815533980582,103,491,2.0128205128205128,0.6840625
btc,lightgbm,5fold + smooth5d,5,3200,0.5298225832884741,0.573125,0.33980582524271846,0.2598509052183174,0.5034324942791762,0.3676964082467373,0.39882697947214074,0.2857142857142857,0.6601941747572816,103,238,2.338235294117647,0.700625
btc,lightgbm,5fold + smooth10d,10,3200,0.5327472746338248,0.581875,0.35031402651779486,0.24623655913978496,0.52,0.3721835285525266,0.4307692307692308,0.35668789808917195,0.5436893203883495,103,157,2.7857142857142856,0.7325
btc,lightgbm,5fold + smooth20d,20,3200,0.5392591615781589,0.5946875,0.3540197461212976,0.24255788313120177,0.5437384898710865,0.38010537304119535,0.3636363636363636,0.3584905660377358,0.36893203883495146,103,106,2.8157894736842106,0.7878125
btc,random_forest,baseline,0,3200,0.5571036814817281,0.5984375,0.3732876712328767,0.27856365614798695,0.5289648622981956,0.3936053965596864,0.28096118299445466,0.1735159817351598,0.7378640776699029,103,438,2.3684210526315788,0.6946875
btc,random_forest,3fold tuned,0,3200,0.5433206683103128,0.5928125,0.37773359840954274,0.24764150943396226,0.5205032618825722,0.38195945657535907,0.28355387523629483,0.176056338028169,0.7281553398058253,103,426,2.2933333333333334,0.7009375
btc,random_forest,5fold tuned,0,3200,0.5630387858869952,0.5925,0.37037037037037035,0.30979978925184404,0.5100342633382281,0.39673480765348085,0.2518248175182482,0.1550561797752809,0.6699029126213593,103,445,2.260869565217391,0.69
btc,random_forest,5fold + smooth5d,5,3200,0.5710024450260346,0.5978125,0.37896825396825395,0.32275132275132273,0.5098522167487685,0.4038572644894484,0.3669724770642202,0.26785714285714285,0.5825242718446602,103,224,2.6166666666666667,0.7021875
btc,random_forest,5fold + smooth10d,10,3200,0.5782577537758754,0.6071875,0.390987408880053,0.3183246073298429,0.5263421976919217,0.41188473796727254,0.384,0.32653061224489793,0.46601941747572817,103,147,2.7916666666666665,0.726875
btc,random_forest,5fold + smooth20d,20,3200,0.6052835194407017,0.635625,0.42628650904033377,0.3340270551508845,0.5592272496187087,0.4398469379366423,0.36792452830188677,0.3577981651376147,0.3786407766990291,103,109,2.871794871794872,0.7690625
btc,mlp,baseline,0,3200,0.4618931843756043,0.5328125,0.27785515320334264,0.17819460726846426,0.4796342477140482,0.31189466939528504,0.26622296173044924,0.1606425702811245,0.7766990291262136,103,498,1.7375,0.7034375
btc,mlp,3fold tuned,0,3200,0.5365057012654266,0.598125,0.31626506024096385,0.26666666666666666,0.547886108714409,0.3769392785406798,0.2882562277580071,0.17647058823529413,0.7864077669902912,103,459,2.259259259259259,0.72
btc,mlp,5fold tuned,0,3200,0.5054816583208961,0.5653125,0.29239357990230286,0.23590333716915995,0.5176933158584535,0.34866341097663883,0.25295109612141653,0.15306122448979592,0.7281553398058253,103,490,2.0,0.7109375
btc,mlp,5fold + smooth5d,5,3200,0.5114757013270471,0.5740625,0.29874651810584957,0.23557126030624265,0.5302897278314311,0.35486916874784113,0.392749244712991,0.2850877192982456,0.6310679611650486,103,228,2.3846153846153846,0.7334375
btc,mlp,5fold + smooth10d,10,3200,0.5173379421428833,0.583125,0.29950669485553205,0.23736780258519388,0.5472614840989399,0.3613786605132219,0.38888888888888884,0.3288590604026846,0.47572815533980584,103,149,2.2857142857142856,0.7625
