asset,model,trial,state,value,duration_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_min_samples_leaf,param_max_features,param_hidden_layer_sizes_idx,param_batch_size,param_learning_rate_init,param_alpha
btc,lightgbm,8,PRUNED,0.4812606093093898,1.045115,400.0,,0.13814017620274424,,,,22.0,0.9100531293444458,0.9757995766256756,46.0,,,,,,
btc,lightgbm,9,COMPLETE,0.5137623466868597,37.629568,400.0,,0.012707942999213693,,,,108.0,0.678393144967658,0.6180909155642152,19.0,,,,,,
btc,lightgbm,10,PRUNED,0.46391961947517507,4.985558,600.0,,0.027143052490931286,,,,50.0,0.6071847502459278,0.8548368194215873,18.0,,,,,,
btc,lightgbm,11,PRUNED,0.4630383976819686,0.349175,100.0,,0.03620853028492042,,,,65.0,0.723532633125523,0.6062940462474563,38.0,,,,,,
btc,lightgbm,12,PRUNED,0.5437229457030915,3.700008,500.0,,0.12727258793928212,,,,37.0,0.9144299083451704,0.6024245475816379,35.0,,,,,,
btc,lightgbm,13,PRUNED,0.4791336537146593,1.944282,200.0,,0.03738003516534682,,,,76.0,0.7382774980993067,0.7874820875551369,17.0,,,,,,
btc,lightgbm,14,PRUNED,0.47314219490838827,1.361765,450.0,,0.01016073939430954,,,,126.0,0.9984066126989741,0.6684815593910434,50.0,,,,,,
btc,lightgbm,15,PRUNED,0.4845273028464751,1.193908,200.0,,0.09083642005367193,,,,91.0,0.9103569619688984,0.910300520286121,34.0,,,,,,
btc,lightgbm,16,PRUNED,0.4815262122025407,0.971195,150.0,,0.029369047565696364,,,,56.0,0.6014394037264182,0.7683684625594487,23.0,,,,,,
btc,lightgbm,17,COMPLETE,0.4956632896158296,23.899057,450.0,,0.04901664361545082,,,,35.0,0.7539796407337818,0.633678490980953,5.0,,,,,,
btc,lightgbm,18,PRUNED,0.4820585227607715,3.433848,300.0,,0.023818218210708335,,,,91.0,0.6918943664158308,0.6869774974966741,13.0,,,,,,
btc,lightgbm,19,PRUNED,0.4640324550001969,1.085054,350.0,,0.09713478796027722,,,,65.0,0.8135649375371401,0.6016207845062527,44.0,,,,,,
btc,lightgbm,20,PRUNED,0.4662516541050572,0.869093,200.0,,0.043919213632691044,,,,15.0,0.8679083694332411,0.7667424362376899,33.0,,,,,,
btc,lightgbm,21,PRUNED,0.4822246051006139,1.783514,300.0,,0.05573693426160994,,,,32.0,0.6502543071836033,0.7044991937287568,23.0,,,,,,
btc,lightgbm,22,PRUNED,0.4685251559803531,1.633692,400.0,,0.07463459898074461,,,,27.0,0.6484598036771061,0.6381323619525455,21.0,,,,,,
btc,lightgbm,23,PRUNED,0.4846517382661961,2.534374,250.0,,0.033954268866195264,,,,44.0,0.7077982883287449,0.7478583190642659,14.0,,,,,,
btc,lightgbm,24,COMPLETE,0.5004404300046157,41.827389,500.0,,0.05351957960830623,,,,101.0,0.657467804262033,0.6885028993363566,19.0,,,,,,
btc,lightgbm,25,COMPLETE,0.513291129605965,8.547544,150.0,,0.04383598974084411,,,,44.0,0.6235860101457745,0.632165791043514,24.0,,,,,,
btc,lightgbm,26,PRUNED,0.4535950682567224,0.719021,150.0,,0.013730916690376543,,,,70.0,0.9476077563455207,0.6372206838044818,26.0,,,,,,
btc,lightgbm,27,COMPLETE,0.5075422284423112,7.792054,100.0,,0.04214121524059513,,,,51.0,0.6274865063801043,0.6297142518660618,9.0,,,,,,
btc,lightgbm,28,COMPLETE,0.5102835878810241,11.78397,150.0,,0.021915097299928087,,,,45.0,0.622213766086971,0.6737589771566618,10.0,,,,,,
btc,lightgbm,29,COMPLETE,0.5133570767061795,11.358608,150.0,,0.02047474679763607,,,,46.0,0.690904861935396,0.6707495804134253,10.0,,,,,,
btc,random_forest,0,COMPLETE,0.5404707031158433,2.700647,400.0,20.0,,,,,,,,,11.0,sqrt,,,,
btc,random_forest,1,COMPLETE,0.5226911001310405,2.027169,200.0,18.0,,,,,,,,,10.0,0.5,,,,
btc,random_forest,2,COMPLETE,0.5248761901778962,7.018075,700.0,9.0,,,,,,,,,3.0,0.5,,,,
btc,random_forest,3,COMPLETE,0.5245435614228694,4.617488,500.0,10.0,,,,,,,,,10.0,0.5,,,,
btc,random_forest,4,COMPLETE,0.5208418725170546,3.623286,500.0,17.0,,,,,,,,,3.0,log2,,,,
btc,random_forest,5,COMPLETE,0.530268571936072,4.076288,600.0,8.0,,,,,,,,,1.0,log2,,,,
btc,random_forest,6,PRUNED,0.469970956621278,0.44328,400.0,7.0,,,,,,,,,11.0,0.5,,,,
btc,random_forest,7,COMPLETE,0.5258734151831436,1.443991,200.0,19.0,,,,,,,,,4.0,sqrt,,,,
btc,random_forest,8,PRUNED,0.43611976225003407,0.460764,500.0,8.0,,,,,,,,,15.0,log2,,,,
btc,random_forest,9,PRUNED,0.5134472708002119,0.634768,600.0,19.0,,,,,,,,,2.0,0.5,,,,
btc,random_forest,10,PRUNED,0.4317063743390146,0.259456,300.0,14.0,,,,,,,,,15.0,sqrt,,,,
btc,random_forest,11,PRUNED,0.5082435078270408,0.746251,800.0,13.0,,,,,,,,,6.0,log2,,,,
btc,random_forest,12,PRUNED,0.49754619901030406,0.64454,700.0,13.0,,,,,,,,,7.0,sqrt,,,,
btc,random_forest,13,PRUNED,0.4310147920932302,0.369306,400.0,6.0,,,,,,,,,12.0,sqrt,,,,
btc,random_forest,14,COMPLETE,0.5238699742386308,4.364417,600.0,11.0,,,,,,,,,1.0,log2,,,,
btc,random_forest,15,PRUNED,0.473201558824562,0.403842,400.0,16.0,,,,,,,,,8.0,sqrt,,,,
btc,random_forest,16,PRUNED,0.5162147793726741,0.59674,600.0,15.0,,,,,,,,,5.0,log2,,,,
btc,random_forest,17,PRUNED,0.4387527921140714,0.274004,300.0,11.0,,,,,,,,,13.0,sqrt,,,,
btc,random_forest,18,PRUNED,0.4825958426138184,0.665351,700.0,20.0,,,,,,,,,8.0,log2,,,,
btc,random_forest,19,PRUNED,0.47412750092697475,0.726885,800.0,6.0,,,,,,,,,9.0,sqrt,,,,
btc,random_forest,20,PRUNED,0.4387527921140714,0.272595,300.0,11.0,,,,,,,,,13.0,log2,,,,
btc,random_forest,21,COMPLETE,0.5250173128686796,1.575026,200.0,20.0,,,,,,,,,4.0,sqrt,,,,
btc,random_forest,22,COMPLETE,0.5177037354085635,1.521697,200.0,18.0,,,,,,,,,1.0,sqrt,,,,
btc,random_forest,23,PRUNED,0.5155681476081977,0.449114,400.0,16.0,,,,,,,,,5.0,sqrt,,,,
btc,random_forest,24,PRUNED,0.5076270674094226,0.254469,300.0,18.0,,,,,,,,,3.0,sqrt,,,,
btc,random_forest,25,PRUNED,0.582913403873313,1.295581,600.0,20.0,,,,,,,,,1.0,sqrt,,,,
btc,random_forest,26,PRUNED,0.5054351886109405,0.238003,200.0,19.0,,,,,,,,,5.0,log2,,,,
btc,random_forest,27,PRUNED,0.5050622823650418,0.447408,500.0,15.0,,,,,,,,,2.0,sqrt,,,,
btc,random_forest,28,PRUNED,0.49718098665467086,0.416707,400.0,17.0,,,,,,,,,6.0,sqrt,,,,
btc,random_forest,29,PRUNED,0.4486859161340646,0.196783,200.0,19.0,,,,,,,,,10.0,log2,,,,
btc,mlp,0,COMPLETE,0.44170186273116246,1.680367,,,,,,,,,,,,,64_32,auto,0.005399484409787433,0.00025378155082656634
btc,mlp,1,COMPLETE,0.4772179546577858,4.344738,,,,,,,,,,,,,128_64,auto,0.0004059611610484307,0.0001256104370001356
btc,mlp,2,COMPLETE,0.4737411740961447,2.299308,,,,,,,,,,,,,128_64,128,0.0037183641805732083,6.290644294586156e-06
btc,mlp,3,COMPLETE,0.4271850956193057,1.439805,,,,,,,,,,,,,64_32_16,128,0.00853618986286683,0.0017123375973163992
btc,mlp,4,COMPLETE,0.43419250928083386,3.083554,,,,,,,,,,,,,128_64,64,0.006586289317583112,1.0842262717330169e-05
btc,mlp,5,COMPLETE,0.4962308619733341,1.632652,,,,,,,,,,,,,64,64,0.007568292060167618,0.0037958531426706445
btc,mlp,6,PRUNED,0.3787722199255891,0.202668,,,,,,,,,,,,,64_32,128,0.00034889766548903674,0.0020651425578959264
btc,mlp,7,COMPLETE,0.4870223295620251,2.483446,,,,,,,,,,,,,128_64,128,0.0035033984911586884,6.235377135673162e-06
btc,mlp,8,PRUNED,0.4326662065792501,0.088907,,,,,,,,,,,,,64_32,auto,0.0001705053926026929,0.0028340904295147754
btc,mlp,9,COMPLETE,0.497439239867727,1.548393,,,,,,,,,,,,,64,64,0.0059487468132197715,7.742116473996245e-05
btc,mlp,10,COMPLETE,0.5048529044853889,2.433269,,,,,,,,,,,,,64,64,0.001454189547274285,1.1799062523159284e-06
btc,mlp,11,COMPLETE,0.5157430830037569,2.007182,,,,,,,,,,,,,64,64,0.0015591020062651652,1.2612865045309432e-06
btc,mlp,12,PRUNED,0.5118097989576199,0.129205,,,,,,,,,,,,,64,64,0.0013423234018286052,1.045464234001662e-06
btc,mlp,13,PRUNED,0.5483773349837291,0.3163,,,,,,,,,,,,,64,64,0.0015065277977446626,1.2023876975720184e-06
btc,mlp,14,COMPLETE,0.5154574721721554,1.950714,,,,,,,,,,,,,64,64,0.0007002690145644848,2.584359980331247e-05
btc,mlp,15,COMPLETE,0.4877299562351727,4.440109,,,,,,,,,,,,,64_32_16,64,0.0006532466763199414,2.591698953182593e-05
btc,mlp,16,COMPLETE,0.5141146516226504,2.930253,,,,,,,,,,,,,64,64,0.0007343296296001384,0.0004959713565737135
btc,mlp,17,PRUNED,0.3679071657344997,0.128418,,,,,,,,,,,,,64,64,0.00010645597672421379,3.676644887380847e-05
btc,mlp,18,COMPLETE,0.5059309898244323,1.888509,,,,,,,,,,,,,64,64,0.0023793537960598516,2.8048165929662557e-06
btc,mlp,19,COMPLETE,0.4966321118656981,3.619739,,,,,,,,,,,,,64_32_16,auto,0.0003623870486387051,0.009639798532690985
btc,mlp,20,COMPLETE,0.5209528628748481,2.224249,,,,,,,,,,,,,64,64,0.0008298173853464047,1.5030256833470227e-05
btc,mlp,21,COMPLETE,0.5149780370958503,2.248095,,,,,,,,,,,,,64,64,0.0008787850912174924,2.0640402716394112e-05
btc,mlp,22,COMPLETE,0.5144371596404433,2.053963,,,,,,,,,,,,,64,64,0.0005397974986384252,3.608639897385674e-06
btc,mlp,23,PRUNED,0.5549081085846841,0.28689,,,,,,,,,,,,,64,64,0.0021886348477387855,6.053309724931525e-05
btc,mlp,24,PRUNED,0.4075383865187907,0.175156,,,,,,,,,,,,,64,64,0.00021914805291808694,1.457320364855787e-05
btc,mlp,25,COMPLETE,0.5229032163226217,2.17685,,,,,,,,,,,,,64,64,0.001104320121979192,2.7344219201342385e-06
btc,mlp,26,PRUNED,0.5242765567643984,0.129267,,,,,,,,,,,,,64,64,0.0011911387728160262,2.708000519950346e-06
btc,mlp,27,PRUNED,0.44958753789024203,0.167215,,,,,,,,,,,,,64_32,64,0.0019587641001260103,6.020208170192515e-06
btc,mlp,28,PRUNED,0.4970937966885655,0.227986,,,,,,,,,,,,,64_32_16,128,0.001073203842531624,2.2830554459926115e-06
btc,mlp,29,PRUNED,0.3620994309673555,0.07634,,,,,,,,,,,,,64_32,auto,0.0032130010133990835,1.0663631744902533e-05
eth,xgboost,0,COMPLETE,0.4916348772063249,9.339675,300.0,8.0,0.07259248719561363,0.8394633936788146,0.6624074561769746,2.0,,,,,,,,,,
eth,xgboost,1,COMPLETE,0.49596072280875997,3.305603,100.0,8.0,0.05092911283433821,0.8832290311184182,0.608233797718321,10.0,,,,,,,,,,
