,3stage_full_regime_xgboost_stateful,3stage_full_regime_xgboost_defensive,3stage_full_regime_xgboost_prob_weighted,3stage_full_regime_lightgbm_stateful,3stage_full_regime_lightgbm_defensive,3stage_full_regime_lightgbm_prob_weighted,3stage_full_regime_random_forest_stateful,3stage_full_regime_random_forest_defensive,3stage_full_regime_random_forest_prob_weighted,3stage_full_regime_mlp_stateful,3stage_full_regime_mlp_defensive,3stage_full_regime_mlp_prob_weighted,BUY_AND_HOLD
2019-01-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-27,0.9948661118791017,0.9938661118791017,0.9983691798317453,1.0,1.0,1.0,0.9948661118791017,0.9938661118791017,0.9996894060964656,1.0,1.0,1.0,0.9948661118791017
2019-01-28,0.9633555977570125,0.9928722457672225,0.9931980051722806,1.0,1.0,1.0,0.9633555977570125,0.9928722457672225,0.9984029582260421,1.0,1.0,1.0,0.9633555977570125
2019-01-29,0.9571560859487445,0.986482784569232,0.9926284919912126,1.0,1.0,1.0,0.9571560859487445,0.986482784569232,0.998244942011761,1.0,1.0,1.0,0.9571560859487445
2019-01-30,0.9677223913397945,0.997372835332938,0.9946152453593745,1.0,1.0,1.0,0.9677223913397945,0.997372835332938,0.9982762216706812,1.0,1.0,1.0,0.9677223913397945
2019-01-31,0.9598419672752413,0.9892509597173414,0.9923128098910614,1.0,1.0,1.0,0.9598419672752413,0.9892509597173414,0.9980353248401492,1.0,1.0,1.0,0.9598419672752413
2019-02-01,0.9682119655904661,0.9978774098502458,0.9940828029471024,1.0,1.0,1.0,0.9682119655904661,0.9978774098502458,0.9981211839267609,1.0,1.0,1.0,0.9682119655904661
2019-02-02,0.9774044269602521,1.0073515228211967,0.9968169247032619,1.0,1.0,0.9999706111666584,0.9774044269602521,1.0063536454113462,0.9987309808432606,1.0,1.0,0.9999938802294064,0.9774044269602521
2019-02-03,0.9615687601748967,0.9910306605342024,0.9921895116600193,1.0,1.0,0.9994863834241946,0.9615687601748967,1.0063536454113462,0.996938396396468,1.0,1.0,0.9998830449202263,0.9615687601748967
2019-02-04,0.9602198557057153,0.98864939576618,0.9914851910067317,1.0,1.0,0.9994335586371449,0.9602198557057153,1.0063536454113462,0.9967188774552146,1.0,1.0,0.9998274538045943,0.9602198557057153
2019-02-05,0.9622194249562777,0.9876607463704139,0.991508912560087,1.0,1.0,0.9994961685213636,0.9622194249562777,1.0063536454113462,0.9968361454669427,1.0,1.0,0.9998371306971912,0.9622194249562777
2019-02-06,0.9476211801314719,0.9716888595676834,0.9860647306786072,1.0,1.0,0.999146992612356,0.9476211801314719,1.0063536454113462,0.9964705052322529,1.0,1.0,0.9974008999068685,0.9476211801314719
2019-02-07,0.943652741676797,0.9707171707081157,0.9854031630183164,1.0,1.0,0.9990027134244092,0.943652741676797,1.0063536454113462,0.9963424152644725,1.0,1.0,0.9950876441601761,0.943652741676797
2019-02-08,1.0178544150936337,1.046076267779254,1.0058501338757269,1.0,1.0,1.0007767496110809,1.0178544150936337,1.0063536454113462,0.9996823626801755,0.999,0.999,0.9988637649017366,1.0178544150936337
2019-02-09,1.0180644269954928,1.046076267779254,1.0058501338757269,1.0,1.0,1.0008038253410574,1.0190822814105864,1.0063536454113462,0.9996823626801755,1.0002051217074328,1.0002051217074328,0.9996515717727346,1.0190822814105864
2019-02-10,1.0180644269954928,1.046076267779254,1.0058501338757269,1.0,1.0,1.000861285215857,1.0233331026876569,1.0063536454113462,0.9996823626801755,1.0053774072296586,1.0053774072296586,1.0022492981602142,1.0243521849690673
