,3stage_full_regime_xgboost_stateful,3stage_full_regime_xgboost_defensive,3stage_full_regime_xgboost_prob_weighted,3stage_full_regime_lightgbm_stateful,3stage_full_regime_lightgbm_defensive,3stage_full_regime_lightgbm_prob_weighted,3stage_full_regime_random_forest_stateful,3stage_full_regime_random_forest_defensive,3stage_full_regime_random_forest_prob_weighted,3stage_full_regime_mlp_stateful,3stage_full_regime_mlp_defensive,3stage_full_regime_mlp_prob_weighted,BUY_AND_HOLD
2022-03-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-03-17,1.0,1.0,1.0,1.0144393826501585,1.0144393826501585,1.0011730249115578,1.0,1.0,1.0,1.0154393826501584,1.0144393826501585,1.0098639172135377,1.0154393826501584
2022-03-18,1.0,1.0,1.0,1.0144393826501585,1.0144393826501585,1.0011730249115578,1.0,1.0,1.0,1.061496780614285,1.0144393826501585,1.0098639172135377,1.062512219996935
2022-03-19,1.0,1.0,1.0,1.0144393826501585,1.0144393826501585,1.0011730249115578,1.0,1.0,1.0,1.061496780614285,1.0144393826501585,1.0098639172135377,1.06284196175207
2022-03-20,1.0,1.0,1.0,1.0144393826501585,1.0144393826501585,1.0011730249115578,1.0,1.0,1.0,1.061496780614285,1.0144393826501585,1.0098639172135377,1.0318909773707672
2022-03-21,1.0,1.0,1.0,1.0144393826501585,1.0144393826501585,1.0011730249115578,1.0,1.0,1.0,1.061496780614285,1.0144393826501585,1.0098639172135377,1.045425097363651
2022-03-22,0.999,0.999,0.999960747329169,1.0144393826501585,1.0144393826501585,1.0011730249115578,0.999,0.999,0.9999999573637358,1.061496780614285,1.0144393826501585,1.0098639172135377,1.07253658072596
2022-03-23,1.0174680524460407,1.0174680524460407,1.0006863648321083,1.0144393826501585,1.0144393826501585,1.0011730249115578,1.0174680524460407,1.0174680524460407,1.000000745560662,1.061496780614285,1.0144393826501585,1.0098639172135377,1.0934366066191425
2022-03-24,1.0174680524460407,1.0174680524460407,1.0006863648321083,1.0134249432675084,1.0134249432675084,1.0011705120891472,1.0164505843935947,1.0164505843935947,0.9999871603326681,1.061496780614285,1.0144393826501585,1.0098639172135377,1.1212119770942206
2022-03-25,1.0164505843935947,1.0164505843935947,1.0005829761133582,1.012971511496708,1.012971511496708,1.001104345666304,1.0159957988749684,1.0159957988749684,0.9999734133677134,1.0604352838336708,1.0134249432675084,1.0096551341188653,1.1207103186975194
2022-03-26,1.0273787956592817,1.0273787956592817,1.001694428996958,1.023862318048177,1.023862318048177,1.0018306041761238,1.0269191205844836,1.0269191205844836,1.0002019162970415,1.0728968250770594,1.0253340497638062,1.011397081858387,1.133880172691675
